Agency,count
กรุงเทพมหานคร,569
เพื่อนชัชชาติ,362
เขตบางนา,78
เขตราษฎร์บูรณะ,45
กรมทางหลวง,44
สำนักงานตำรวจแห่งชาติ (Royal Thai Police),42
กองบัญชาการตำรวจนครบาล (บช.น.),42
แขวงทางหลวงธนบุรี กรมทางหลวง,38
เขตลาดกระบัง,36
เขตบางแค,35
องค์การขนส่งมวลชนกรุงเทพ (ขสมก.),34
การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),30
ร้องทุกข์ กทม. 1555,28
การไฟฟ้านครหลวง MEA,28
เขตบางรัก,26
กรุงเทพโปร่งใส,25
สำนักการโยธา กทม.,23
เขตคลองเตย,23
สำนักสิ่งแวดล้อม กทม.,23
เขตบางเขน,21
สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),21
เขตจตุจักร,19
เขตวัฒนา,17
สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),17
เขตปทุมวัน,16
เขตธนบุรี,16
ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง,14
กองบังคับการตำรวจนครบาล 9 (บก.น.9),14
กรมทางหลวงชนบท กระทรวงคมนาคม,14
เขตมีนบุรี,14
เขตดอนเมือง,14
ฝ่ายโยธา เขตบางนา,14
เขตดินแดง,14
เขตราชเทวี,13
เขตบางกะปิ,12
เขตจอมทอง,11
ฝ่ายโยธา เขตวัฒนา,11
เขตบางขุนเทียน,11
เขตตลิ่งชัน,10
สำนักการระบายน้ำ กทม.,9
กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี),9
เขตประเวศ,9
เขตหนองจอก,9
เขตหลักสี่,9
ฝ่ายเทศกิจ เขตดินแดง,9
กระทรวงการท่องเที่ยวและกีฬา,8
ปัญหาที่ต้องแก้เชิงนโยบาย,8
ผอ.เขตลาดกระบัง (นายธนะสิทธิ์),8
เขตทวีวัฒนา,8
เขตห้วยขวาง,7
เขตบางกอกน้อย,7
เขตป้อมปราบศัตรูพ่าย,7
เขตพระโขนง,7
ฝ่ายเทศกิจ เขตคลองเตย,7
เขตสัมพันธวงศ์,7
เขตวังทองหลาง,7
เขตสะพานสูง,7
การทางพิเศษแห่งประเทศไทย,7
เขตภาษีเจริญ,7
กองบังคับการตำรวจนครบาล 3 (บก.น.3),7
กรมการขนส่งทางบก,6
ฝ่ายเทศกิจ เขตลาดกระบัง,6
เขตพระนคร,6
กองบังคับการตำรวจนครบาล 2 (บก.น.2),6
เขตบึงกุ่ม,6
การไฟฟ้านครหลวง เขตลาดกระบัง,6
การไฟฟ้านครหลวง เขตราษฎร์บูรณะ,6
สน.หลักสอง,6
เขตยานนาวา,5
กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,5
เขตบางบอน,5
