ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LZPPQY,2024-12-05,20:25 น.,รอรับเรื่อง 16 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,20:25 น.,รอรับเรื่อง,1,1
2024-WZANQL,2024-12-05,19:13 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,19:13 น.,รอรับเรื่อง,1,1
2024-FYEEBC,2024-12-05,16:34 น.,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,16:34 น.,รอรับเรื่อง,1,1
2024-L4PW7N,2024-12-05,16:23 น.,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,เขตพระนคร แขวงพระบรมมหาราชวัง,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-05,16:23 น.,รอรับเรื่อง,1,1
2024-3X7MU6,2024-12-04,23:47 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางกอกใหญ่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,23:47 น.,รอรับเรื่อง,2,2
2024-4K2RKY,2024-12-04,18:17 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,18:17 น.,รอรับเรื่อง,2,2
2024-4CF2MA,2024-12-04,08:49 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,08:49 น.,รอรับเรื่อง,2,2
2024-PDCWQW,2024-12-04,07:05 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตจตุจักร แขวงลาดยาว,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,07:05 น.,รอรับเรื่อง,2,2
2024-9QB4HK,2024-12-04,04:42 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-04,04:42 น.,รอรับเรื่อง,2,2
2024-67VE2N,2024-12-03,03:53 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตคลองสาน แขวงคลองสาน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-03,03:53 น.,รอรับเรื่อง,3,3
2024-A9WZAQ,2024-12-02,04:09 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,2024-12-05,04:23 น.,ใช้เวลา 3 วัน,4,1
2024-8Y9ZPP,2024-12-01,13:51 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตธนบุรี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-12-01,13:52 น.,รอรับเรื่อง,5,5
2024-66WY37,2024-11-30,07:54 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-11-30,07:54 น.,รอรับเรื่อง,6,6
2024-ABMCUW,2024-11-30,07:02 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตบางกะปิ แขวงคลองจั่น,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-11-30,07:02 น.,รอรับเรื่อง,6,6
2024-7XL33Q,2024-11-30,04:31 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,2024-12-05,04:23 น.,ใช้เวลา 4 วัน 23 ชม.,6,1
2024-36BLK9,2024-11-29,15:23 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2024-11-29,15:23 น.,รอรับเรื่อง,7,7
2024-KZ37QL,2024-10-17,09:27 น.,รอรับเรื่อง 50 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:16 น.,ใช้เวลา 45 วัน 1 ชม.,50,5
