ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-F8QY2F,2024-12-02,17:03 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตวัฒนา แขวงพระโขนงเหนือ,เรื่องสร้างอาคารผิดแบบ ยังไม่ได้รับการแก้ไข และยังมีการซ่อมแซม ต่อเติม เพิ่มมาเป็นระยะ นับตั้งแต่แจ้งเรื่องครั้งแรก,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-02,19:43 น.,ใช้เวลา 2 ชม. 40 นาที,4,4
2024-88P8TT,2024-12-02,13:38 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ทางเท้าอันตราย เหล็กทิ่มออกมา,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-02,19:34 น.,ใช้เวลา 5 ชม. 56 นาที,4,4
2024-78FEVG,2024-12-02,00:34 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,มีคนปลูกเพิงบนลำรางสาธารณะที่ใช้ระบายน้ำ เป็นแผ่นดินสาธารณะ สำหรับส่วนรวม แจ้งเจ้าหน้าที่เขตแล้ว แต่เพิกเฉย,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-02,13:46 น.,ใช้เวลา 13 ชม. 13 นาที,4,4
2024-BK6MZH,2024-12-01,14:46 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ฝาท่อมีปัญหา มีแผ่นเหล็กมาปิดนานแล้ว ไม่ซ่อมซักที,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-01,17:38 น.,ใช้เวลา 2 ชม. 52 นาที,5,5
2024-F2Z6TL,2024-12-01,13:11 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ถนนเป็นหลุมลึก มีน้ำขัง อันตรายต่อรถยนต์ คนแถวนั้นเอากรวยมาตั้งไว้ แต่ทำให้การจราไม่สะดวก รถติดมากตอนเช้า ถนน 2 เลนเหลือ เลนเดียว,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-01,17:38 น.,ใช้เวลา 4 ชม. 27 นาที,5,5
2024-6PTC2Z,2024-11-30,17:49 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตวัฒนา,ผู้รับเหมาขุดแล้วไม่กลบชั่วคราวให้เสมอผิวจราจร ทำไมไม่เอาทรายกลบชั่วคราวก่อน,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-11-30,20:08 น.,ใช้เวลา 2 ชม. 20 นาที,6,6
2024-HKDZH2,2024-11-30,17:35 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตวัฒนา แขวงพระโขนงเหนือ,ไม่มีฝาท่อหน้าบ้านทาวน์เฮาส์ที่ท้ายซอยพัฒนเวศม์ 6 ก่อนทางเข้าโรงเรียนอนุบาลดารารัตน์ รบกวนมาปิดด้วยค่ะ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-11-30,20:06 น.,ใช้เวลา 2 ชม. 32 นาที,6,6
2024-4KKN24,2024-11-30,12:38 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,เมื่อไหร่จะทำต่อให้เสร็จซักทีครับ เห็นบอกว่าติดเรื่องประปา มีรากต้นไม้ขวางอยู่นี่หยุดไปเกือบอาทิตย์แล้ว ไม่ทำอะไรต่อ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ประปา,รอรับเรื่อง,2024-11-30,12:43 น.,ใช้เวลา 5 นาที,6,6
2024-7N832F,2024-11-28,21:40 น.,รอรับเรื่อง 7 วันที่แล้ว,เขตวัฒนา,ถนนเป็นหลุม,"ฝ่ายโยธา เขตวัฒนา, เขตวัฒนา, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-04,07:11 น.,ใช้เวลา 5 วัน 9 ชม.,8,2
2024-8EZ3MP,2024-05-19,07:41 น.,รอรับเรื่อง 201 วันที่แล้ว,เขตวัฒนา,อาคารไม่มีใบอนุญาตเชื่อมทาง หรือ เป็นอาคารไม่มีที่จอดรถ หรือเคยขออนุญาติก่อสร้างแล้วปลอมแบบ ให้ กทม ตรวจสอบการเชื่อมทาง,"ฝ่ายโยธา เขตวัฒนา, เขตวัฒนา, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-05,10:42 น.,ใช้เวลา 200 วัน 3 ชม.,201,1
