ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
LU9YDN,2024-12-02,15:56 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตหนองจอก แขวงหนองจอก,ปัญหา: หมู่บ้านมหาราบ 2 บ้านเลขที่ 39 / 82 พบมีการนำขยะมูลฝอยและเศษอาหารมาทิ้งลงในคลองสาธารณะ บริเวณหลังบ้านเลขที่ 39/83 (บ้านผู้ร้อง) และบริเวณหน้าบ้าน โดยไม่ทิ้งขยะลงในถังขยะ จะทิ้งลงบริเวณโคนต้นไม้ เป็นประจำทุกวัน ทำให้มีขยะกองอยู่เป็นจำนวนมาก ส่งกลิ่นเหม็นรบกวน สร้างความเดือดร้อนให้ผู้ร้องเป็นอย่างมาก จึงขอให้เจ้าหน้าที่ที่เกี่ยวข้องเข้ามาตรวจสอบแก้ไข เกรงว่าบุคคลภายในบ้านจะเจ็บป่วยจากมลพิษทางอากาศและน้ำบ้านเลขที่: 39/82หมู่บ้าน: มหาลาภ 2ถนน: มิตรไมตรีจุดสังเกต: ช่วงระหว่าง ซอย มิตรไมตรี 8 บริเวณ คลองไผ่ดำ หากหันหน้ามาทางบ้านผู้ร้อง จะอยู่ขวามือเขต: หนองจอก#1555,"เขตหนองจอก, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",ความสะอาด,เปิดเรื่องใหม่,2024-12-06,11:27 น.,ใช้เวลา 3 วัน 19 ชม.,4,0
7LHKPD,2024-08-22,18:16 น.,รอรับเรื่อง 105 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: เรื่องเดิม บนสะพานลอยหน้าสถานีบริการน้ำมันคาลเท็กซ์ ถนนกาญจาภิเษก เลี้ยวจากเดอะมอลล์บางแค มุ่งหน้าไปถนนพระรามที่ 2 (เป็นสะพานลอยที่ยาวมาก) บริเวณนี้ค่อนข้างเปลี่ยว ไม่มีกล้องวงจรปิด CCTV เกรงว่าประชาชนสัญจรไปมาในเวลากลางคืนจะได้รับอันตราย อ้างอิงเลขที่รับแจ้ง MUVHXL เมื่อวันที่ 3 เม.ย. 67 เจ้าหน้าที่ตอบกลับมาว่า เขตบางแค ส่งต่อไปยัง แขวงทางหลวงธนบุรี กรมทางหลวงปัจจุบันผู้ร้องแจ้งว่า อยากให้ทาง กทม.เร่งดำเนินการติดกล้อง CCTV บริเวณดังกล่าวเพื่อสร้างความอุ่นใจให้กับประชาชนถนน: กาญจนาภิเษกจุดสังเกต: สะพานลอยดังกล่าวจะอยู่เยื้องกับหมู่บ้านสุขสันต์ 6เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,รอรับเรื่อง,2024-08-23,11:41 น.,ใช้เวลา 17 ชม. 26 นาที,106,105
XXTXAW,2024-08-19,15:03 น.,รอรับเรื่อง 108 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: บนถนนดังกล่าว บริเวณหน้าห้างสรรพสินค้า ดิ เอ็กซ์เพลส มอลล์ พบยางมะตอยบนผิวการจราจรหลุดร่อนออกมา ทำให้เป็นหลุมเป็นบ่อ เป็นระยะทาง 3-4 เมตร ถนน: กาญจนาภิเษกจุดสังเกต: ถนนกาญจนาภิเษกฝั่งขาเข้า มุ่งหน้าไปพระราม 2เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",ถนน,รอรับเรื่อง,2024-08-21,09:00 น.,ใช้เวลา 1 วัน 17 ชม.,109,107
XGAULT,2024-08-07,14:17 น.,รอรับเรื่อง 120 วันที่แล้ว,เขตคลองสาน แขวงคลองสาน,ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง นร02670031318ขอให้แก้ไขปัญหาขยะล้นเกลื่อนทางเดินเท้า บริเวณ ซอยเจริญนคร 1 แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร จุดสังเกต บริเวณดังกล่าวจะเริ่มตั้งแต่จุดจอดท่าเรือคลองสาน โดยผู้ร้องแจ้งว่าเมื่อขึ้นฝั่งมาจากบริเวณท่าเรือคลองสานแล้ว จะมีทางเดินเท้าจากท่าเรือไปยังซอยเจริญนคร 1 ซึ่งเส้นทางดังกล่าวจะมีความกว้างประมาณ 5 เมตร มีระยะทางประมาณ 100 เมตร โดยฝั่งตรงข้ามจะเป็นท่าเรือข้ามฟากสี่พระยาและฝั่งซ้ายมือจะใกล้เคียงกับศูนย์การค้าไอคอนสยาม ซึ่งผู้ร้องแจ้งว่าพื้นที่ดังกล่าวอยู่ในความรับผิดชอบของการรถไฟแห่งประเทศไทยและสำนักงานเขตคลองสาน (บันทึกข้อมูลตามผู้ร้อง) เนื่องจากผู้ร้องแจ้งว่า บริเวณเส้นทางดังกล่าวเป็นจุดที่ประชาชนและนักท่องเที่ยวใช้เดินทางเท้าเป็นจำนวนมาก เพราะเป็นจุดจอดของเรือข้ามฟาก โดยเมื่อลงเรือบริเวณท่าเรือคลองสานแล้ว จะต้องพบกับเส้นทางดังกล่าว ซึ่งผู้ร้องพบเห็นปัญหาขยะล้นเกลื่อนบนถนนและในบริเวณพื้นที่โล่งแจ้งด้านข้างทางเดินเป็นจำนวนมาก พร้อมทั้งยังมีสิ่งของต่าง ๆ ที่ทำการรื้อถอนจากตลาดนัดที่เคยจัดตั้งในบริเวณดังกล่าว (บันทึกข้อมูลตามผู้ร้องแจ้ง) ส่งผลกระทบให้ประชาชนที่เดินทางเท้าได้รับความเดือดร้อนเป็นอย่างมากเพราะ ทำให้พื้นที่ดังกล่าวและพื้นที่ใกล้เคียงโดยรอบ มีเศษขยะต่าง ๆ ร่วงหล่นอยู่เป็นจำนวนมาก และทำให้ผู้ร้องรู้สึกไม่พอใจเป็นอย่างมากเพราะการรถไฟแห่งประเทศไทยและสำนักงานเขตคลองสาน ไม่ได้มีการจัดการปัญหาขยะล้นเกลื่อนถนนในบริเวณเส้นทางดังกล่าว พบเห็นปัญหามาเป็นระยะเวลาประมาณ 1 ปีแล้ว จึงประสงค์ให้หน่วยงานที่เกี่ยวข้องดำเนินการแก้ไขปัญหาขยะล้นเกลื่อนทางเดินเท้า เพื่อบรรเทาความเดือดร้อนให้ประชาชนและนักท่องเที่ยวต่อไป (ผู้ร้องประสงค์ให้ปกปิด ชื่อ-นามสกุลและหมายเลขโทรศัพท์)////หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก//ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการและโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัยหรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียนการเป็นพยาน หรือการให้ข้อมูลนั้น #ศรท #ศรท1111#1555 #citydata,"ร้องทุกข์ กทม. 1555, ฝ่ายรักษาความสะอาดฯ เขตคลองสาน, เขตคลองสาน, การรถไฟแห่งประเทศไทย, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-03,14:44 น.,ใช้เวลา 118 วัน,121,3
ELMYV7,2024-04-29,16:44 น.,รอรับเรื่อง 220 วันที่แล้ว,เขตบางรัก แขวงสีลม,ปัญหา: เดิมแจ้งเรื่อง ตลอดทั้งซอยดังกล่าว โดยเฉพาะหน้าร้าน Maison Dunand และหน้าร้าน Alpea พบสายสีดำ (ไม่ทราบประเภท) ห้อยพันกันไม่เป็นระเบียบ เป็นจำนวนมาก เกรงว่าอาจเกิดอันตรายได้อ้างอิงเลขที่รับแจ้ง DFVLTV ตรวจสอบจากระบบ ส่งต่อ เมื่อวันที่21 ม.ค. 67 เจ้าหน้าที่แจ้งว่า เขตบางรัก ส่งต่อไปยัง สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ (กสทช.)ปัจจุบันผู้ร้องแจ้งว่า ปัญหายังไม่ได้รับการแก้ไขแต่อย่างใด สายสื่อสารไม่เป็นระเบียบ ขอให้เร่งดำเนินการ เนื่องจากแจ้งเรื่องมานานแล้ว และบริเวณดังกล่าวมีนักท่องเที่ยวจำนวนมาก (ขอให้เจ้าหน้าที่ติดต่อกลับผู้ร้อง)ซอย: สาทร 10ถนน: สาทรเหนือเขต: บางรัก#1555,"เขตบางรัก, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2024-05-03,18:28 น.,ใช้เวลา 4 วัน 1 ชม.,221,217
Z9JWF7,2024-04-03,13:25 น.,รอรับเรื่อง 246 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,2024-04-10,16:44 น.,ใช้เวลา 7 วัน 3 ชม.,247,240
BYW6UK,2024-02-20,09:29 น.,รอรับเรื่อง 290 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,ปัญหา: บริเวณถนนดังกล่าว ตั้งแต่แยกร่มเกล้าถึงลาดกระบัง ใกล้กับสถานีรถไฟฟ้าแอร์พอร์ต เรล ลิงก์ ลาดกระบัง พบเห็นมีการจราจรติดขัดหนาแน่น เนื่องจากถนนที่บริเวณดังกล่าวจะเชื่อมติดต่อกัน ผู้ร้องต้องการให้หาทางระบายรถออกจากมอเตอร์เวย์ที่จะมุ่งหน้าไปร่มเกล้า เพื่อแก้ไขปัญหาการจราจรติดขัดในช่วงเวลาเช้า-เย็นถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:44 น.,ใช้เวลา 79 วัน 22 ชม.,290,210
DWM7Z6,2024-02-08,14:38 น.,รอรับเรื่อง 301 วันที่แล้ว,เขตพระนคร แขวงบางขุนพรหม,ปัญหา: หน้าบ้านเลขที่ 42 พบท่อระบายน้ำอุดตัน ไม่สามารถระบายน้ำออกได้ เกรงว่าเวลาฝนตกอาจเกิดน้ำท่วมบ้านและภายในซอยบ้านเลขที่: 42ซอย: เทเวศร์ 1ถนน: กรุงเกษมจุดสังเกต: บริเวณต้นซอยดังกล่าว ซ้ายมือบ้านหลังแรกเขต: พระนคร#1555,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตพระนคร, เขตพระนคร, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2024-04-20,18:18 น.,ใช้เวลา 72 วัน 3 ชม.,302,230
WV4VW7,2024-02-07,22:38 น.,รอรับเรื่อง 302 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถสองแถวจอดคร่อมทางรถไฟขวางทางเข้าออกบริเวณหน้าสถานีถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:53 น.,ใช้เวลา 92 วัน 9 ชม.,303,210
BCJKWB,2024-02-07,22:35 น.,รอรับเรื่อง 302 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถแท็กซี่วนเข้าไปรับลูกค้าแล้วจอดคาบริเวณวงเวียนทำให้การจราจรติดขัด ถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:52 น.,ใช้เวลา 92 วัน 9 ชม.,303,210
