ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-HT2DAG,2024-12-06,13:04 น.,รอรับเรื่อง 10 นาทีที่แล้ว,เขตวัฒนา,รถเมลล์ควันดำ,"เขตวัฒนา, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-06,13:04 น.,รอรับเรื่อง,0,0
2024-G8RKG8,2024-12-06,12:35 น.,รอรับเรื่อง 40 นาทีที่แล้ว,เขตดินแดง แขวงดินแดง,รถเมล์ควันดำ,"เขตราชเทวี, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-06,12:35 น.,รอรับเรื่อง,0,0
2024-H88DAR,2024-12-06,12:19 น.,รอรับเรื่อง 55 นาทีที่แล้ว,เขตหนองแขม แขวงหนองแขม,อู่ซ่อมรถพ่นสีระเหยรบกวนบ้านข้างเคียง,"เขตหนองแขม, ฝ่ายสิ่งแวดล้อมฯ เขตหนองแขม, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-06,13:10 น.,ใช้เวลา 51 นาที,0,0
2024-9CEGU8,2024-12-06,12:13 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตธนบุรี แขวงตลาดพลู,เรื่องเดิมๆที่เคยแจ้ง แต่ไม่สามารถแก้ไขได้อย่างยั่งยืน1. เรื่องน้ำเน่าเสียในคลอง2. เรื่องกลิ่นอาหาร และก๊าซคาร์บอนไดออกไซค์ (ควันจากเตาถ่านลอยเข้าบ้าน) และกลิ่นต้มหน่อไม้ดองยามเช้าประมาณ 7 โมงเกือบทุกวัน,"เขตจอมทอง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-06,12:13 น.,รอรับเรื่อง,0,0
2024-97DP6M,2024-12-06,11:50 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,แจ้งไปหลายต่อหลายครั้ง ก็แก้ปัญหาไม่ได้เลย วันนี้ระบบว่าแก้ไขเรียบร้อย แต่กลิ่นขยะก็รุนแรง เหม็นมาก เราต้องมานั่งดมกลิ่นมลพิษ แบบนี้ไปอีกนานเท่าไร,"เขตประเวศ, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-06,11:50 น.,รอรับเรื่อง,0,0
2024-CTVCY4,2024-11-18,14:21 น.,รอรับเรื่อง 17 วันที่แล้ว,,กลิ่นขยะรุนแรงมากๆๆๆ สุดๆๆๆ ในวันที่อากาศดี แต่ต้องมานั่งดมกลิ่นเหม็นๆๆ,"ศูนย์กำจัดมูลฝอยอ่อนนุช กกฝ. สสล., เขตประเวศ, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2024-12-06,11:51 น.,ใช้เวลา 17 วัน 21 ชม.,18,0
2024-4NK98H,2024-11-08,17:52 น.,รอรับเรื่อง 27 วันที่แล้ว,เขตประเวศ แขวงประเวศ,มีการเผาขยะแล้วกลิ้นรอยเข้ามาที่โครงการThe city สุขุมวิท-อ่อนนุช,"ฝ่ายเทศกิจ เขตประเวศ, เขตประเวศ, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2024-12-06,10:38 น.,ใช้เวลา 27 วัน 16 ชม.,28,0
2023-3TNHWX,2023-12-17,08:18 น.,รอรับเรื่อง 355 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-02-02,12:06 น.,ใช้เวลา 47 วัน 3 ชม.,355,308
2023-GTDM26,2023-05-15,19:31 น.,รอรับเรื่อง 570 วันที่แล้ว,เขตบางแค แขวงบางแค,ไหล่ทางมีฝุ่นแดงฟุ้งกระจาย,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักสิ่งแวดล้อม กทม., เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2023-06-29,19:15 น.,ใช้เวลา 44 วัน 23 ชม.,571,526
2023-BUNVKN,2023-02-24,14:50 น.,รอรับเรื่อง 650 วันที่แล้ว,,อากาศเป็นมลพิษและปริมาณฝุ่นสูงมาก รบกวนตรวจสอบปรับปรุงแก้ไขให้ด้วยครับ ขอบคุณครับ,"สำนักสิ่งแวดล้อม กทม., กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, กรุงเทพมหานคร, เขตยานนาวา, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:50 น.,ใช้เวลา 1 นาที,651,651
