ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-D767F7,2024-12-06,12:33 น.,รอรับเรื่อง 42 นาทีที่แล้ว,เขตคลองเตย,ขับขี่รถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.51น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:33 น.,รอรับเรื่อง,0,0
2024-K76WFM,2024-12-06,12:31 น.,รอรับเรื่อง 44 นาทีที่แล้ว,เขตคลองเตย แขวงพระโขนง,ขับขี่รถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.51น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:31 น.,รอรับเรื่อง,0,0
2024-GTVM49,2024-12-06,12:29 น.,รอรับเรื่อง 46 นาทีที่แล้ว,เขตคลองเตย,มีผู้ขับขี่รถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.53น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:29 น.,รอรับเรื่อง,0,0
2024-CMMY7H,2024-12-06,12:26 น.,รอรับเรื่อง 49 นาทีที่แล้ว,เขตคลองเตย แขวงพระโขนง,ขับขี่รถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.53น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:26 น.,รอรับเรื่อง,0,0
2024-NHAEGU,2024-12-06,12:23 น.,รอรับเรื่อง 52 นาทีที่แล้ว,เขตคลองเตย แขวงพระโขนง,ผู้ขับรถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.52น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:23 น.,รอรับเรื่อง,0,0
2024-7DYDY8,2024-12-06,12:19 น.,รอรับเรื่อง 56 นาทีที่แล้ว,เขตคลองเตย แขวงพระโขนง,ผู้ขับรถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.51 น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:19 น.,รอรับเรื่อง,0,0
2024-7BECYV,2024-12-06,12:16 น.,รอรับเรื่อง 59 นาทีที่แล้ว,เขตคลองเตย แขวงพระโขนง,ผู้ขับรถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.51 น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:16 น.,รอรับเรื่อง,0,0
2024-M7XQ4U,2024-12-06,12:14 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,ผู้ขับรถจักรยานยนต์บนทางเท้า วันจันทร์ที่ 2 ธันวาคม 2567 เวลา 17.51 น.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:14 น.,รอรับเรื่อง,0,0
2024-6HH83K,2024-12-06,12:01 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,มีผู้ขับรถจักรยานยนต์บนทางเท้า วันอังคารที่ 3 ธันวาคม 2567 เวลา 20.08 น. เกือบเฉี่ยวชนผู้ที่เดินอยู่บนทางเท้าในขณะนั้น,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,12:01 น.,รอรับเรื่อง,0,0
2024-GLL7X9,2024-12-06,11:41 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,มีผู้ขับขี่รถจักรยานยนต์บนทางเท้า เมื่อวันพุธที่ 4 ธันวาคม เวลา 17.53,"เขตคลองเตย, ฝ่ายเทศกิจ เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,11:54 น.,ใช้เวลา 14 นาที,0,0
