ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-74NTF8,2024-12-06,12:52 น.,รอรับเรื่อง 23 นาทีที่แล้ว,เขตธนบุรี แขวงบุคคโล,สอบถามสาเหตุการตัดต้นไม้บนเกาะกลางถนนหน้าคอนโดไอดีโอสาทร ท่าพระครับ ว่าตัดเพราะอะไร ก่อนหน้านี้ต้นไม้ร่มรื่นมาก หากมันยื่นออกมาแค่ตัดแต่งก็ได้นิครับ แบบนี้มันจะไปขัดกับนโยบายต้นไม้ล้านต้นของอ.ชัชชาติรึเปล่าครับ,"เขตธนบุรี, ฝ่ายรักษาความสะอาดฯ เขตธนบุรี, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-06,12:53 น.,ใช้เวลา 1 นาที,0,0
2024-4ZRG8B,2024-01-17,13:29 น.,รอรับเรื่อง 323 วันที่แล้ว,เขตธนบุรี แขวงดาวคะนอง,รถเมล์ขับไม่เหมาะสมขับปาดแล้วพอบีบแตรเตือนมีการแสดงพฤติกรรมไม่เหมาะสมขับเอนไปมาทำเหมือนจะชน,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,2024-01-18,07:28 น.,ใช้เวลา 18 ชม.,324,323
PWYUGT,2023-12-26,12:54 น.,รอรับเรื่อง 346 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ปัญหา: พบถนนขรุขระไม่เสมอกัน เกิดจากการก่อสร้างสถานีรถไฟฟ้าถนน: สมเด็จพระเจ้าตากสินจุดสังเกต: ตั้งแต่ถนนหน้าโรงพยาบาลพระปิ่นเกล้า งบริเวณซอยสมเด็จพระเจ้าตากสิน 20 ไปจนถึง ซอยสมเด็จพระเจ้าตากสิน 22เขต: ธนบุรี#1555,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ถนน,เปิดเรื่องใหม่,2024-01-05,10:14 น.,ใช้เวลา 9 วัน 21 ชม.,346,336
2023-DUCVDG,2023-07-16,01:22 น.,รอรับเรื่อง 509 วันที่แล้ว,เขตธนบุรี แขวงตลาดพลู,ร้านday off เปิดเพลงเสียงดัง ตอนตี1,"สน.ตลาดพลู, เขตธนบุรี, กองบังคับการตำรวจนครบาล 8 (บก.น.8), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), เพื่อนชัชชาติ, กรุงเทพมหานคร",เสียง,เปิดเรื่องใหม่,2023-07-22,11:22 น.,ใช้เวลา 6 วัน 10 ชม.,509,503
2023-MXUCFN,2023-07-14,11:09 น.,รอรับเรื่อง 511 วันที่แล้ว,เขตธนบุรี,ช่วยลงดู การก่อสร้างทางรถไฟ สายสีม่วง ตรงถนนตากสินด้วยค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-07-18,14:08 น.,ใช้เวลา 4 วัน 2 ชม.,511,507
2023-DFKNN4,2023-07-06,16:24 น.,รอรับเรื่อง 518 วันที่แล้ว,เขตธนบุรี แขวงสำเหร่,จักรยานเข็นบนฟุตบาทเกือบจะไม่ได้ และไม่มีทางเลี่ยงเส้นทางอื่นได้เลย ขอความช่วยเหลือจากหน่วยงานที่เกี่ยวข้องค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-07,10:37 น.,ใช้เวลา 18 ชม. 14 นาที,519,518
2023-BHARRX,2023-06-21,08:21 น.,รอรับเรื่อง 534 วันที่แล้ว,เขตธนบุรี,ไฟริมทางเดินหน้าโรงเรียนมณีวิทยาดับอีกแล้วครับ ก่อนหน้านี้เคยมาแก้ไขแล้ว 1 ครั้ง,"เขตธนบุรี, กรมทางหลวงชนบท กระทรวงคมนาคม, การไฟฟ้านครหลวง เขตยานนาวา, Bangkok Smart Lighting (สำนักการโยธา กทม.), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,ส่งต่อ,2024-10-16,10:52 น.,ใช้เวลา 483 วัน 2 ชม.,534,51
2023-CAKRCC,2023-05-22,06:26 น.,รอรับเรื่อง 564 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ตัวหนังสือที่ป้ายบอกทางเลือนจนอ่านไม่ได้ รบกวนแก้ไข,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-07-27,22:07 น.,ใช้เวลา 66 วัน 15 ชม.,564,498
2023-B2EBD3,2023-05-11,19:17 น.,รอรับเรื่อง 574 วันที่แล้ว,เขตคลองสาน แขวงสมเด็จเจ้าพระยา,ช่องทางจราจรบริเวณถนนประชาธิปกตัดกับถนนอิสรภาพ ซึ่งกำลังทำรถไฟฟ้าอยู่ ช่องทางจราจรเลนขวาสุดมีขนาดเล็กมาก,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-05-12,16:03 น.,ใช้เวลา 20 ชม. 47 นาที,575,574
2023-9RUU7Y,2023-03-21,13:09 น.,รอรับเรื่อง 626 วันที่แล้ว,เขตธนบุรี,มีคนมาหากิน ค่าที่จอดรถใต้สะพานลอยตลาดพลูฝั่งธนบุรี,"สน.ตลาดพลู, สำนักการคลัง กทม., เขตธนบุรี, กองบังคับการตำรวจนครบาล 8 (บก.น.8), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-05-02,16:38 น.,ใช้เวลา 408 วัน 3 ชม.,626,218
