ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LAA2QQ,2024-12-06,13:01 น.,รอรับเรื่อง 14 นาทีที่แล้ว,เขตบางกะปิ แขวงคลองจั่น,พบเห็นการชำรุด ของฝาท่อบริเวณทางเท้า อยู่ตรง โรงแรมมอลล์สวีท ใกล้กับ เดอะมอลล์บางกะปิ พบว่าชำรุดมานานแล้ว แจ้งเพื่อประสานแก้ไขด้วยครับ,"เขตบางกะปิ, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-06,13:01 น.,รอรับเรื่อง,0,0
2024-EYMWXW,2024-12-06,12:56 น.,รอรับเรื่อง 19 นาทีที่แล้ว,เขตบางกะปิ แขวงคลองจั่น,"ตลาดบางกะปิ โซนขายอาหารทะเล ร้านสามชายทะเล(เจ้ริน)เบอร์096-8877050 แรงงานพม่ามาเฟีย จะใช้มีดแทงลูกค้า เอาของเก่าของเน่ามาขายเอาไปคืนเพื่อขอคืนเงินไม่พอใจ (โทรสั่งทางออนไลน์) พอไปหน้าร้านหอยแครงโลละ190,200 แต่ขายให้เรา210บาท ซึ่งไม่ใช่sizeที่คุยกันไว้เอาsize190มาให้เราแต่เก็บเงิน210บาทเกินกว่าราคาที่ติดหน้าร้านด้วยซ้ำ และร้านนี้โกงตาชั่งพอเราบอกก็ไม่พอใจจะไม่ชดใช้ให้เรา ทุกครั้งเราแจ้งเจ้ริน(เจ้าของร้าน)แต่ก็ไม่พอใจเช่นเดิมแถมด่าลูกค้าหยาบๆด้วย อยากให้ตรวจสอบตราชั่งและแรงงานพม่าช่วงกะดึกเที่ยงคืน เพราะไม่มีบัตรและทำตัวเป็นมาเฟีย","เขตบางกะปิ, กรุงเทพมหานคร",คุ้มครองผู้บริโภค,รอรับเรื่อง,2024-12-06,12:56 น.,รอรับเรื่อง,0,0
2024-7ELUEN,2024-12-06,11:48 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางกะปิ,กล้อง CCTV ไม่สามารถใช้งานได้,"เขตบางกะปิ, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-06,11:48 น.,รอรับเรื่อง,0,0
2024-DTMMEN,2024-12-06,09:09 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,แขวงหัวหมาก,เก้าอี้ที่ป้ายรถเมล์พังค่ะ,"เขตบางกะปิ, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-06,09:09 น.,รอรับเรื่อง,0,0
2024-AR9923,2024-12-06,08:59 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตหัวหมาก แขวงบางกะปิ,ปากซอยเข้าถนนสามัคคีพัฒนาทรุดชำรุดมากขอความอนุเคราะห์ช่วยซ่อมให้ด้วยนะคะ,"เขตบางกะปิ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-06,08:59 น.,รอรับเรื่อง,0,0
2024-ECMRFA,2024-07-16,23:06 น.,รอรับเรื่อง 142 วันที่แล้ว,เขตบางกะปิ,รถขยะเข้ามาเก็บขยะแล้วทำถนนพัง,"ฝ่ายโยธา เขตบางกะปิ, เขตบางกะปิ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-06,11:15 น.,ใช้เวลา 142 วัน 12 ชม.,143,0
2023-9WZ3QN,2023-02-28,15:14 น.,รอรับเรื่อง 646 วันที่แล้ว,เขตบางกะปิ แขวงหัวหมาก,ปัญหาทางเท้า แคบป้าย ซอย ไม่ชัดเจนมีหลุม มี บ่อครับ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-03-08,20:48 น.,ใช้เวลา 8 วัน 5 ชม.,647,639
2022-NLCXZE,2022-09-01,22:14 น.,รอรับเรื่อง 826 วันที่แล้ว,เขตบางกะปิ,พื้นฟุตบาตยุบเสียหาย อาจเป็นอันตรายกับคนเดินเท้าได้ (บริเวณปากซอยลาดพร้าว 101 ฝั่งตลาด),"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., ฝ่ายโยธา เขตบางกะปิ, สำนักการโยธา กทม., เขตบางกะปิ, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตบางกะปิ (นายไพรัตน์), กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-30,17:43 น.,ใช้เวลา 331 วัน 19 ชม.,827,495
2022-TNBP4Y,2022-07-17,07:30 น.,รอรับเรื่อง 873 วันที่แล้ว,เขตบางกะปิ,ร้องเรียนเรื่อง สายรถเมล์,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-26,21:59 น.,ใช้เวลา 9 วัน 14 ชม.,873,864
2022-ETXT4P,2022-07-14,07:49 น.,รอรับเรื่อง 876 วันที่แล้ว,เขตบางกะปิ,ผรมกินพื้นที่ถนนมากเกินไปทำให้รถติด,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2022-07-15,08:22 น.,ใช้เวลา 1 วัน,876,875
2022-FF3NBA,2022-06-21,15:37 น.,รอรับเรื่อง 898 วันที่แล้ว,เขตบางกะปิ,อยู่ที่ สวน นวมินทร์ภิรมย์ ครับ ทั้งหมดเลย,"สำนักสิ่งแวดล้อม กทม., เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-13,19:26 น.,ใช้เวลา 53 วัน 3 ชม.,899,846
2022-M39CTL,2022-06-19,11:42 น.,รอรับเรื่อง 901 วันที่แล้ว,เขตบางกะปิ,รถเมล์น้อยมาก สาย73ก ไม่มีเลย รอนานมากๆแล้วไม่ผ่านเลยสักคัน,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-06-19,11:42 น.,รอรับเรื่อง,901,901
