ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-NP3PT2,2024-12-06,12:45 น.,รอรับเรื่อง 30 นาทีที่แล้ว,เขตบางนา แขวงบางนาใต้,ไฟข้างทางไม่ติด ถนนมืด และ ฝาท่อแตกหักเป็นรูใหญ่ เนื่องจากมีรถบรรทุกขับเข้า-ออกบ่อย อันตรายค่ะ,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-06,12:45 น.,รอรับเรื่อง,0,0
2024-9XZV68,2024-12-06,09:09 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตบางนา แขวงบางนาเหนือ,รถแท็กซีจอดปิดกั้นทำให้รถเมล์เข้ารับผู้โดยสารไม่ได้ค่ะ,"เขตบางนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,09:09 น.,รอรับเรื่อง,0,0
2024-DU9BBM,2024-12-06,08:58 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตบางนา,รถบรรทุกวิ่งนอกเวลา,"กรุงเทพมหานคร, เขตบางนา, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,08:58 น.,รอรับเรื่อง,0,0
2024-GEQH7L,2024-12-05,21:32 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตบางนา,ผมเคยแจ้งเรื่องหาบเร่แผงลอยทิ้งขยะไว้ตรงทางเท้าในช่วงดึกที่เค้าปิดแผงกันแล้ว ผมเข้าใจว่าทางเขตไม่น่าทำอะไรได้นอกเหนือจากการให้รถมาเก็บไป แต่ที่จะแจ้งปัญหารอบนี้คือพอมันมีขยะ มันเลยมีปัญหาเรื่องน้ำขยะที่ไหลและเจิ่งนองตรงทางเท้าและริมถนนซึ่งน้ำขยะพวกนี้มันไม่ไหลลงรูระบายน้ำเลยส่งกลิ่นเหม็นให้คนที่เดินผ่านได้กลิ่นมาก ๆ,"เขตบางนา, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-05,21:32 น.,รอรับเรื่อง,1,1
2024-EUKRDC,2024-12-05,10:19 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา แขวงบางนาใต้,ขอให้ยุติการรื้อถอนสิ่งปลูกสร้าง,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,06:33 น.,ใช้เวลา 20 ชม. 14 นาที,1,0
2024-D2ND4N,2024-12-05,09:50 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา แขวงบางนาใต้,มีการรื้อถอนสิ่งปลูกสร้าง,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,06:35 น.,ใช้เวลา 20 ชม. 46 นาที,1,0
2024-3W9XHG,2024-12-04,22:18 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา แขวงบางนาเหนือ,เจ้าของรถที่เจ้าหน้าที่ไม่ได้ปรับเพราะตักเตือนได้กลับมาจอดเหมือนเดิมที่เดิม เนี้ยแล้วมันจะกลัวมั่วแต่ตักเตือนคนนุ่นคนนี้ เลขแจ้งเก่าของผมตามดูได้ #2024-7UFULQ ถ่ายตอน 22.10,"เขตบางนา, ฝ่ายเทศกิจ เขตบางนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,06:36 น.,ใช้เวลา 1 วัน 8 ชม.,2,0
2024-ET32AN,2024-12-04,10:37 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตบางนา แขวงบางนาใต้,รบกวนเขตบางนา สำรวจถนนพัง ถนนเป็นหลุมเป็นบ่อ ในหมู่บ้านนภาลัยด้วยคะ รถขับก็อันตราย คนเดินก็อันตราย,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-04,10:37 น.,รอรับเรื่อง,2,2
2024-KYD6LE,2024-12-03,06:52 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตบางนา แขวงบางนาเหนือ,ก่อสร้างอาคารผิดพระราชบัญญัติควบคุมอาคาร และก่อสร้างบนทางสาธารณะประโยชน์ เป็นการใช้ประโยชน์ส่วนบุคคลบนพื้นที่สาธารณะ,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-04,06:34 น.,ใช้เวลา 23 ชม. 42 นาที,3,2
2024-BZUZBD,2024-11-29,22:50 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตพระโขนง,ฝาท่อชำรุดอันตราย,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-05,09:52 น.,ใช้เวลา 5 วัน 11 ชม.,7,1
2024-BZVWNX,2024-11-24,08:34 น.,รอรับเรื่อง 12 วันที่แล้ว,เขตบางนา,ขายของริมถนน ปัญหาเกิดซ้ำๆ แม้จะมี จนท. เข้ามาชี้แจงกับพ่อค้าแล้ว โปรดมีมาตรการอื่นนอกจากการมาชี้แจง จะต้องเป็นภาระให้ประชาชนต้องแจ้งอีกกี่ครั้งกัน,"เขตบางนา, ฝ่ายเทศกิจ เขตบางนา, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-11-28,06:36 น.,ใช้เวลา 3 วัน 22 ชม.,12,8
2024-EHVUBZ,2024-09-29,18:33 น.,รอรับเรื่อง 67 วันที่แล้ว,เขตบางนา แขวงบางนาเหนือ,ห้องแถวริมซอยที่ขายข้าวนึ่ง สร้างและต่อเติมรุกล้ำถนนสาธารณะและเกือบ”ห่อหุ้ม“เสาไฟฟ้าเอาไว้,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-06,06:44 น.,ใช้เวลา 67 วัน 12 ชม.,68,0
2024-FQG632,2024-09-27,19:44 น.,รอรับเรื่อง 69 วันที่แล้ว,เขตบางนา,ต้นไม้พื้นที่เอกชนย้อนขวางทางเดิน,"เขตบางนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-09-27,19:44 น.,รอรับเรื่อง,70,70
2024-A6P27B,2024-07-18,11:12 น.,รอรับเรื่อง 141 วันที่แล้ว,เขตพระโขนง แขวงบางจาก,ป้ายถูกกฏหมายหรือไม่,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เขตพระโขนง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-06,06:47 น.,ใช้เวลา 140 วัน 19 ชม.,141,0
2024-HA3UPL,2024-06-13,22:50 น.,รอรับเรื่อง 175 วันที่แล้ว,เขตบางนา,ทางลาดถนนเเตกขรุขระ,"ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), สำนักการโยธา กทม., เขตบางนา, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-03,23:53 น.,ใช้เวลา 173 วัน 1 ชม.,176,3
2024-3NMNPG,2024-04-28,19:11 น.,รอรับเรื่อง 221 วันที่แล้ว,เขตบางนา,ไฟฟ้าดับไฟส่องสว่างดับ 3 ดวงครับทั้งหน้าและหลังซอย,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,2024-04-30,13:03 น.,ใช้เวลา 1 วัน 17 ชม.,222,220
2024-68MBPN,2024-04-27,19:32 น.,รอรับเรื่อง 222 วันที่แล้ว,เขตบางนา,ไฟส่องสว่างทางเดินรถไม่ติดเป็นระยะประมาณ 300 เมตรได้ถนนมีแต่รถใหญ่วิ่งส่วนมาก ไฟก็ไม่ส่องสว่ทงอีกอันตรายมาก,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,2024-04-30,13:04 น.,ใช้เวลา 2 วัน 17 ชม.,223,220
2024-KH6LYN,2024-03-09,13:46 น.,รอรับเรื่อง 271 วันที่แล้ว,เขตบางนา,รั้วกำแพงแผ่นเหล็กนี้ ยืน รุกล้ำมาในถนนสาธารณะ แล้วยังวางกระถางต้นไม้คอนกรีตถาวรเพิ่มมาอีก กีดขวางการจราจรขอให้สังเกตว่าแนวรั้วนี้ยื่นล้ำออกมาจากเพื่อนบ้าน ขอให้รื้อถอนออก,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-04,08:23 น.,ใช้เวลา 269 วัน 18 ชม.,272,2
2024-6W9HLA,2024-03-09,13:06 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,เสาต้นนี้ตั้งล้ำถนนสาธารณะ และฝั่งตรงข้ามของเสา เป็นร้านก๋วยเตี๋ยวที่วางของรุกล้ำถนนเช่นกันขอให้รื้อถอน ขนย้าย ออกไป,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,เปิดเรื่องใหม่,2024-12-04,08:24 น.,ใช้เวลา 269 วัน 19 ชม.,272,2
2024-AZWFWP,2024-03-09,13:02 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,ร้านขายอาหารนี้ต่อเติมรุกล้ำถนนสาธารณะ ตลอดแนวอาคาร ทั้งยังวางของและชุดโต๊ะเก้าอี้ม้าหิน ฝั่งตรงข้ามก็คือไว้ริมกำแพงของโรงแรมขอให้รื้อถอน และขนย้าย ออกไปให้หมด,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:26 น.,ใช้เวลา 269 วัน 19 ชม.,272,2
2024-Y7D72M,2024-03-09,12:54 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,เสาเหล็กสีขาวต้นนี้วางทับสายไฟอยู่บนพื้นที่ถนนต้องการให้รื้อถอนออกไปครับ,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:27 น.,ใช้เวลา 269 วัน 19 ชม.,272,2
