ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LMCLVQ,2024-12-06,11:41 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก,กำลังประกอบนั่งร้านอยู่ครับบ้านเลขที่286/69,"เขตบางรัก, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,11:41 น.,รอรับเรื่อง,0,0
2024-FWQ82C,2024-12-06,11:27 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,รบกวนเก็บป้ายทั้งภาษาไทยและภาษาญี่ปุ่นถนนปั้น,"เขตบางรัก, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-06,11:27 น.,รอรับเรื่อง,0,0
2024-W7HDTK,2024-12-06,10:44 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสุริยวงศ์,รถเมล์ขับรถหวาดเสียวน่ากลัว ปาดไปปาดมา,"เขตบางรัก, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,10:44 น.,รอรับเรื่อง,0,0
2024-LYLY3C,2024-12-06,08:44 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสุริยวงศ์,ต้นไม้บังสัญญาณไฟเลี้ยวซ้าย ทำให้คนคิดว่าเลี้ยวซ้ายผ่านตลอด ทำให้อาจชนคนข้ามทางม้าลายหลังป้อมตำรวจ,"เขตบางรัก, ฝ่ายรักษาความสะอาดฯ เขตบางรัก, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-06,09:27 น.,ใช้เวลา 44 นาที,0,0
2024-MFKUDL,2024-11-29,10:28 น.,รอรับเรื่อง 7 วันที่แล้ว,เขตบางรัก แขวงสีลม,วันที่ 29 พย 67 เวลา 10.25 คนไร้บ้านกลับมานอนที่เดิม,"ฝ่ายพัฒนาชุมชนฯ เขตบางรัก, เขตบางรัก, กรุงเทพมหานคร",คนเร่ร่อน,เปิดเรื่องใหม่,2024-12-02,21:10 น.,ใช้เวลา 3 วัน 10 ชม.,7,4
2024-DKGVLU,2024-11-23,21:50 น.,รอรับเรื่อง 12 วันที่แล้ว,เขตบางรัก แขวงสีลม,มีคนไรบ้านมานอนใต้ทางด่วนทุกวันทั้งเช้า และ กลางคืน เดินไป มา,"ฝ่ายพัฒนาชุมชนฯ เขตบางรัก, เขตบางรัก, กรุงเทพมหานคร",คนเร่ร่อน,เปิดเรื่องใหม่,2024-11-29,10:26 น.,ใช้เวลา 5 วัน 12 ชม.,13,7
2024-N79CZM,2024-11-23,12:37 น.,รอรับเรื่อง 13 วันที่แล้ว,เขตบางรัก แขวงสีลม,สัญญาณไฟคนข้ามถนนหน้าธนาคารกรุงเทพมีปัญหา,"เขตบางรัก, กลุ่มงานสัญญาณไฟจราจร สวจ.สจส., สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กรุงเทพมหานคร",อุปกรณ์ชำรุด,เปิดเรื่องใหม่,2024-12-06,10:05 น.,ใช้เวลา 12 วัน 21 ชม.,13,0
2024-B2DR6B,2024-10-31,12:01 น.,รอรับเรื่อง 36 วันที่แล้ว,เขตบางรัก,ต้องการไปส่องสว่างทางม้าลายหน้าอาคารวอลสตรีททาวเวอร์,"เขตบางรัก, Bangkok Smart Lighting (สำนักการโยธา กทม.), สำนักการโยธา กทม., ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), กรุงเทพมหานคร",ไฟฟ้า,เปิดเรื่องใหม่,2024-12-06,10:09 น.,ใช้เวลา 35 วัน 22 ชม.,36,0
2024-3PKKTG,2024-10-25,20:09 น.,รอรับเรื่อง 41 วันที่แล้ว,เขตปทุมวัน แขวงวังใหม่,น่าจะจัดเก็บให้เจริญสายตามากกว่านี้ เป็นถนนเส้นหลัก นักท่องเที่ยวเยอะ,"เขตบางรัก, ฝ่ายรักษาความสะอาดฯ เขตบางรัก, ฝ่ายรักษาความสะอาดฯ เขตปทุมวัน, เขตปทุมวัน, กรุงเทพมหานคร",ความสะอาด,เปิดเรื่องใหม่,2024-12-06,12:01 น.,ใช้เวลา 41 วัน 15 ชม.,42,0
2024-DL7RUA,2024-10-12,14:17 น.,รอรับเรื่อง 54 วันที่แล้ว,เขตบางรัก,กทม จัดการด้วย เดี๋ยวตำรวจเค้ามา selfie แล้วบอกไม่เห็นมีใครอีก,"เขตบางรัก, สน.บางรัก, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-06,10:56 น.,ใช้เวลา 54 วัน 20 ชม.,55,0
