ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-GEHYG3,2024-12-06,09:33 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตบางเขน,ฝาเหล็กท่อระบายบนถนนลาดปลาเค้าบริเวณซอยลาดปลาเค้า60 ช่วงแถวๆหน้าร้านป.พาณิชย์ค้าวัสดุก่อสร้างและหน้าร้านธงทิวพาณิช เวลารถแล่นผ่านบนฝาท่อหลายอัน จะมีเสียงดังฝาท่อไม่แน่นค่ะ,"เขตบางเขน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-06,09:33 น.,รอรับเรื่อง,0,0
2024-9BFHG9,2024-12-06,09:30 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตบางเขน แขวงท่าแร้ง,ปล่อยปละละเลยให้มีการขับรถจักรยานยนต์บนฟุตบาทโดยไม่มีการกวดขัน บนถนนเทพรักษ์ทั้งเส้น,"เขตบางเขน, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,09:30 น.,รอรับเรื่อง,0,0
2024-7MAEAX,2024-12-06,09:27 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตบางเขน แขวงท่าแร้ง,ปล่อยปละละเลยให้มีการขับรถจักรยานยนต์บนฟุตบาทโดยไม่มีการกวดขัน บนถนนเทพรักษ์ทั้งเส้น,"เขตบางเขน, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,09:27 น.,รอรับเรื่อง,0,0
2024-KV39M9,2024-12-06,09:12 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตบางเขน แขวงท่าแร้ง,รุ่งสุวรรณอพาร์เมนต์ปลูกต้นไม้แทนรั้วรุกล้ำทางสาธารณะ แจ้งเรื่องไปคราวก่อนก็ไม่เห็นทำอะไรเลย แต่หน่วยงานที่มาตรวจสอบกลับแจ้งว่าดำเนินการเสร็จสิ้นแล้ว โดยยังไม่มีการจัดการกับต้นไม้ที่ปลูกรุกล้ำออกมาแม้แต่นิดเดียว ช่วยจัดการให้ด้วย,"เขตบางเขน, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-06,09:12 น.,รอรับเรื่อง,0,0
2024-CPTHGY,2024-12-06,08:19 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตบางเขน แขวงท่าแร้ง,มีการแอบทิ้งขยะและวัสดุก่อสร้างไว้ในภายในซอยรามอินทรา 5 แยก 27 ส่งกลิ่นเหม็นและลุกล้ำถนนภายในซอย,"เขตบางเขน, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-06,08:19 น.,รอรับเรื่อง,0,0
2024-8PF2QH,2024-12-06,08:05 น.,รอรับเรื่อง 5 ชั่วโมงที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,แท็กซี่จอดวนเขตป้ายรถเมล์,"เขตบางเขน, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,08:05 น.,รอรับเรื่อง,0,0
2024-EGK9T4,2024-12-05,16:40 น.,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,ฟุตบาตเพิ่งสร้างเสร็จไม่ถึงปี มีทั้งอิฐอตก พื้นยุบ อิญเด้งขึ้นมาทางกทม. ได้มีการตรวจสอบคุณถาพงานขิงผู้รับเหมาบ้างไหมคะ,"เขตบางเขน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-05,16:40 น.,รอรับเรื่อง,1,1
2024-FXXEB2,2024-12-05,12:50 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,ขอให้ค่ำคืนที่ของรถที่จะเปรี้ยวผาค่ะเพราะว่าเกือบถึงกระทบกับรถที่จะกลับรถทำให้เสียเวลาและมีการจราจรที่ติดยาวเกินไปส่งผลกระทบต่อคนที่อาศัยอยู่ตรงคอนโดใกล้เคียงทำให้รถติดมากค่ะทุกเช้ากลางวันเย็น,"เขตบางเขน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-05,12:50 น.,รอรับเรื่อง,1,1
2024-43DTKV,2024-12-05,11:06 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,วันที่ 5 ธันวาคม 2567 เวลาช่วงประมาณ 11:00 น. มีรถเทศบาลจอดเลนซ้ายเปิดไฟกระพริบพร้อมกับเจ้าหน้าที่เทศบาลใส่ชุดสีดำเดินมาริมถนนประมาณห้าหกคนประมาณห้าคนได้รถจอดกระพริบไฟแช่อยู่ตรงฝั่งซ้ายซึ่งไม่มีรถคันไหนจอดเลยมีรถให้เทศบาลจอดกระพริบไฟทำรถติดหนักที่กลับรถจากฝั่งตรงข้ามก็ติดรถที่มาจากฝั่งนี้ก็ติดเป็นรถของเทศบาลมาจอดไฟกระพริบแช่ไว้ตรงช่องซ้ายไม่เหมาะสมอย่างยิ่งไม่สมควรอย่างยิ่ง เป็นรถคันเดียวที่ทำให้ถนนเส้นนี้ติดในช่วงเวลาดังกล่าวอยากจะร้องเรียนและเสนอว่าสิ่งเหล่านี้ไม่ควรเกิดขึ้นโดยเฉพาะกับรถของเทศบาลเทศบาลหรือยังไงช่วยตรวจสอบด้วยตักเตือนมันไม่ถูกต้องอ่ะเป็นรถของทางราชการแล้วมาจอดซ้ายแช่ไว้แล้วไฟกระพริบทั้งที่ไม่มีรถประชาชนเค้าจอดเลยทำรถติดทั้งเส้นติดมาก,"เขตบางเขน, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-05,11:06 น.,รอรับเรื่อง,1,1
2024-AKYK9L,2024-12-05,10:34 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,การก่อสร้างในซอยรามอินทรา39 เหมือนไม่มีคนคุมงาน เละเทะมากๆ ไม่มีการบอกเวลาปิดถนน การเดินรถ ทำให้รถติดมากๆ และไม่เคยมีการคลีนนิ่ง ถนนเละเทะมากๆ รถพังด้วยค่ะ,"เขตบางเขน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-05,10:34 น.,รอรับเรื่อง,1,1
