ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-B49LG6,2024-12-06,12:59 น.,รอรับเรื่อง 16 นาทีที่แล้ว,เขตบางแค แขวงบางแคเหนือ,มีการต่อเติมหลังคามาคลุมบ้านผู้พักอาศัย ทำให้มีน้ำเข้าบ้านกรณีฝนตก,"เขตบางแค, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,12:59 น.,รอรับเรื่อง,0,0
2024-ANZ6XH,2024-11-25,08:20 น.,รอรับเรื่อง 11 วันที่แล้ว,เขตบางบอน แขวงบางบอนใต้,ถนนแถวบางแคไปกาญจนา นนทบุรีรถติดมากๆๆ มีซ่อมถนนช้ามาก รบกวนเร่งแก้ไข +รถบรรทุกวิ่งขวาทำให้รถติดมากขึ้นไปอีก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เขตบางบอน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-11-27,09:51 น.,ใช้เวลา 2 วัน 1 ชม.,11,9
2024-9BUTAZ,2024-09-21,19:02 น.,รอรับเรื่อง 75 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ต้นไม้ยาวสูงหนาบดบังวิสัยทัศน์ในการขับรถบริเวณเกาะกลางถนนกาญนาวงแหวนใกล้กับเดอะมอลบางแค แนบรูป 19.00 21/9/67,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-09-22,09:44 น.,ใช้เวลา 14 ชม. 42 นาที,76,75
2024-GWHDRT,2024-09-20,13:50 น.,รอรับเรื่อง 76 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ฟุตบาทแตกหัก เสี่ยงต่อการเกิดอุบัติเหตุทางเดินเท้า,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-10-08,10:45 น.,ใช้เวลา 17 วัน 20 ชม.,77,59
2024-KLMF2G,2024-09-20,13:48 น.,รอรับเรื่อง 76 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ทางฟุตบาท แตกหัก บิ่น เสี่ยงต่อการเดินสะดุด หกล้ม,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-09-22,09:45 น.,ใช้เวลา 1 วัน 19 ชม.,77,75
2024-HLZAR4,2024-09-07,06:44 น.,รอรับเรื่อง 90 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-09-09,14:51 น.,ใช้เวลา 2 วัน 8 ชม.,90,88
2024-BFZEWW,2024-09-07,06:42 น.,รอรับเรื่อง 90 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-09-09,14:51 น.,ใช้เวลา 2 วัน 8 ชม.,90,88
7LHKPD,2024-08-22,18:16 น.,รอรับเรื่อง 105 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: เรื่องเดิม บนสะพานลอยหน้าสถานีบริการน้ำมันคาลเท็กซ์ ถนนกาญจาภิเษก เลี้ยวจากเดอะมอลล์บางแค มุ่งหน้าไปถนนพระรามที่ 2 (เป็นสะพานลอยที่ยาวมาก) บริเวณนี้ค่อนข้างเปลี่ยว ไม่มีกล้องวงจรปิด CCTV เกรงว่าประชาชนสัญจรไปมาในเวลากลางคืนจะได้รับอันตราย อ้างอิงเลขที่รับแจ้ง MUVHXL เมื่อวันที่ 3 เม.ย. 67 เจ้าหน้าที่ตอบกลับมาว่า เขตบางแค ส่งต่อไปยัง แขวงทางหลวงธนบุรี กรมทางหลวงปัจจุบันผู้ร้องแจ้งว่า อยากให้ทาง กทม.เร่งดำเนินการติดกล้อง CCTV บริเวณดังกล่าวเพื่อสร้างความอุ่นใจให้กับประชาชนถนน: กาญจนาภิเษกจุดสังเกต: สะพานลอยดังกล่าวจะอยู่เยื้องกับหมู่บ้านสุขสันต์ 6เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,รอรับเรื่อง,2024-08-23,11:41 น.,ใช้เวลา 17 ชม. 26 นาที,106,105
2024-LK4RB8,2024-08-20,20:02 น.,รอรับเรื่อง 107 วันที่แล้ว,เขตบางแค แขวงหลักสอง,มีการเลาะหน้าถนนตั้งแต่วันเสาร์ 17/8/2567 จนถึงวันนี้ วันที่ 20/8/2567 แล้วยังไม่มีการดำเนินการติดไฟสัญญานเตือนหรือป้ายเตือนอันตราย ทำให้รถที่ลงคอสะพานมาด้วยความเร็วไม่ทันระวังเกิดอุบัติเหตุไปแล้วหลายคัน ก็ยังไม่มีการดำเนินการอะไรคืบหน้าเลย รบกวนแจ้งฝ่ายที่เกี่ยวข้องเร่งตรวจสอบให้หน่อยนะคะ อันตรายมากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-08-21,08:59 น.,ใช้เวลา 12 ชม. 57 นาที,108,107
XXTXAW,2024-08-19,15:03 น.,รอรับเรื่อง 108 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: บนถนนดังกล่าว บริเวณหน้าห้างสรรพสินค้า ดิ เอ็กซ์เพลส มอลล์ พบยางมะตอยบนผิวการจราจรหลุดร่อนออกมา ทำให้เป็นหลุมเป็นบ่อ เป็นระยะทาง 3-4 เมตร ถนน: กาญจนาภิเษกจุดสังเกต: ถนนกาญจนาภิเษกฝั่งขาเข้า มุ่งหน้าไปพระราม 2เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",ถนน,รอรับเรื่อง,2024-08-21,09:00 น.,ใช้เวลา 1 วัน 17 ชม.,109,107
