ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-KZ37QL,2024-10-17,09:27 น.,รอรับเรื่อง 52 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:16 น.,ใช้เวลา 45 วัน 1 ชม.,53,8
2024-B97KB8,2024-10-17,09:16 น.,รอรับเรื่อง 52 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:17 น.,ใช้เวลา 45 วัน 2 ชม.,53,8
2024-K3BBZV,2024-06-16,09:19 น.,รอรับเรื่อง 175 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,วันทึ่ 16 มิถุนายน 2567 เวลา 9:18 น. รถสองแถว รถแท๊กซี่จอดขวางแช่ 1 เลนทำให้รถติด รบกวนเจ้าหน้าที่ตำรวจมากวดขันให้หนักกว่านี้,"สน.ท่าข้าม, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-06-17,17:08 น.,ใช้เวลา 1 วัน 7 ชม.,176,175
2024-EFL6HU,2024-06-11,07:36 น.,รอรับเรื่อง 181 วันที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,แยกอนามัยงามเจริญ รถติดมากทั้งๆ ที่ไม่มีไฟจราจรหรืออุบัติเหตุ ไม่เคยเห็นตำรวจจราจรมาจัดการจราจรสักครั้ง,"สน.ท่าข้าม, เขตบางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-06-25,12:16 น.,ใช้เวลา 14 วัน 4 ชม.,181,167
2024-MEPYYG,2024-05-31,07:34 น.,รอรับเรื่อง 192 วันที่แล้ว,เขตภาษีเจริญ แขวงบางด้วน,มีรถจอดกีดขวางทาง ทำให้รถขยะไม่สามารถผ่านเข้ามาเก็บขยะภายในซอยด้านในได้ครับ,"สน.ภาษีเจริญ, เขตภาษีเจริญ, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-06-01,09:34 น.,ใช้เวลา 1 วัน 2 ชม.,192,191
Z9JWF7,2024-04-03,13:25 น.,รอรับเรื่อง 249 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,2024-04-10,16:44 น.,ใช้เวลา 7 วัน 3 ชม.,250,243
3DK2WM,2023-08-12,19:13 น.,รอรับเรื่อง 484 วันที่แล้ว,เขตบางบอน,ปัญหา: ประชาชนแจ้งว่าเปิดเพลงเสียงดังเปิดเป็นช่วงๆไม่สามารถระบุเวลาชัดเจนได้แต่เปิดเกือบจะทุกวัน ขอให้เจ้าหน้าที่ดำเนินการแก้ไขปัญหาดังกล่าวให้กับประชาชนด้วย บ้านเลขที่: 1524ซอย: เอกชัย109 ซอย21ถนน: เอกชัยบางบอนจุดสังเกต: บริเวณซอย 29 ซอยย่อยที่ 21 มีตลาดนัดและเซเว่น เข้ามาในซอยสุดซอยอยู่ทางขวามือ หมู่บ้านพระปิ่น5 บ้านหลังที่5 จะอยู่ขวามือ รั้วบ้านเป็นสีเทาเขต: บางบอน#1555,"สน.แสมดำ, เขตบางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",เสียง,รอรับเรื่อง,2024-02-19,15:16 น.,ใช้เวลา 190 วัน 20 ชม.,485,294
2023-NTK8VE,2023-05-24,07:56 น.,รอรับเรื่อง 565 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,จุดกลับรถบริเวณซอย เพชรเกษม65/1 ในช่วงเวลาเช้าของทุกวันใช้เวลาในการกลับรถนานกว่า20นาที ซึ่งไม่เคยได้รับการแก้ไข้ อยากให้เข้ามาตรวจสอบ เพราะว่าระยะทางสั้นมาก แต่ใช้เวลานานมาก เป็นแบบนี้ทุกวัน,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-07-30,16:10 น.,ใช้เวลา 67 วัน 8 ชม.,565,498
2023-F87L3D,2023-05-02,07:02 น.,รอรับเรื่อง 587 วันที่แล้ว,เขตบางแค แขวงหลักสอง,จราจรตื่นหรือยัง รถติดแต่จราจรหาย,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-05-03,09:27 น.,ใช้เวลา 1 วัน 2 ชม.,587,586
2023-EP6EV7,2023-02-21,07:32 น.,รอรับเรื่อง 657 วันที่แล้ว,เขตบางแค,รถจอดกีดขวางส่งผู้โดยสาร จราจรหายหัว,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2023-02-21,18:01 น.,ใช้เวลา 10 ชม. 30 นาที,657,657
