ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-DFLPH2,2024-12-09,07:51 น.,รอรับเรื่อง 40 นาทีที่แล้ว,เขตบางพลัด แขวงบางบำหรุ,มีการจอดรถข้ามวัน/ข้ามคืน ในซอย ซึ่งเป็นทางผ่านระหว่างถนนจรัญสนิทวงศ์กับถนนบรมราชนนี ทำให้เกิดความไม่สะดวกสำหรับผู้ใช้ซอย ซึ่งมีจำนวนมากในแต่ละวันนอกจากนั้นยังทำความลำบากให้ผู้อาศัยในบ้านที่ตั้งอยู่ในซอยนั้น เพราะเวลานำรถเข้าออกบ้าน จะต้องระวังกับรถที่สัญจรผ่านไปมา .. เพราะซอยที่แคบลงจากการจอดรถดังกล่าวขอเสนอให้ตั้งป้ายห้ามจอดตลอดเส้นทางในซอยจรัญสนิทวงศ์ 57 โดยเป็นป้ายห้ามจอดตลอดเวลา,"เขตบางพลัด, กองบังคับการตำรวจนครบาล 7 (บก.น.7), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.บางพลัด, กรุงเทพมหานคร",ผิดกฎจราจร,ส่งต่อ,2024-12-09,08:30 น.,ใช้เวลา 39 นาที,0,0
2024-DFV6VQ,2024-12-09,00:24 น.,รอรับเรื่อง 8 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงลำปลาทิว,ตลาดนั่งเพลินเปิดคอนเสริตเล่นดนตรีสดทุกวัน เสียงเบสดังมาก นอนพักผ่อนไม่ได้เลยครับ,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.ฉลองกรุง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,07:06 น.,ใช้เวลา 6 ชม. 42 นาที,0,0
2024-8C8RK4,2024-12-08,20:32 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงลำปลาทิว,เปิดเพลงกันดังสนั่นเลย,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.ฉลองกรุง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,07:07 น.,ใช้เวลา 10 ชม. 35 นาที,1,0
2024-7XB79L,2024-12-06,20:58 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตสาทร แขวงทุ่งวัดดอน,มีการจัดงานในพื้นที่ชุมชน ที่มีทั้งหอพัก โรงเรียน มีการใช้เครื่องขยายเสียง ที่ เสียงดังมากๆ เป็นการรบกวนคนในพื้นที่เป็นอย่างมาก แจ้งเรื่องไปเมื่อวาน วันนี้เหมือนประชด เปิดดังกว่าเดิมอีก หลายๆคนทำงานมาเหนื่อยๆก็อยากจะพักผ่อนนะครับ ยังไงต้องขอรบกวนให้ช่วยดำเนินการด้วย ไม่ควรมีการใช้เสียงดังขนาดนี้ ควรจำกัดเวลา และควบคุมการใช้เสียง เด็กเล็กก็นอนไม่หลับ ร้องเสียงดังรบกวนเพื่อนบ้านอีก ยังไงต้องขอความกรุณาทางเจ้าหน้าที่ด้วยนะครับ,"สน.วัดพระยาไกร, ฝ่ายสิ่งแวดล้อมฯ เขตสาทร, เขตสาทร, กองบังคับการตำรวจนครบาล 5 (บก.น.5), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,12:05 น.,ใช้เวลา 1 วัน 15 ชม.,3,1
2024-AM9QE6,2024-12-05,15:05 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เสียงดัง รบกวนการพักผ่อน,"ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.จรเข้น้อย, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-05,20:15 น.,ใช้เวลา 5 ชม. 11 นาที,4,4
2024-MYEWCQ,2024-12-03,11:20 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,สถานที่ขายบุหรี่ไฟฟ้า ซึ่งผิดกฎหมาย,"สน.สุทธิสาร, เขตจตุจักร, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-03,19:44 น.,ใช้เวลา 8 ชม. 25 นาที,6,6
2024-LY3VZT,2024-12-03,08:10 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,วันนี้ก็เหมือนเดิมทำงานตั้งแต่ตี5ขนของขึ้นรถเสียงดังไปบอกให้เบาหน่อยก็ยิ่งดังเหมือนแกล้งแถมเิารถจอดขวางถนนขึ้นของรถเข้าออกไม่ได้ขนาดมอเตอร์ไซด์ยังไปไม่ได้ไปบอกก็ว่ายังไม่เสร็จนี่มันถนนสาธารณะ นะ ไม่สนใจชักสีหน้าใส่จะต้องทนแบบนี้ตลอดไปหรอ,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.ลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-03,12:15 น.,ใช้เวลา 4 ชม. 5 นาที,6,6
2024-HXTW7R,2024-11-26,13:13 น.,รอรับเรื่อง 12 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,อยากให้มาตรวจสอบบ้านหลังนี้หน่อยครับเอากรวยยมาวางริมถนนไม่ให้คนจอดรถปัจจุบันช่วงเวลาบ่ายโมงจนถึงบ่ายสามโมงผู้ปกครองของโรงเรียนจำเป็นต้องมีที่จอดรถเพื่อมารับบุตรหลานครับแต่บ้านหลังนี้เอากรวยออกมาวางริมถนนในที่สาธารณะไม่ให้คนจอดครับ ช่วยมาพูดคุยหน่อยครับ ไม่กล้าเตือนเองกลัวจะมีปัญหา,"สน.ทองหล่อ, เขตวัฒนา, กองบังคับการตำรวจนครบาล 5 (บก.น.5), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-06,13:52 น.,ใช้เวลา 10 วัน,13,3
2024-KZ37QL,2024-10-17,09:27 น.,รอรับเรื่อง 52 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:16 น.,ใช้เวลา 45 วัน 1 ชม.,53,8
2024-B97KB8,2024-10-17,09:16 น.,รอรับเรื่อง 52 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,2024-12-01,11:17 น.,ใช้เวลา 45 วัน 2 ชม.,53,8
