ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LP684H,2024-08-01,06:19 น.,รอรับเรื่อง 130 วันที่แล้ว,เขตห้วยขวาง แขวงบางกะปิ,สายสื่อสารขาดห้อยลงมา อาจจะไปเกี่ยวคนหรือรถที่สัญจร,"สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), เขตห้วยขวาง, สำนักงาน กสทช. (สายสื่อสาร), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-08-06,15:54 น.,ใช้เวลา 5 วัน 9 ชม.,130,125
ELMYV7,2024-04-29,16:44 น.,รอรับเรื่อง 223 วันที่แล้ว,เขตบางรัก แขวงสีลม,ปัญหา: เดิมแจ้งเรื่อง ตลอดทั้งซอยดังกล่าว โดยเฉพาะหน้าร้าน Maison Dunand และหน้าร้าน Alpea พบสายสีดำ (ไม่ทราบประเภท) ห้อยพันกันไม่เป็นระเบียบ เป็นจำนวนมาก เกรงว่าอาจเกิดอันตรายได้อ้างอิงเลขที่รับแจ้ง DFVLTV ตรวจสอบจากระบบ ส่งต่อ เมื่อวันที่21 ม.ค. 67 เจ้าหน้าที่แจ้งว่า เขตบางรัก ส่งต่อไปยัง สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ (กสทช.)ปัจจุบันผู้ร้องแจ้งว่า ปัญหายังไม่ได้รับการแก้ไขแต่อย่างใด สายสื่อสารไม่เป็นระเบียบ ขอให้เร่งดำเนินการ เนื่องจากแจ้งเรื่องมานานแล้ว และบริเวณดังกล่าวมีนักท่องเที่ยวจำนวนมาก (ขอให้เจ้าหน้าที่ติดต่อกลับผู้ร้อง)ซอย: สาทร 10ถนน: สาทรเหนือเขต: บางรัก#1555,"เขตบางรัก, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2024-05-03,18:28 น.,ใช้เวลา 4 วัน 1 ชม.,224,220
2023-6GY7BF,2023-03-04,09:57 น.,รอรับเรื่อง 645 วันที่แล้ว,เขตบางกอกน้อย,สายสัญญาณห้อยระโยงระยาง กีดขวางบริเวณทางเดินเท้า ใกล้กับโรงพยาบาลวิชัยเวช และซอยจรัญ 28/5 เกรงว่าจะเป็นอันตรายต่อคนเดินสัญจรไปมาครับ,"เขตบางกอกน้อย, การไฟฟ้านครหลวง เขตธนบุรี, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-03-20,19:05 น.,ใช้เวลา 16 วัน 9 ชม.,646,630
2023-BRWE74,2023-02-09,23:51 น.,รอรับเรื่อง 668 วันที่แล้ว,เขตลาดพร้าว แขวงลาดพร้าว,สายบนเสาไฟร่วงลงมา,"การไฟฟ้านครหลวง เขตนวลจันทร์, เขตลาดพร้าว, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-02-11,13:27 น.,ใช้เวลา 1 วัน 13 ชม.,669,667
2022-F94CY3,2022-10-18,19:25 น.,รอรับเรื่อง 782 วันที่แล้ว,เขตราชเทวี,ป้ายรถเมล์ อยู่ตรงกับตู้ไฟ อ่านไม่ได้ เพราะมันอยู่ติดกันครับ อ่านได้ฝั่งเดียว,"สำนักงานระบบขนส่ง สขส. สจส., สำนักงาน กสทช. ภาค 2, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), ส่วนระบบขนส่งทางบกและทางน้ำ สขส., เขตราชเทวี, กลุ่มงานพัฒนาระบบโครงข่าย (สบน.สขส.), สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2024-11-26,15:34 น.,ใช้เวลา 769 วัน 20 ชม.,783,13
2022-4MEMU3,2022-07-20,14:01 น.,รอรับเรื่อง 872 วันที่แล้ว,,แจ้งเรื่องหม้อแปลงหน้าตึกดำรงแมนชั่นมีควันขึ้นมาหลังจากที่ฝนตกคืนวันที่ 19/7/65 เวลา 20.38 น. กลิ่นคละคลุ้งไปทั่วบริเวณ คนในตึกเดินลงตึกมาดูหาสาเหตุกันไม่เจอแต่มีคนยุชั้น 5 เห็นควันขึ้นที่บริเวณหม้อแปลงใหญ่ รบกวนเจ้าหน้าที่ตรวจสอบด้วยนะคะ เพราะสายไฟส่ยเคเบิ้ลสายอะไรต่างๆ นาๆ เยอะมาและอยู่ใกล้ตึกค่ะ,"การไฟฟ้านครหลวง เขตนนทบุรี, เขตหลักสี่, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-08-23,09:52 น.,ใช้เวลา 33 วัน 19 ชม.,873,839
2022-BL9BB3,2022-07-19,08:29 น.,รอรับเรื่อง 874 วันที่แล้ว,เขตภาษีเจริญ,สายไฟฟ้า,"เขตภาษีเจริญ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-06,14:57 น.,ใช้เวลา 18 วัน 6 ชม.,874,856
2022-37BZR3,2022-07-15,18:18 น.,รอรับเรื่อง 877 วันที่แล้ว,เขตบางขุนเทียน,ต้นไม้และสายไฟพันกัน ตอนกลางคืนมืด,"เขตบางขุนเทียน, การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,ส่งต่อ,2024-07-30,15:51 น.,ใช้เวลา 745 วัน 21 ชม.,878,132
2022-GULHWY,2022-07-15,09:27 น.,รอรับเรื่อง 877 วันที่แล้ว,เขตบางนา,การเดินสายไฟ สายเคเบิ้ล พาดสายไฟแบบนี้ ก่อให้เกิดอันตรายได้ รบกวนการไฟฟ้า หรือผู้เกี่ยวข้องดำเนินการแก้ไขด่วนค่ะ,"เขตบางนา, การไฟฟ้านครหลวง เขตบางกะปิ, การไฟฟ้านครหลวง เขตบางนา, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-09-16,07:31 น.,ใช้เวลา 62 วัน 22 ชม.,878,815
2022-MTDVR2,2022-07-12,09:14 น.,รอรับเรื่อง 880 วันที่แล้ว,เขตปทุมวัน,สายไฟ,"การไฟฟ้านครหลวง เขตคลองเตย, เขตปทุมวัน, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-13,11:25 น.,ใช้เวลา 1 วัน 2 ชม.,881,880
