ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LCBLTG,2024-12-09,08:00 น.,รอรับเรื่อง 31 นาทีที่แล้ว,เขตจอมทอง แขวงบางขุนเทียน,ปัญหาแมวจรจัด 4 ตัวในซอยเอกชัย20/1 นั้น จากภาพที่ทางเจ้าหน้าที่ส่งมา ขอเรียนว่า 1.บ้านที่เจ้าที่ไปคุยหน้าบ้านตามภาพถ่าย คือ 112/70-71 มิใช่บ้านที่ให้อาหารแมวแต่อย่างใด 2.บ้านที่ให้อาหารแมวประจำ มี 2 จุด คือ ตรงหน้าบ้าน 112/69 (มีจักรยานยนต์จอดหน้าบ้าน) และบริเวณบ้านสีฟ้าหน้าปากซอย 2.1 ซึ่งบ้าน 112/69 ให้แต่อาหารเท่านั้น แต่มิได้สนิทกับแมวจนสามารถอุ้มเล่นหรือพาไปทำหมันได้ และกลางวันก็ติดทำงานไม่สะดวกจับแมวไปทำหมันให้ได้3. แมวจรจัดในซอยนี้ มิได้มีใครสนิทจนอุ้มได้ อยากให้จนท.ที่เชี่ยวชาญ มาจับแมวทำหมันเอง และประสานส่งแมวไปบ้านแมวที่วัดพระบาทน้ำพุ จ.ลพบุรีต่อไป,"เขตจอมทอง, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,2024-12-09,08:00 น.,รอรับเรื่อง,0,0
2024-HXARD8,2024-12-09,05:20 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตจอมทอง แขวงบางค้อ,ไฟฟ้าที่สวนสุวรรณานนท์ไม่ติดสองวันแล้วครับ,"เขตจอมทอง, ฝ่ายโยธา เขตจอมทอง, ฝ่ายรักษาความสะอาดฯ เขตจอมทอง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-09,07:03 น.,ใช้เวลา 1 ชม. 43 นาที,0,0
2024-ECE3ZU,2024-04-07,14:44 น.,รอรับเรื่อง 245 วันที่แล้ว,เขตจอมทอง แขวงบางขุนเทียน,"บ้านเลขที่ 58/19 ,58/4 ม.2 ซ.เอกชัย25 บ้านกำแพงสีเขียวเลี้ยงสุนัขจำนวนมาก เห่าหอนเสียงดังทั้งวันทั้งคืน กลิ่นขี้และกลิ่นสาปแรงมากกกกปล่อยออกมากัด ข้าวของชาวบ้านเสียหาย กัดแมวตายไปหลายตัว มีเสียงร้องเจ็บปวดเหมือนโดนตี เวลาคนเดินผ่านก็ไล่กัดเจ้าของตะโกนบอกไม่กลัวคนแจ้งไปที่สนง.เขต บอกว่าแจ้งไป สนง.เขตก็แค่ตักเตือนทำอะไรเค้าไม่ได้ เพราะตอนสนง.เขตไป ไม่เจอเจ้าของตัวจริง (เจอแต่ญาติ)อีกทั้งตอนนี้ขยายพื้นที่เลี้ยงสุนัขมากขึ้นสร้างกรงเลี้ยงกีดขวางทางร่องน้ำเอารถเข็น เครื่องซักผ้าเก่าๆ มากั้นทางเดิน ไม่ให้คนเดิน เพื่อสุนัขของตัวเองขอให้ สนง.เขต จอมทอง ช่วยจัดการให้เข้มข้นกว่านี้ด้วยครับชาวบ้านใกล้เคียงเดือดร้อนและทนมาหลายปีแล้วครับ","ฝ่ายสิ่งแวดล้อมฯ เขตจอมทอง, เขตจอมทอง, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,07:48 น.,ใช้เวลา 245 วัน 17 ชม.,246,0
2024-LZT29X,2024-01-16,11:29 น.,รอรับเรื่อง 327 วันที่แล้ว,เขตจอมทอง แขวงบางขุนเทียน,บ้านเลขที่ 58/19 อยู่ในซ.เอกชัย25เลี้ยงสุนัขจำนวนมากๆๆ น่าจะ50กว่าตัวส่งเสียงเห่าหอนทั้งวันทั้งคืนและส่งกลิ่นสาปกลิ่นอุจจาระรุนแรงมาก,"ฝ่ายสิ่งแวดล้อมฯ เขตจอมทอง, เขตจอมทอง, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,2024-12-08,09:28 น.,ใช้เวลา 326 วัน 21 ชม.,328,1
2023-LW6BUR,2023-07-22,22:11 น.,รอรับเรื่อง 505 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ไฟส่องตามทางตามคลองด้านหลังพุทธบูชา คลองลัดขี้เหล็กคลองบางมดอยากให้มีไฟส่องตามคลอง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตจอมทอง, เขตจอมทอง, การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2023-07-27,23:47 น.,ใช้เวลา 5 วัน 1 ชม.,506,501
TERVH2,2023-07-13,13:20 น.,รอรับเรื่อง 514 วันที่แล้ว,เขตธนบุรี แขวงตลาดพลู,ปัญหา: มีวัชพืชขึ้นในคลองบริเวณหน้าบ้านเป็นจำนวนมาก ทำให้มีสัตว์เลื้อยคลาน สัตว์มีพิษเข้าบ้านประชาชน อยากให้เจ้าหน้าที่มาตัดวัชพืชในคลองออกบ้านเลขที่: 40/3ถนน: ราชพฤกษ์จุดสังเกต: เลยสถานีรถไฟฟ้าวุฒากาศฝั่งราชพฤกษ์ มาประมาณ 50 เมตร อยู่ซ้ายมือริมถนน บริเวณเสารถไฟฟ้าต้นที่ 352เขต: จอมทอง#1555,"เขตจอมทอง, กรมทางหลวงชนบท กระทรวงคมนาคม, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",น้ำท่วม,เปิดเรื่องใหม่,2023-07-27,11:02 น.,ใช้เวลา 13 วัน 21 ชม.,515,501
2023-MREP4G,2023-06-26,08:16 น.,รอรับเรื่อง 532 วันที่แล้ว,เขตจอมทอง แขวงจอมทอง,พิกัด ปลายทางถนนพระราม2 ตัดเข้าถนนสุขสวัสดิ์ ช่วงซอยสุขสวัสดิ์16 สังเกตุเวลาเดินทางตอนเช้า จะพบว่ารถเมล์ต้องเปลี่ยนเลนส์ 2-3 เลนส์ในรถยะเวลากระชั้นชิบ เพราะป้ายรถเมล์ รวมถึงรถโดยสารกระบะขนาดเล็กที่จอดรอรับลูกค้านานๆ ทำให้การจราจรติดขัดหากเลื่อนป้ายรถเมล์ออกไป จะช่วยเพิ่มระยะทางที่รถเมล์ต้องเปลี่ยนเลนส์ ลดการตัดแทรกของรถไปมาได้ไหมคะ,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตจอมทอง, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-07-20,14:33 น.,ใช้เวลา 24 วัน 6 ชม.,532,508
2023-ENNTXN,2023-06-18,18:41 น.,รอรับเรื่อง 539 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงบางปะกอก,อยากให้คุณชัชชาติหรือทีมงานลงมาดูการก่อสร้างรถไฟฟ้าสายสีม่วงบริเวณแยกบางปะแก้ว ช่วงเข้าๆรถติดหนักมากบางวันยังไม่7โมงดีท้ายแถวยาวถึงเซ็นทรัลพระราม 2 แจ้งปัญไปกี่รอบแล้ว ทาง รหม.กับตำรวจจราจรไม่สามารถแก้ไขอะไรได้เลย,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจอมทอง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-06-19,19:47 น.,ใช้เวลา 1 วัน 1 ชม.,540,539
2023-4QL8CN,2023-01-18,21:45 น.,รอรับเรื่อง 690 วันที่แล้ว,เขตจอมทอง,บริเวณดังกล่าวริมถนนเเละทางเท้ามีความสกปรกขยะเยอะไม่มีเจ้าหน้าที่กรสดขันความสะอาดเเละเจ้าหน้าที่รักษาความสะอาดมาทำประจำเนื่องจากพยเห็นขยะเยอะเกือบทุกวัน,"กรมทางหลวงชนบท กระทรวงคมนาคม, เขตจอมทอง, เพื่อนชัชชาติ, กรุงเทพมหานคร",น้ำท่วม,เปิดเรื่องใหม่,2023-02-13,10:33 น.,ใช้เวลา 25 วัน 12 ชม.,691,665
2022-NCPAYM,2022-06-25,21:52 น.,รอรับเรื่อง 897 วันที่แล้ว,เขตจอมทอง,"1. ปัญหาน้ำประปามีสีขุ่น กลิ่นเหม็น มีปัญหาท่อแตก ,การปิดน้ำบ่อยครั้ง ,น้ำไม่ไหล โดยไม่แจ้งให้ทราบล่วงหน้า และหลังจากน้ำกลับมาใ้ช้ได้ปกติ น้ำมีสีขุ่นเหลืองและน้ำตาล มีกลิ้นเหม็น คาดเดาไม่ได้ว่าจะเป็นในช่วงใดบ้าง **ปัญหานี้เกิดขึ้นบ่อยมาก มากกว่า1-2 ครั้งต่อหนึ่งสัปดาห์**รบกวนหน่วยงานที่เกี่ยวข้อง ช่วยแก้ปัญหาอย่างเร่งด่วนหน่อยค่ะ คนในซอยลำบากมากเลยค่ะ(ซอยพระรามที่ 2 38 หมู่บ้านวรกาลวิลเลจ)","สำนักการประปา, เพื่อนชัชชาติ, เขตจอมทอง, กรุงเทพมหานคร",ประปา,เปิดเรื่องใหม่,2022-06-26,08:27 น.,ใช้เวลา 10 ชม. 36 นาที,898,897
