ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-CVCXQY,2024-12-08,21:36 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,ไฟฟ้าดับ ภายในซอยประชาสงเคราะห์ 24 หน้าบ้านเลขที่ 180 แยก 2,"เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-08,21:36 น.,รอรับเรื่อง,1,1
2024-EKHF97,2024-12-08,20:48 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตดินแดง,"ขอให้เปลี่ยนแปลงการปิดสนามกีฬากลางแจ้ง(สนามตะกร้อ-สนามวอลเลย์บอล-สนามบาส) จากเดิมเวลา 20:30 เป็น 21:00 เนื่องจากผู้ใช้บริการส่วนใหญ่เลิกงานและกว่าจะถึงสนามก็ 18:00 ได้ใช้เวลาเล่นเพียง 2.5 ชั่วโมง …สนามกีฬาอื่นๆเช่น สวนเบญฯ , จตุจักร ก็เปิดถึง 21:00 และ 22:00 อีกอย่าง วันจันทร์ซึ่งเป็นวันหยุดของศูนย์ก็ควรจะเปิดให้ใช้สนามกีฬากลางแจ้ง เพราะสนามกลางแจ้งไม่ได้มีทรัพย์สินมีค่าให้ขโมยอะไร แค่เพียงศูนย์ช่วยอำนวยความสะดวกเปิดไฟ-ปิดไฟ18:00-21:00 เท่านั้น และไม่น่าจะเสียงบประมาณอะไรมากมายกับการเปิดให้ใช้บริการสนามกลางแจ้งวันจันทร์","เขตดินแดง, กรุงเทพมหานคร",ขอใช้บริการ,รอรับเรื่อง,2024-12-08,20:48 น.,"ขอให้เปลี่ยนแปลงการปิดสนามกีฬากลางแจ้ง(สนามตะกร้อ-สนามวอลเลย์บอล-สนามบาส) จากเดิมเวลา 20:30 เป็น 21:00 เนื่องจากผู้ใช้บริการส่วนใหญ่เลิกงานและกว่าจะถึงสนามก็ 18:00 ได้ใช้เวลาเล่นเพียง 2.5 ชั่วโมง …สนามกีฬาอื่นๆเช่น สวนเบญฯ , จตุจักร ก็เปิดถึง 21:00 และ 22:00 อีกอย่าง วันจันทร์ซึ่งเป็นวันหยุดของศูนย์ก็ควรจะเปิดให้ใช้สนามกีฬากลางแจ้ง เพราะสนามกลางแจ้งไม่ได้มีทรัพย์สินมีค่าให้ขโมยอะไร แค่เพียงศูนย์ช่วยอำนวยความสะดวกเปิดไฟ-ปิดไฟ18:00-21:00 เท่านั้น และไม่น่าจะเสียงบประมาณอะไรมากมายกับการเปิดให้ใช้บริการสนามกลางแจ้งวันจันทร์",1,1
2024-8UAE29,2024-12-08,19:30 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,ต้องการทางเดินคนพิการ ตลอดแนว ซอย เพื่อไปถึง รถไฟฟ้า mrt,"เขตดินแดง, กรุงเทพมหานคร",ผู้พิการ+ใช้ล้อ,รอรับเรื่อง,2024-12-08,19:30 น.,รอรับเรื่อง,1,1
2024-97MTB8,2024-12-08,16:32 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,ใครมาวางเครื่องเซ่นหรืออะไรไม่รู้ค่ะ ตรงเสาร์ไฟ ซ.ประชาสงเคราะห์ 12 เห็นมาหลายวันแล้ว สร้างความสกปรก และทำให้ดูน่ากลัวค่ะ,"เขตดินแดง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-08,16:32 น.,รอรับเรื่อง,1,1
2024-DPDMKF,2024-12-08,15:21 น.,รอรับเรื่อง 17 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,มีหน่วยงานมาตัดต้นไม้แล้วทิ้งไว้ตั้งแต่ 9 โมงเช้า ตอนนี้ 15.15 ยังไม่มีการเก็บ แจ้งว่าจะมาเก็บไม่นานจะเข้ามา ทำให้การเข้าออกซอยยากมาก ไม่ใช่แค่หน้าปากซอยค่ะทางด้านนอกที่เป็นฟุตบาทก่อนออกบ้านมาคนเดินบ่นกันหมดเลยค่ะ ทั้งหมด 2 จุดที่ตัดกองไว้แบบนี้ หน้าปากซอย และทางเท้าค่ะ,"เขตดินแดง, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-08,15:21 น.,รอรับเรื่อง,1,1
2024-7TGKDW,2024-12-08,13:01 น.,รอรับเรื่อง 19 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,มีขยะขนาดใหญ่ ทิ้งอยู่ข้างๆตึกจำนวนมาก ส่งกลิ่นเหม็น มีพาหะนำโรคมาอาศัยอยู่ เช่น หนู งู ยุง,"เขตดินแดง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-08,13:01 น.,รอรับเรื่อง,1,1
2024-DRZB3U,2024-12-08,11:39 น.,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,เรื่อง รถยนต์ รถเข็นจอดกรีดขวาง หน้าคอนโด ครับ,"เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,11:39 น.,รอรับเรื่อง,1,1
2024-ELG7LQ,2024-12-08,10:39 น.,รอรับเรื่อง 21 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,ต้องจ่ายอย่างไร เพื่อให้ได้ใช้ฟุตบาทขายของได้เหมือนร้านนี้,"เขตดินแดง, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-08,10:39 น.,รอรับเรื่อง,1,1
2024-94PH64,2024-12-08,09:02 น.,รอรับเรื่อง 23 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,มีรถของร้านนิยมล้าง คาร์แคร์จอดกีดขวางการจราจรในซอย ตำรวจจราจรเพิกเฉย,"เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,09:02 น.,รอรับเรื่อง,1,1
2024-AXTA8E,2024-12-08,07:59 น.,รอรับเรื่อง 1 วันที่แล้ว,แขวงรัชดาภิเษก,คนหมดสติ,"เขตดินแดง, กรุงเทพมหานคร",ขอความช่วยเหลือ,รอรับเรื่อง,2024-12-08,07:59 น.,รอรับเรื่อง,1,1
