ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-M79399,2024-12-08,22:38 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,เรียนสำนักงานเขตทวีวัฒนาพื้นที่โล่งนี้มีคนเเอบมาขายของเเต่อยู่ในเขตทวีวัฒนาความรับผิดชอบเเขวงทางหลวงธนบุรี เเต่เคยได้เเจ้งไปแล้วไม่มีความคืบหน้ายังคงลักลอบขาย จึงขอความร่วมมือจากเจ้าหน้าที่ช่วยปรัสานเเละข่วยกันกวดขันอีกเเรงครับ,"เขตทวีวัฒนา, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-08,22:38 น.,รอรับเรื่อง,1,1
2024-AXNDFB,2024-12-08,20:37 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,จักรยานหาย ฝั่งตรงข้าม ม.อมรชัย 3 แขวงศาลาธรรมสพน์ ทวีวัฒนา กทม,"เขตทวีวัฒนา, กรุงเทพมหานคร",ขอความช่วยเหลือ,รอรับเรื่อง,2024-12-08,20:37 น.,รอรับเรื่อง,1,1
2024-NFXPC8,2024-10-12,11:51 น.,รอรับเรื่อง 57 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,1.ร้านอาหาร 2.ร้านต้นไม้ เปิดบนทางเท้า 3.รถจอดบนถนนขวางถนน ทำให้รถติดมาก เหมือนสร้างถนนให้รถมาจอด เดือนร้อนมากๆ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-10-15,11:04 น.,ใช้เวลา 2 วัน 23 ชม.,58,55
2024-BEDULL,2024-10-03,16:12 น.,รอรับเรื่อง 66 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ร้านค้าถนนกาญจนาภิเษกวางของรุกล้ำทางเท้ามากๆ แทบไม่มีทางเดิน เกิดอุบัติเหตุบ่อยครั้งเมื่อประชาชนผู้ใ้ทางเท้าต้องเดินบนถนน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-10-07,14:09 น.,ใช้เวลา 3 วัน 21 ชม.,67,63
2024-7G9PUV,2024-08-19,08:14 น.,รอรับเรื่อง 112 วันที่แล้ว,เขตทวีวัฒนา,ถนนชำรุด,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-08-21,09:01 น.,ใช้เวลา 2 วัน,112,110
2024-MTQWMV,2024-01-24,22:49 น.,รอรับเรื่อง 319 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ทางเลี้ยวออกมาจากถนนทวีวัฒนา-กาญจนาภิเษก ก่อนถึงหน้าธนาคารไทยพาณิชย์ เลนซ้ายสุด ถนนเป็นหลุมใหญ่ รถมอเตอร์ไซค์อาจเกิดอุบัติเหตุได้ ไม่แน่ใจว่าเป็นความรับผิดชอบของกรมทางหลวงฯหรือไม่ ฝากทางเขตฯ ประสานงานทีนะครับ ขอบคุณครับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-02-07,12:18 น.,ใช้เวลา 13 วัน 13 ชม.,320,306
2024-698NQ3,2024-01-22,16:41 น.,รอรับเรื่อง 321 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,สีที่สะพานเลอะเกิดคราบดำตระไคร้ขค้นไม่มีการทาสีปรับปรุง,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,รอรับเรื่อง,2024-02-07,12:20 น.,ใช้เวลา 15 วัน 19 ชม.,322,306
2024-C7WQLC,2024-01-22,16:35 น.,รอรับเรื่อง 321 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ขยะใต้สะพานเยอะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-03-13,18:16 น.,ใช้เวลา 51 วัน 1 ชม.,322,271
AYBY4W,2023-11-15,11:47 น.,รอรับเรื่อง 389 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ปัญหา: อยากให้เพิ่มรถเมล์สาธารณะถนน: เลียบคลองทวีวัฒนาจุดสังเกต: วิ่งจาก ถนนเพชรเกษม ไป ถนนปิ่นเกล้านครชัยศรีเขต: ทวีวัฒนา#1555,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตทวีวัฒนา, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,2023-11-24,15:39 น.,ใช้เวลา 9 วัน 3 ชม.,390,381
2023-MXW3LU,2023-09-03,10:48 น.,รอรับเรื่อง 462 วันที่แล้ว,เขตทวีวัฒนา,มีเศษหินหล่นบนยูเทิร์น,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,2023-09-05,09:37 น.,ใช้เวลา 1 วัน 22 ชม.,463,461
