ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-NF7B3R,2024-12-09,06:16 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,แขวงคลองจั่น,ตะวันนาใช้เครื่องเสียงใกล้ที่พักอาศัยบ่อยครั้ง แจ้งหลายรอบ เขตบางกะปิช่วยดำเนินการหน่อย,"เขตบางกะปิ, ฝ่ายสิ่งแวดล้อมฯ เขตบางกะปิ, กรุงเทพมหานคร",เสียง,กำลังดำเนินการ,2024-12-09,08:30 น.,ใช้เวลา 2 ชม. 15 นาที,0,0
2024-GNTL8M,2024-12-08,19:44 น.,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตบางกะปิ แขวงคลองจั่น,บ้านเลขที่9และ11 ซอย2 ถนนเสรี4 หัวหมาก บางกะปิ กทม 10240 เรื่องที่แจ้งดังนี้1/ กั้นรั้วกลางถนน เอาพื้นที่สาธารณะประโยชน์เป็นใช้ส่วนบุคคล ทำให้ผู้อยู่อาศัยข้างเคียงเข้าออกลำบาก2/ ให้อาหารแมวจรจัด ทำให้มีแมวติดเชื้อบ้าในบริเวณใกล้เคียงรวมถึงแมวจำนวนมากเข้ามาอยู่อาศัย ฉี่ และขี้ อยู่ในบริเวณบ้านใกล้เคียงหลายครั้ง จนทำให้เกิดเชื้อโรคติดต่อ ทำให้ลูกข้าพเจ้าต้องเข้ารับการรักษาในรพ เนื่องมาจากเชื้อโรคในขี้แมวแนวทางแก้ไข ทางฝ่ายสิ่งแวดล้อมและฝ่ายที่เกี่ยวข้อง เขตบางกะปิ ควรเข้ามาให้ความรู้ตักเตือนถึงความสะอาดความอันตรายด้านสิ่งแวดล้อมในชุมชนให้กับเจ้าของบ้านนี้,"เขตบางกะปิ, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,2024-12-08,19:44 น.,รอรับเรื่อง,1,1
2024-GUNFYU,2024-12-08,17:13 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,แขวงหัวหมาก,ลูกค้าร้านทำฟัน/พนักร้านทำฟัน จอดรถบนทางเท้า ขวางทางเดินเท้า,"เขตบางกะปิ, กรุงเทพมหานคร",ผิดกฎจราจร,กำลังดำเนินการ,2024-12-09,08:34 น.,ใช้เวลา 15 ชม. 21 นาที,1,0
2024-NAHXUW,2024-12-08,11:31 น.,รอรับเรื่อง 21 ชั่วโมงที่แล้ว,เขตบางกะปิ,รถยนต์ส่วนบุคคลและจักรยานยนต์จอดขีดขวางการจราจรในซอยที่มีการสัญจรเข้าออกพลุกพล่านและเป็นทางสาธารณะ รวมถึงเจ้าของอาคารนำกรวยมากั้นเป็นที่จอดรถของตนเอง,"เขตบางกะปิ, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,11:31 น.,รอรับเรื่อง,1,1
2024-LT4NQT,2024-12-08,09:37 น.,รอรับเรื่อง 22 ชั่วโมงที่แล้ว,แขวงคลองจั่น,1.เวลาการก่อสร้างเริ่มตั้งแต่ 7.00โมง จนถึงมืด ส่งเสียงดังรบกวนเวลาพักผ่อนและปัญหาสุขภาพจิตของเพื่อนบ้าน ควรจะเริ่มการก่อสร้างเวลาที่เหมาะสม ตามกฎหมายกำหนด2.ในช่วงวันหยุด วันอาทิตย์ / วันนักขัตฤกษ์ ก็ยังมีการก่อสร้าง รบกวนการพักผ่อนของเพื่อนบ้าน ต้องหยุดการก่อสร้างเพื่อไม่ให้กระทบการพักผ่อนของเพื่อนบ้าน3.การก่อสร้างไม่มีอุปกรณ์ป้องกัน ทำให้เกิดฝุ่นและเศษก่อสร้างก่อความรบกวนเพื่อนบ้าน4.ตรวจสอบการขออนุญาติต่อเติมบ้านว่าได้สร้างตามแบบที่ขออนุญาติหรือไม่,"เขตบางกะปิ, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,09:37 น.,รอรับเรื่อง,1,1
2024-6YBZHT,2024-12-08,08:21 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,รถยนต์ส่วนบุคคลและจักรยานยนต์จอดขีดขวางการจราจรในซอยที่มีการสัญจรเข้าออกพลุกพล่านและเป็นทางสาธารณะ รวมถึงเจ้าของอาคารนำกรวยมากั้นเป็นที่จอดรถของตนเอง,"เขตบางกะปิ, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,08:21 น.,รอรับเรื่อง,1,1
2024-GFBMAM,2024-12-08,08:20 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางกะปิ,แจ้งเรื่องห้องน้ำใช้การไม่ได้ทั้งสองที่ปิดป้ายน้ำไม่ไหลและอีกที่หนึ่งปิดประตูไม่สามารถจะใช้ได้ใช้ได้เปรียบเทียบการดูแลระหว่างสวนนวมินทร์และสวนพฤกษชาติการดูแลและบริหารจัดการผิดกันมากเพราะสาเหตุอะไร สว.ทุกคนบ่นกัน ขาห้องน้ำใช้ไม่ได้เลย,"เขตบางกะปิ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-08,08:20 น.,รอรับเรื่อง,1,1
2024-AYBTEG,2024-12-08,08:13 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางกะปิ,รถยนต์ส่วนบุคคลและจักรยานยนต์จอดขีดขวางการจราจรในซอยที่มีการสัญจรเข้าออกพลุกพล่านและเป็นทางสาธารณะ รวมถึงเจ้าของอาคารนำกรวยมากั้นเป็นที่จอดรถของตนเอง,"เขตบางกะปิ, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,08:13 น.,รอรับเรื่อง,1,1
2024-KV3LN3,2024-12-08,08:00 น.,รอรับเรื่อง 1 วันที่แล้ว,แขวงคลองจั่น,ไม่มีสัญญาณไฟคนข้ามตรงจุดนี้ ซึ่งตรงกับประตูสวน แต่มีสัญญาณไฟคนข้ามตรงจุดอื่นๆ ที่ไม่ค่อยมีคนข้าม,"เขตบางกะปิ, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-08,08:00 น.,รอรับเรื่อง,1,1
2024-ENWWEN,2024-12-08,07:44 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางกะปิ,รถเมล์ร่วมบริการสาย 92 จอดขวางป้ายรถสาธารณะ แล้วจอดแช่อยู่อย่างนั้นค่อนข้างนาน พอคนจะขึ้นรถโดยสารธรรมดา ก็ต้องเดินไปขึ้นกลางถนน เสี่ยงต่อการเกิดอุบัติเหตุ ซึ่งไม่ใช่แค่สายเดียวที่ทำแบบนี้ แต่มีทั้งรถสองแถว และรถร่วมบริการอีกหลายสาย และรถพวกนี้ส่วนมากควันท่อไอเสียเยอะมาก,"เขตบางกะปิ, กรมการขนส่งทางบก, กรุงเทพมหานคร",ผิดกฎจราจร,ส่งต่อ,2024-12-09,08:35 น.,ใช้เวลา 1 วัน,1,0
