ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-MBKNZE,2024-12-09,08:28 น.,รอรับเรื่อง 3 นาทีที่แล้ว,เขตปทุมวัน แขวงลุมพินี,วันจันทร์-วันศุกร์ (ยกเว้นวันนักขัตฤกษ์)เวลาประมาณ 6.30-9.00 น.ยังคงมีการขายจองบนทางเท้าเป็นประจำ กีดขวางการเดินเท้าโปรดอ่านข้อความเนื้อหาให้ครบถ้วนเพื่อประสิทธิภาพและประสิทธิผลของการปฎิบัติงาน และดำเนินการลงพื้นที่กวดขัน แก้ไขปัญหาอย่างจริงจัง,"เขตปทุมวัน, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-09,08:28 น.,รอรับเรื่อง,0,0
2024-8AUUNY,2024-12-08,22:33 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงลุมพินี,เสาตั้งอยู่กลางทางเท้าเกะกะมากๆปรับทางเท้าให้เหมือนเดิมด้วยครับ,"เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,22:33 น.,รอรับเรื่อง,1,1
2024-FDGNEQ,2024-12-08,22:26 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงลุมพินี,สภาพใจกลางเมืองเเต่ถนนปูดขรุขระมากๆ ช่วยตีเส้นจราจรคืนด้วยครับ ซ่อมใหเรียบเสมอกัน,"เขตปทุมวัน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,22:26 น.,รอรับเรื่อง,1,1
2024-UWCECB,2024-12-08,22:25 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน,เกาะกลางสร้างกีดขวางการจราจรทางเท้าเเละรถคนพิการมากข้วยรื้อออกเเละปรับพื้นให้เรียบเท่ากันครับ คนต้องเดินอ้อมเเสดงว่าไม่ควรมีไว้ตั้งเเต่เริ่ม?!,"เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,22:25 น.,รอรับเรื่อง,1,1
2024-PBDFN9,2024-12-08,22:22 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงลุมพินี,ทางเท้าช่วยวางเเผนกินเถอะครับ ขอร้องจากใจประชาชน อย่างหลังสวนพึ่งมารื้อเสาเระมากคืนสภาพเเย่มากๆๆ,"เขตปทุมวัน, สำนักการโยธา กทม., กรุงเทพมหานคร",ทางเท้า,ส่งต่อ,2024-12-09,08:30 น.,ใช้เวลา 10 ชม. 8 นาที,1,0
2024-76PMTD,2024-12-08,22:21 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงลุมพินี,เส้นจราจรโดนลาดทับเเล้วมาจุดกันจังช่วยปรับปรุงตีเส้นที่ทับครับ,"เขตปทุมวัน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,22:21 น.,รอรับเรื่อง,1,1
2024-DCV3CA,2024-12-08,22:16 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,ลักลอบต่อทางลาดขึ้นลงทางเท้ากรุณาสังปรับวินมเตอร์ไซเเบะทุบทิ้งครับ,"เขตปทุมวัน, ฝ่ายเทศกิจ เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:30 น.,ใช้เวลา 10 ชม. 14 นาที,1,0
2024-D4M79E,2024-12-08,22:13 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน,ต้นไม้ลงมาปลูกไม่ถึงปีต้นไม้ตายกมดแหว่งหายเกิดอะำรขึ้นกับเขตนี้ เขตอื่รเขาสามารถรักษาต้นไม้ได้ดีหรือควรจะปลูกต้นไม้ปลอมถ้าไม่มีเจ้าหน้าที่รับผิดชอบ,"เขตปทุมวัน, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-08,22:13 น.,รอรับเรื่อง,1,1
2024-M49R7G,2024-12-08,22:10 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน,คอบทางเท้าสีซีดจางไม่ชัดเจนสจส,"เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,22:10 น.,รอรับเรื่อง,1,1
2024-KNWRCX,2024-12-08,22:09 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,คอยทางเท้าปูนเเตกขรุขระช่วยซ่อมด้วยครับ พื้นที่กทม100%,"เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,22:09 น.,รอรับเรื่อง,1,1
