ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LWGXPE,2024-12-08,20:29 น.,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,งานวัสดุก่อสร้างที่ไม่ได้ใช้กินพื้นที่ผิวจราจรและทางเดินสัญจร (งานก่อสร้างปูพื้นอิฐที่ทำได้ได้ทำเสร็จแล้ว) ฝุ่นมลพิษ และเสี่ยงต่อการเกิดอุบัติเหตุบนผิวจราจร,"เขตป้อมปราบศัตรูพ่าย, ฝ่ายโยธา เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ถนน,กำลังดำเนินการ,2024-12-09,08:31 น.,ใช้เวลา 12 ชม. 2 นาที,1,0
2024-GC6HQF,2024-12-08,19:47 น.,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,แขวงวัดเทพศิรินทร์,ขอเสนอให้ย้ายตำแหน่งของบริเวณที่วางกองขยะเพื่อความแฟร์ และง่ายต่อชุมชนที่เดินมาทิ้งขยะ จากทุกสี่มุมถนน,"เขตป้อมปราบศัตรูพ่าย, ฝ่ายรักษาความสะอาดฯ เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ความสะอาด,กำลังดำเนินการ,2024-12-09,08:31 น.,ใช้เวลา 12 ชม. 45 นาที,1,0
2024-G7H2D3,2024-12-04,22:46 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,มีป้ายวางบนฟุตบาททุกคืน เทศกิจทำได้เเค่ยกป้ายออกแล้วถ่ายรูปส่งมาว่าไม่มีป้าย เทศกิจน่าจะหวาดกลัวเจ้าของร้าน หรืออาจรับ...มา ไร้เกียรติ ไร้ศักดิ์ศรี,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:25 น.,ใช้เวลา 4 วัน 9 ชม.,5,0
2024-48ZXUE,2024-12-03,08:42 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,"ขอให้นายเพ็ชร ภุมมา ผอ.เขตป้อมปราบ เอาป้ายใหญ่ๆ ที่เขียนว่า "" ห้ามจำหน่ายอาหารบนทางเท้า ฝ่าฝืนปรับ 5,000 บาท "" มาติดที่เสานี้ทั้งสองด้าน เพราะร้านนี้ขายของบนทางเท้าทุกคืน และมีการจ่าย ... ด้วย","ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:25 น.,ใช้เวลา 5 วัน 23 ชม.,6,0
2024-H38MTB,2024-11-26,08:47 น.,รอรับเรื่อง 12 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,ให้ตั้งแผงเหล็กบนฟุตบาทกั้นไม่ให้ร้านเหล้าเอามอเตอไซขึ้นมาจอด ไม่ใช่ตั้งบนถนน อ่านภาษาไทย และดูรูปให้เข้าใจด้วย,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:27 น.,ใช้เวลา 12 วัน 23 ชม.,13,0
2024-MYAALX,2024-11-20,09:26 น.,รอรับเรื่อง 18 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,คนเเถวนี้เค้ารู้กันหมดแล้ว ว่าทำไมร้านนี้ถึงตั้งขายบนทางเท้าเเละบนถนนตั้งเเต่ เที่ยงวันยันสามทุ่ม เทศกิจจะมาตรวจตอนเช้าที่ยังไม่ขาย กับตอนที่ปิดร้าน เพราะอะไร ผอ.เขต รู้มั้ย ถ้าไม่รู้มาถามคนเเถวร้านนี้ดู หรือจะมาแอบถามเด็กเสริฟที่ร้านก็ได้นะ 555,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:22 น.,ใช้เวลา 18 วัน 22 ชม.,19,0
2024-9GDWPN,2024-11-20,07:53 น.,รอรับเรื่อง 19 วันที่แล้ว,เขตพระนคร,ให้ กทม. มาเก็บค่าเช่าขายของบนทางเท้าเเละถนน หรือสอนเขตป้อมปราบให้ตัดต่อรูปให้เนียนๆสืบเนื่องจากบ้านเลขที่ 243 ซอยสวนมะลิ 1 ถนนหลวง เขตป้อมปราบ ตั้งโต๊ะ ตั้งร้านขายของบนทางเท้าเเละบนถนน ทุกวัน 12:00-21:00 ทางเขตป้อมปราบได้ทำการตัดต่อรูปว่าไม่มีตู้ หรือโต๊ะตั้งบนทางเท้า เเต่ทำไม่เนียน เป็นการช่วยเหลิอคนทำผิดเเบบไม่เเนบเนียน,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, เขตพระนคร, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:22 น.,ใช้เวลา 19 วัน,19,0
2024-ANPF9N,2024-11-20,07:47 น.,รอรับเรื่อง 19 วันที่แล้ว,เขตพระนคร,ให้ กทม. มาเก็บค่าเช่าขายของบนทางเท้าเเละถนน สืบเนื่องจากบ้านเลขที่ 243 ซอยสวนมะลิ 1 ถนนหลวง เขตป้อมปราย ตั้งโต๊ะ ตั้งร้านขายของบนทางเท้าเเละบนถนน ทุกวัน 12:00-21:00 แต่ทางเขตป้อมปราบให้การช่วยเหลือโดยการมาตรวจเวลาเช้าเก้าโมงกว่าตามรูปที่ทางเขตส่งกลับมาเข้าระบบ เป็นการช่วยเหลิอคนทำผิด ส่อทุจริต***,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, เขตพระนคร, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:18 น.,ใช้เวลา 19 วัน,19,0
2024-EFCQRA,2024-11-12,23:25 น.,รอรับเรื่อง 26 วันที่แล้ว,เขตพระนคร,บ้านเลขที่ 243 ซอยสวนมะลิ 1 เขตป้อมปราบศัตรูพ่าย จ่าย......เพื่อขายของบนฟุตบาท เเละบนถนน 12:00-21:00 ทุกๆวัน เทศกิจเเละผู้บริหารเขต ให้การช่วยเหลือเเบบ*** ทั้งตัดต่อรูปเเบบ***ให้เห็นว่าไม่มีตั้งของบนทางเท้าเเล้วส่งมาที่ฟองดูร์ มาตรวจตอนร้านยังไม่เปิด ตอนปิดร้าน วันที่ร้านหยุด เเล้วส่งรูปเข้าหองดูร์ ขอให้ กทม. มาเก็บค่าเช่าร้านนี้แล้วให้ขายไปเลย จะได้ไม่มีการทุจริตเก็บ...เข้ากระเป๋า,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, เขตพระนคร, ฝ่ายปกครอง เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:19 น.,ใช้เวลา 26 วัน 8 ชม.,27,0
2024-7XWPVC,2024-11-06,18:09 น.,รอรับเรื่อง 32 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,เทศกิจตั้งใจมาตรวจตอน 9 โมง ซึ่งเป็นเวลาที่ยังไม่ขาย ไม่มีตั้งของบนทางเท้า มาตรวจตอน 18:00 สิ ***เยอะเเน่ๆ ช่วยเหลือกันสุดๆ,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:19 น.,ใช้เวลา 32 วัน 14 ชม.,33,0
2024-B8QUYD,2024-11-06,18:03 น.,รอรับเรื่อง 32 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,ร้านนี้ตั้งขายบนทางเท้า และบนถนน เวลา 12:00-22:00 เเต่เทศกิจมาตรวจตอน 9:00 ก็ไม่เจอนะสิ *** ***,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:20 น.,ใช้เวลา 32 วัน 14 ชม.,33,0
2024-NY3LW3,2024-11-06,18:00 น.,รอรับเรื่อง 32 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,เพราะรับส่วย ก็เลยมาตรวจตอนที่ยังไม่ได้ตั้งขายบนทางเท้า มาตรวจตอน 17:00-22:00 สิ เจอตู้ เจอโต๊ะ เต็มฟุตบาท,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:21 น.,ใช้เวลา 32 วัน 14 ชม.,33,0
2024-MLCVWX,2024-10-30,11:53 น.,รอรับเรื่อง 39 วันที่แล้ว,เขตพระนคร,เรียน สำนักงานเลขานุการผู้ว่าจ่ายเเล้วขายได้ ร้านก๋วยเตี๋ยวเลขที่ 105 ถนนหลวง เขตป้อมปราบ ตั้งโต๊ะบนฟุตบาททุกคืน 19:00-22:00 ยกเว้นตอนเทศกิจมาถ่ายรูปจะจัดฉากให้ฟุตบาทโล่งๆ,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, เขตพระนคร, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:28 น.,ใช้เวลา 39 วัน 20 ชม.,40,0
2024-KNG3XX,2024-10-25,23:20 น.,รอรับเรื่อง 44 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงวัดโสมนัส,ถึง ผอ.เขตป้อมปราบ ลูกน้องท่านส่งรูปตัดต่อเข้าระบบทราฟหี่ฟองดูร์ เเละรูปนี้จะถูกเผยเเพร่ในโซเชียลเเน่นอน,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,08:21 น.,ใช้เวลา 44 วัน 9 ชม.,45,0
2024-AGN99V,2024-10-21,08:26 น.,รอรับเรื่อง 49 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ,ไม่แสดงรายละเอียด,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพโปร่งใส, กรุงเทพมหานคร",ทุจริต,เปิดเรื่องใหม่,2024-12-09,08:26 น.,ใช้เวลา 49 วัน,49,0
2024-AV2Q82,2024-10-09,08:28 น.,รอรับเรื่อง 61 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,เรียน ผู้อำนวยการเขตป้อมปราบ ร้านนี้คุยเเละจ่ายให้เทศกิจชุดกลางคืน เพื่อตั้งขายอาหารเจบนฟุตบาทตั้งเเต่ 17:00-23:00 น. ตั้งเเต่วันที่ 2-11 ตุลาคน 2564 ไม่ว่าจะโทรมาร้องเรียนที่เขต หรือเเจ้งทางทราฟฟี่ฟองดูร์ ก็จะไม่มีเทศกิจมา สืบทราบว่าไม่ใช่มีเพียงร้านนี้ เเต่ทุกร้านที่ขายเจช่วงนี้ มีจ่ายหมด ทางเทศกิจจะมาดำเนินการหลังกินเจ ซึ่งเป็นช่วงเวลาที่ไม่มีการขายเเล้ว,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:23 น.,ใช้เวลา 60 วัน 23 ชม.,61,0
2024-AGQGTT,2024-07-12,22:04 น.,รอรับเรื่อง 149 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,ศุกร์ เสาร์ อาทิตย์ เวลา 19:00 - 21:00 ช่วยบอกร้านกาแฟด้วยว่า ทางเท้าเป็นทางเดินสาธารณะ ไม่ใช่ที่ทำมาหากิน ตั้งโต๊ะให้กินกาแฟ หรือเป็นที่มั่วสุมยืนเกะกะขวางทางนะจ๊ะ ให้ลูกค้าคุณไปทำในร้านไม่มีใครว่าหรอก,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, ฝ่ายสิ่งแวดล้อมฯ เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:29 น.,ใช้เวลา 149 วัน 10 ชม.,150,0
