ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LTPKR9,2024-12-09,08:18 น.,รอรับเรื่อง 13 นาทีที่แล้ว,เขตพระนคร แขวงวัดสามพระยา,ตั้งเสาได้ขออนุญาต รึเปล่าแบบนี้ แถมตำแหน่งแทบจะโดนหัวคนเดินฟุตบาท ใครเซ็นต์อนุญาตติดตั้ง กีดขวางทางคนเดินเท้าอีก,"เขตพระนคร, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:18 น.,รอรับเรื่อง,0,0
2024-KWL7MZ,2024-12-09,08:05 น.,รอรับเรื่อง 26 นาทีที่แล้ว,เขตพระนคร แขวงวัดบวรนิเวศ,คลองหน้าศาลาว่าการกทม. น้ำเน่าเสียสกปรกโสโครกมากๆ นักท่องเที่ยว แม่ค้า คนเดินผ่านไปมา ต่างพูดเป็นเสียงเดียวกัน ประชาชนที่อาศัยติดคลองเดือดร้อนเริ่มทนไม่ไหว ข้าราชการกทม. เดินผ่านทุกวันก็เห็นอยู่กับตา นับวันยิ่งเลวร้ายเช้านี้ผมจึงถ่ายรูปมาให้ดู ท่านผู้ว่าบอกว่าบริเวณเสาชิงช้าคือสะดือกรุงเทพ แต่นี่คลองหน้าศาลาว่าการกลับยังดูแลไม่ได้ ฝ่ายรักษาความสะอาดก็อยู่ห่างคลองไม่ถึง 20 เมตร ท่านลองดูสภาพคลองเช้านี้ตามภาพประกอบแล้วลองจินตนาการดูว่ากลิ่นจะขนาดไหน เห็นมีคนมาพายเรือเหมือนจะมาดูแลแต่ก็ไม่ได้เกิดอะไร ขอให้ท่านช่วยดูแลหน่อยเถอะ,"เขตพระนคร, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,08:05 น.,รอรับเรื่อง,0,0
2024-3RN2PK,2024-12-09,07:55 น.,รอรับเรื่อง 36 นาทีที่แล้ว,เขตพระนคร แขวงบวรนิเวศ,ปัญหาขยะในน้ำเยอะมากช่วงราวๆ3-4วัน น้ำมีคราบไขมันทำให้ทัศนวิสัยดูเเย่ไม่น่ามอง น้ำมีกลิ่นเหม็น,"เขตพระนคร, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,07:55 น.,รอรับเรื่อง,0,0
2024-7MNRDE,2024-12-09,07:03 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตพระนคร แขวงวัดราชบพิตร,ขยะ,"เขตพระนคร, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-09,07:03 น.,รอรับเรื่อง,0,0
2024-BW2WMF,2024-12-08,23:09 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตพระนคร,ขับรถยนต์ผ่านยากมาก ตั้งโต๊ะกันยาวขนาดนี้บ้านหนูผู้หญิงทั้งบ้านขับรถไม่แข็งจะเสียวเอาคนอยู่แล้วแทบผ่านไม่ได้,"เขตพระนคร, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-08,23:09 น.,รอรับเรื่อง,1,1
2024-7A62T4,2024-12-08,22:07 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตพระนคร แขวงวัดราชบพิตร,น้ำคลองเน่า,"เขตพระนคร, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-08,22:08 น.,รอรับเรื่อง,1,1
2024-DHACDH,2024-12-08,21:14 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตพระนคร แขวงบ้านพานถม,ถนนหน้าทางม้าลายตรงสัญญาณไฟ ตรงทางม้าลายวัดตรีทศเทพ ทรุด เสี่ยงเกิดอุบัติเหตุ,"เขตพระนคร, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,21:14 น.,รอรับเรื่อง,1,1
2024-MLNA9L,2024-12-08,19:55 น.,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตพระนคร แขวงวังบูรพาภิรมย์,พอดีนั่งรถผ่านบริเวณ ถ.บ้านหม้อ ผมพบว่ายังคงมีรถจอดซ้อนคัน ทำให้รถที่วิ่งผ่านถนนต้องไปวิ่งบนช่องจราจรที่มีท่อระบายน้ำวางอยู่ด้วย และรถสัญจรไม่สะดวกเลยครับผมเคยแจ้งเรื่องผ่านทางนี้แล้วครั้งหนึ่ง ก็ปรากฏว่า ไม่เห็นมีการเปลี่ยนแปลงใดๆ เกิดขึ้น ยังคงเป็นเหมือนเดิม อยากให้จริงจังในเรื่องนี้หน่อยครับ,"เขตพระนคร, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,19:55 น.,รอรับเรื่อง,1,1
2024-KXCTN3,2024-12-08,18:25 น.,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตพระนคร แขวงสำราญราษฎร์,พื้นที่สวนฯ ฝั่งที่ติดกับการก่อสร้างรถไฟฟ้ามีน้ำซึมอีกแล้วครับ จริงๆ รอบที่แล้วที่แจ้งไปก็ได้รับการแก้ไข แต่พอผ่านไปไม่กี่วัน น้ำก็ขังรบกวนพื้นที่การวิ่งอีกรอบ ซึ่งบริเวณนี้พื้นที่แคบมากเป็นทุนเดิมอยู่แล้ว พอมีน้ำขัง ทำให้เป็นอุปสรรคต่อการวิ่ง - เดิน มากพอสมควร,"เขตพระนคร, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-08,18:25 น.,รอรับเรื่อง,1,1
2024-CFT9NQ,2024-12-08,18:23 น.,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตพระนคร แขวงพระบรมมหาราชวัง,"ป้ายรถเมล์ชื่อ ""ตรงข้ามท่าเตียน"" และ ""ตรงข้ามท่าราชวรดิษฐ์"" มีขึ้นทั้งในแผนที่และในแอพรถเมล์ แต่กลับไม่มีป้ายจริง รถไม่ค่อยจอด ทำให้ประชาชนต้องเดินอ้อมวัดพระแก้วเป็นระยะทาง 1-2 ป้ายรถเมล์ไปขึ้นป้าย ม.ศิลปากร เวลาจะลงรถที่สองท่านี้ก็ต้องจอดนอกป้ายเอาต้องการให้มีการทำป้าย/สัญลักษณ์ขึ้นมา ทั้งคนทั้งรถเมล์จะได้รู้ชัดเจน ***ไม่ต้องการให้ยกเลิกป้าย เพราะบดบังทัศนียภาพ*** ถ้าหากกลัวบดบังจริง ทำเป็นสีที่พื้น หรือป้ายเตี้ย ๆ ก็ได้ ไม่ควรให้ผู้ใช้รถเมล์ลำบาก","เขตพระนคร, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-12-08,18:23 น.,รอรับเรื่อง,1,1
2024-6RUUNM,2024-12-08,17:56 น.,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตพระนคร แขวงวัดบวรนิเวศ,การตกแต่งบ้านเพิ่มเติมจาก 1 ชั้น เป็น 2 ชั้น เกรงว่าจะไม่ปลอดภัย มีการขออนุญาตถูกต้องหรือไม่,"เขตพระนคร, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-08,17:56 น.,รอรับเรื่อง,1,1
2024-FNF8TQ,2024-12-08,17:07 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตพระนคร แขวงบ้านพานถม,หัวประปาสีซีดเลอะปูนให้ดำเนินการทาสีปรับปรุงให้ชัดเจน,"เขตพระนคร, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-08,17:07 น.,รอรับเรื่อง,1,1
2024-6NUR22,2024-12-08,09:05 น.,รอรับเรื่อง 23 ชั่วโมงที่แล้ว,เขตพระนคร แขวงวัดสามพระยา,ต้นไม้เก่าลำต้นผุ มีความสูงเท่าตึก3ชั้น มีโอกาสหักโค่นล้มทับคนสัญจรและรถยนต์เสียหายได้,"เขตพระนคร, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-08,09:05 น.,รอรับเรื่อง,1,1
2024-HBU6CY,2024-12-08,08:06 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตพระนคร แขวงตลาดยอด,มีการตั้งวางสิ่งของผลฟุตบาททั้งเป็นทั้งโต๊ะทั้งถังน้ำแข็งวางบัตร 24 ชั่วโมงไม่รู้ว่าหน่วยงานไหนรับผิดชอบเพื่อมาจัดการ,"เขตพระนคร, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,08:06 น.,รอรับเรื่อง,1,1
2024-42X6ZX,2024-12-08,07:13 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตพระนคร แขวงศาลเจ้าพ่อเสือ,มีการเปิดเพลงที่เสียงดังเกิน ตั้งแต่ยามวิกาลจนถึงเวลานี้ ตรงนี้เป็นพื้นที่ชุมชนใกล้วัง ควรจะมีการตรวจตราและไม่ปล่อยให้ดังขนาดนี้เป็นเวลานาน,"เขตพระนคร, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,07:13 น.,รอรับเรื่อง,1,1
2024-49HVVE,2024-12-08,01:59 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตพระนคร แขวงวัดบวรนิเวศ,หากคำตอบได้รับว่าผู้แจ้งต้องแจ้งตำรวจเองเพราะเป็นพื้นที่บนถนน ไม่ใช่บนฟุตบาท และอยู่นอกเหนือการดูแลของทางกรุงเทพมหานคร ทางผู้อยู่อาศัยได้มีการแจ้งทางสน.หลายครั้งแล้วเช่นกัน แต่ก็แค่มาตักเตือนเป็นรายครั้ง ส่วนร้านก็ตั้งอยู่เหมือนเดิมและยังดำเนินกิจการทุกวัน หากเป็นทางส่วนราชการคุยกับราชการเอง น่าจะเป็นการดีและดำเนินงานได้รวดเร็วกว่ามั้ยคะ,"เขตพระนคร, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-08,01:59 น.,รอรับเรื่อง,1,1
