ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-DC24TK,2024-11-12,10:31 น.,รอรับเรื่อง 26 วันที่แล้ว,เขตพระโขนง แขวงพระโขนงใต้,ร้านไก่ย่างควันและกลิ่นไก่ย่างเยอะ,"ฝ่ายสิ่งแวดล้อมฯ เขตพระโขนง, เขตพระโขนง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2024-12-07,12:28 น.,ใช้เวลา 25 วัน 1 ชม.,27,2
2024-92RFL4,2024-11-03,21:55 น.,รอรับเรื่อง 35 วันที่แล้ว,เขตพระโขนง,มีเสียงดนตรีรบกวนบริเวณ ซ.วัดชิรธรรมสาธิต 21 ตั้งแต่เวลา 20.00 ไปถึงอย่างน้อยตี 1 มาติดต่อกันสองคืนแล้วคาดว่าเป็นเสียงเพลงจากแหล่งบรรเทิงในบริเวณใกล้เคียงครับ,"ฝ่ายสิ่งแวดล้อมฯ เขตพระโขนง, เขตพระโขนง, กรุงเทพมหานคร",เสียง,เปิดเรื่องใหม่,2024-12-07,21:13 น.,ใช้เวลา 33 วัน 23 ชม.,36,2
2024-A6P27B,2024-07-18,11:12 น.,รอรับเรื่อง 143 วันที่แล้ว,เขตพระโขนง แขวงบางจาก,ป้ายถูกกฏหมายหรือไม่,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เขตพระโขนง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-06,06:47 น.,ใช้เวลา 140 วัน 19 ชม.,144,3
2024-G27D8U,2024-01-29,21:42 น.,รอรับเรื่อง 314 วันที่แล้ว,เขตพระโขนง แขวงบางจาก,เพื่อนบ้านชอบจุดไฟเผาอะไรซักอย่างตอนกลางคืนหรือทำอาหารก็ไม่ทราบ กลิ่นควันรบกวนการนอนมาก ไม่มีความเกรงใจคนอื่นเลย เคยแจ้งผ่านทราฟฟี่ฟองดูไปแล้วก็ไม่ได้รับการแก้ไข,"เขตพระโขนง, ฝ่ายเทศกิจ เขตพระโขนง, เพื่อนชัชชาติ, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,กำลังดำเนินการ,2024-12-09,08:41 น.,ใช้เวลา 314 วัน 11 ชม.,315,0
2022-6GNPPU,2022-07-11,12:43 น.,รอรับเรื่อง 881 วันที่แล้ว,เขตพระโขนง,บันไดทางลงสะพานลอย หน้าตลาดบางจากไม่มีเหล็กกันลื่นคะ,"กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., สำนักการโยธา กทม., เขตพระโขนง, สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม., กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,กำลังดำเนินการ,2024-05-13,14:34 น.,ใช้เวลา 672 วัน 1 ชม.,882,210
2022-E84GHK,2022-07-07,12:45 น.,รอรับเรื่อง 885 วันที่แล้ว,เขตวัฒนา,ทาสี เส้นกั้นทาง ขึ้นลงสะพานลอย,"กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., สำนักการโยธา กทม., สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม., กรุงเทพมหานคร, เขตพระโขนง, เพื่อนชัชชาติ",ทางเท้า,กำลังดำเนินการ,2023-06-14,14:32 น.,ใช้เวลา 342 วัน 1 ชม.,886,544
2022-9FEAZU,2022-06-30,16:13 น.,รอรับเรื่อง 892 วันที่แล้ว,เขตพระโขนง,สายสื่อสารชอบหล่นร่วงลงมาเป็นบ่อยครั้ง และมาผูกติดกับเสาข้างถังขยะ เดินผ่านไปมาค่อนข้างอันตราย รถบรรทุกสิบล้อขับในซอยเกี่ยวบ่อยมาก แจ้งไปก็หล่นลงมาอีก อยากให้จัดการให้เรียบร้อย อันตรายไม่รู้สายอะไรบ้าง บริเวณ สุขุมวิท 93 เกริกวิชสัตวแพทย์ หน้า โรงงานผ้าไหมจิมทอมสัน,"การไฟฟ้านครหลวง เขตบางกะปิ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, เขตพระโขนง, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,เปิดเรื่องใหม่,2022-09-09,14:51 น.,ใช้เวลา 70 วัน 22 ชม.,893,822
2022-ENEF28,2022-06-30,15:58 น.,รอรับเรื่อง 892 วันที่แล้ว,เขตพระโขนง,สายสื่อสาย สายไฟระโยงระยางมาก ติดกับทางขึ้นรถไฟบีทีเอส และสะพานลอย อันตรายมากเวลาเดินทางเข้าใกล้ ตั้งแต่ซอยสุขุมวิท 93-99 อยากให้แก้ไข เคยมีเคสไฟไหม้เกิดขึ้น,"การไฟฟ้านครหลวง เขตบางกะปิ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, เขตพระโขนง, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,เปิดเรื่องใหม่,2022-09-09,14:50 น.,ใช้เวลา 70 วัน 22 ชม.,893,822
2022-HFQHZP,2022-06-30,15:56 น.,รอรับเรื่อง 892 วันที่แล้ว,เขตพระโขนง แขวงบางจาก,สายสื่อสารห้อยระโยงระยางหน้าปากซอยสุขุมวิท 93 ตรงบริเวณ 7-11 ถึงในซอย ห้อยยาว รถบรรทุกชอบขับเกี่ยวสายหล่นลงมา,"การไฟฟ้านครหลวง เขตบางกะปิ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, เขตพระโขนง, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,เปิดเรื่องใหม่,2022-09-09,14:50 น.,ใช้เวลา 70 วัน 22 ชม.,893,822
2022-FQUF9D,2022-06-29,13:47 น.,รอรับเรื่อง 893 วันที่แล้ว,เขตพระโขนง,เคยแจ้งไปแล้วค่ะดูภาพด้านบนด้วยค่ะ,"กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., สำนักการโยธา กทม., สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม., เขตพระโขนง, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,กำลังดำเนินการ,2023-05-04,20:59 น.,ใช้เวลา 309 วัน 7 ชม.,894,585
