ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-LFAB4M,2024-12-09,06:41 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงถนนเพชรบุรี,การพ่นสีที่ไม่สวยงาม ความสกปรกที่ไม่สมควรมีบริเวณที่นักท่องเที่ยวเดินผ่าน,"เขตราชเทวี, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,06:41 น.,รอรับเรื่อง,0,0
2024-AC8TNF,2024-12-09,00:27 น.,รอรับเรื่อง 8 ชั่วโมงที่แล้ว,เขตราชเทวี,อาการหลังเกิดอุบัติเหตุมีใครรับผิดชอบได้บ้างไหมคะ,"เขตราชเทวี, กรุงเทพมหานคร",อุบัติเหตุ,รอรับเรื่อง,2024-12-09,00:27 น.,รอรับเรื่อง,0,0
2024-P7UGBY,2024-12-08,23:00 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตราชเทวี,มีตุ๊กๆจิดขวางทางจราจร พบทั้งช่วงเช้าและดึก (ตอนกลางวันไม่แน่ใจ ไม่ค่อยผ่านตอนกลางวัน),"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,23:01 น.,รอรับเรื่อง,1,1
2024-FY2Z8Q,2024-12-08,21:43 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงถนนพญาไท,ปิดถนนและฟุตบาทสร้างคงามเดือดร้อน,"เขตราชเทวี, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,21:43 น.,รอรับเรื่อง,1,1
2024-HCZ7DB,2024-12-08,20:36 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ร้านนี้อยู่เหนือกฏหมายจริงๆ แจ้งเรื่องไป ไม่มีหน่วยงานไหนรับเรื่อง ไม่มีความคืบหน้า แถมยังทำมากกว่าเดิม จอดมอเตอร์ไซค์ วางโต๊ะเก้าอี้เต็มทางเท้า มีอิทธิพล หรือจ่ายเงินให้เจ้าหน้าที่หรอครับ,"เขตราชเทวี, ฝ่ายเทศกิจ เขตราชเทวี, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-09,06:55 น.,ใช้เวลา 10 ชม. 20 นาที,1,0
2024-9BZTM9,2024-12-08,20:34 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ร้านนี้อยู่เหนือกฏหมายจริงๆ แจ้งเรื่องไป ไม่มีหน่วยงานไหนรับเรื่อง ไม่มีความคืบหน้า แถมยังทำมากกว่าเดิม จอดมอเตอร์ไซค์ วางโต๊ะเก้าอี้เต็มทางเท้า มีอิทธิพล หรือจ่ายเงินให้เจ้าหน้าที่หรอครับ,"เขตราชเทวี, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-08,20:34 น.,รอรับเรื่อง,1,1
2024-LPWQYU,2024-12-08,15:25 น.,รอรับเรื่อง 17 ชั่วโมงที่แล้ว,เขตราชเทวี,ถนนเป็นหลุมขนาดใหญ่อันตรายต่อคนใช้ถนน,"เขตราชเทวี, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,15:25 น.,รอรับเรื่อง,1,1
2024-KDX2N7,2024-12-08,12:02 น.,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,สายไฟฟ้า สายเคเบิ้ล สายอินเติร์เนต ล่วงลงมาจากเสาไฟฟ้า เพราะเสาไฟฟ้าเอียง,"เขตราชเทวี, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-08,12:02 น.,รอรับเรื่อง,1,1
2024-6Y24D2,2024-12-07,16:41 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตราชเทวี แขวงถนนพญาไท,แนะนำให้มีจนท.จราจรบังคับให้รถมุ่งหน้าอโศกสองเลนขวาขึ้นต้องขึ้นสะพานข้ามแยกประตูน้ำเพื่อลดความแออัด,"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-07,16:41 น.,รอรับเรื่อง,2,2
2024-H96YN4,2024-12-07,15:42 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตราชเทวี แขวงถนนเพชรบุรี,รถติดเนื่องจากมีรถจอดริมทาง และมีการก่อสร้างรถไฟฟ้าสายสีส้มฝั่งตรงข้าม ทำให้เลนรถหายไป 3 เลน ยังมีการจอดลงของและขายของอีกด้วย #สน.แห่งความ***,"เขตราชเทวี, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-07,15:42 น.,รอรับเรื่อง,2,2
