ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-HZR4HA,2024-12-09,07:45 น.,รอรับเรื่อง 46 นาทีที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,อ้างอิงเลขแจ้ง 2024-6ng88p ครับ พบว่าถนนยังเป็นหลุมเป็นบ่ออยู่อยู่ครับยังไม่ได้รับการแก้ไขหรือการแก้ไขที่ทำไปแล้วไม่ได้มาตรฐานจึงทำให้กลับมาเป็นปัญหาเดิมครับ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,08:19 น.,ใช้เวลา 35 นาที,0,0
2024-MPCVAB,2024-12-09,05:36 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตวัฒนา,ไม่มีไฟถนนช่วงนี้ ถนนช่วงนี้มืดมาก,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-09,08:20 น.,ใช้เวลา 2 ชม. 44 นาที,0,0
2024-GUK8BX,2024-12-08,22:43 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ร้านค้าแขวนโคมไฟไว้บนที่สาธารณะ อันตรายกลัวคนเดินชน อยากให้หน่วยงานที่เกี่ยวข้องมาตรวจสอบ,"เขตวัฒนา, ฝ่ายเทศกิจ เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:21 น.,ใช้เวลา 9 ชม. 38 นาที,1,0
2024-33XLP7,2024-12-08,22:34 น.,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตวัฒนา,ฟุตบาทไม่เรียบผุพัง อันตรายกลัวมีคนสะดุดและบาดเจ็บ อยากให้หน่วยงานที่รับผิดชอบและซ่อมแซมและทำให้ให้มันเรียบ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:22 น.,ใช้เวลา 9 ชม. 49 นาที,1,0
2024-MBU74C,2024-12-08,22:28 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ฝาท่อไม่ได้เปลี่ยนใหม่ตามกระเบื้องทางเท้าใหม่ครับ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:24 น.,ใช้เวลา 9 ชม. 56 นาที,1,0
2024-88YB8E,2024-12-08,22:15 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตวัฒนา,จุดทิ้งขยะเหม็นมากอยากให้ทางเขต มาทำความสะอาดพื้นที่และพูดคุย กับผู้ประกอบการที่อยู่รอบข้าง ให้แยกขยะเปียกกับแห้งเพื่อลดกลิ่นและลดน้ำขยะไหลออกจากถังลงทางเดิน,"เขตวัฒนา, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-08,22:15 น.,รอรับเรื่อง,1,1
2024-8G72E9,2024-12-08,22:00 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,หัวแดงโดนย้าย ฟุตบาทเป็นรู อยากให้หน่วยงานที่รับผิดชอบมาทำให้พื้นเรียบ อันตรายกลัวคนสะดุดและบาดเจ็บ,"เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,22:00 น.,รอรับเรื่อง,1,1
2024-F6GRP8,2024-12-08,21:53 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ทางเท้าหลายจุดมากๆเเตกชำรุด บางอาคารลักลอบต่อท่อทั้งที่เคยเเก้บ้างเเล้งริมฝาท่อเป็นโพรงอันตรายมากๆกําลังปรับปรุงทางเท้าวางแผนดีๆนะครับ,"เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-08,21:53 น.,รอรับเรื่อง,1,1
2024-N6ZWM7,2024-12-08,18:54 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตวัฒนา,ทำไมคานเหล็กไม่เอาออกครับทั้งๆที่เทปูนแล้ว มันอันตรายน่ะผมว่า กลางคืนรถอาจชนได้,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-08,20:18 น.,ใช้เวลา 1 ชม. 24 นาที,1,1
2024-AEVMNP,2024-12-08,18:35 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ทางเดินตรงกลางซอยสุขุมวิท 1 มืดมาก ค่ะ ไฟทางดับ มืดมานานแล้ว ไม่มีหน่วยงานมาแก้ไข,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-08,20:20 น.,ใช้เวลา 1 ชม. 46 นาที,1,1
