ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-8YZXTH,2024-12-08,21:50 น.,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,สุนัขจรจัด,"เขตสวนหลวง, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,2024-12-08,21:50 น.,รอรับเรื่อง,1,1
2024-E6HQEZ,2024-12-08,17:47 น.,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ถนนเป็นหลุมบ่อ,"เขตสวนหลวง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,17:47 น.,รอรับเรื่อง,1,1
2024-LR4LCT,2024-12-08,16:41 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ทำถนนช้ามากครับ เทียบกับซอยที่ทำงานที่ซอยยาวกว่าอ่อนนนุช39 ทำไวกว่าเยอะ2-3ขยับทีเยอะมากแต่อ่อนนุช66ทำช้ามากๆอาทิตนึงมีขยับแค่นิดเดียว แถมวันนี้เห็นป้ายว่าจะเสร็จ 8 มีนาคม 2568 ประชาชนต้องทนไปอีกนานเท่านี้เลยหรอครับกับถนนที่มีแต่หินกับของวางรกข้างทางเสี่ยงอันตรายต่อชีวิต ทำนานเหลือเกินวันธรรมดาแทบไม่ขยับต้องรอวันอาทิตย์ถึงจะเห็นว่าขยับบ้างนิดหน่อย,"เขตสวนหลวง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,16:41 น.,รอรับเรื่อง,1,1
2024-DALMYR,2024-12-08,14:19 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ฝาท่อชำรุดผุพัง เสี่ยงเกิดอันตราย,"เขตสวนหลวง, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-08,14:19 น.,รอรับเรื่อง,1,1
2024-DX7PQX,2024-12-08,14:13 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ห้องน้ำมีกลิ่นเหม็น,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-08,14:13 น.,รอรับเรื่อง,1,1
2024-DECUDD,2024-12-08,14:10 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,กลิ่นห้องน้ำเหม็น,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-08,14:10 น.,รอรับเรื่อง,1,1
2024-B8AXVW,2024-12-08,13:55 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ตามเรื่องร้องเรียน 2240-3AZR9G เรื่องเสียงและมลพิษ แก่บ้านในชุมชนอยู่รวย ที่ได้ทำการร้องเรียน ไปก่อนหน้านั้น ได้แจ้งให้แก้ไขและสอบถาม 2 ประเด็น 1.แก้ไขเรื่องกลิ่น เสียง (ได้รับการประเมินสานและแก้ไขเรื่องเสียงไปได้ระดับหนึ่ง ส่วนเรื่องกลิ่นต้องเฝ้าติดตาม ยังไม่แล้วเสร็จ 2.สอบถามว่าการแก้ไขต่อเติมระบบท่อระบายอากาศขนาดใหญ่มาก(เหมือนสถานประกอบการ โรงงาน) ผิดวิสัยบ้านพักอาศัยจะพึงกระทำกัน แต่ยังไม่ได้รับคำตอบยืนยันจากโยธาของเขตสวนหลวง ทราบว่าก่อนหน้านั้น ได้เข้าร่วมสำรวจตรวจสอบกับ ฝ่ายสิ่งแวดล้อมของเขต และทราบว่าฝ่ายสิ่งแวดล้อม/ก็นำเสนอเรื่องต่อไปยังฝ่ายโยธาแล้ว เป็นระยะเวลาร่วมเดือน ไม่ทีการตอบรับแต่อย่างใด จึงขอแยกเรื่องร้องเรียน อีกครั้ง ไปยังฝ่ายโยธาเขตสวนหลวงโดยตรง ขอความอนุเคราะห์ทางเขตสั่งการให้ดำเนินการตรวจสอบ ว่ากระทำได้หรือไม่อย่างไร ถ้าได้แล้วดำเนินการถูกต้องหรือไม่ (ทราบจากนิติบุคคลหมู่บ้าน ไม่การขออนุญาตใดๆ) น.ท.วิสูตร 0819153602,"เขตสวนหลวง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,13:55 น.,รอรับเรื่อง,1,1
2024-9N3QUT,2024-12-08,13:22 น.,รอรับเรื่อง 19 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ทำกันสาดยื่นออกมาล้ำถนน รถผ่านลำบาก,"เขตสวนหลวง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-08,13:22 น.,รอรับเรื่อง,1,1
2024-P7G4WC,2024-12-08,03:58 น.,รอรับเรื่อง 1 วันที่แล้ว,,เปิดเพลงเสียงดังยามวิกาล ดังมากๆ ตอนเช้าจะมีคนนอนอยู่บนถนนหน้าร้าน ในซอยบนถนน สภาพเหมือนคนเล่นยาไม่มีสติ แล้วใกล้ตรงร้านมีมูลนิธิสอนหนังสือเด็ก ตอนเช้าๆ 6-7 โมง เด็กๆมาเรียนรู้สึกเด็กๆจะไม่ปลอดภัย,"เขตสวนหลวง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,03:58 น.,รอรับเรื่อง,1,1
2024-3FY4L9,2024-12-07,23:40 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,"ร้าน"" ...ก่อน ศรีนครินทร์ 24"" เปิดเพลงเสียงดังในตอนกลางคืน เวลา 23.39 น.","เขตสวนหลวง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-07,23:40 น.,รอรับเรื่อง,2,2
