ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-NYD34Q,2024-12-09,08:25 น.,รอรับเรื่อง 6 นาทีที่แล้ว,เขตหลักสี่ แขวงตลาดบางเขน,เผาขยะ,"เขตหลักสี่, กรุงเทพมหานคร",เผาในที่โล่ง,รอรับเรื่อง,2024-12-09,08:25 น.,รอรับเรื่อง,0,0
2024-CMGUCN,2024-12-07,16:55 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตหลักสี่ แขวงทุ่งสองห้อง,ต้นไม้พันสายไฟ อาจเกิดอันตรายต่อคนที่สัญจรไปมาได้,"เขตหลักสี่, ฝ่ายรักษาความสะอาดฯ เขตหลักสี่, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-09,07:09 น.,ใช้เวลา 1 วัน 14 ชม.,2,0
2024-8BYD2R,2024-12-07,09:55 น.,รอรับเรื่อง 1 วันที่แล้ว,,กระจกมีต้นไม้บัง,"เขตหลักสี่, ฝ่ายรักษาความสะอาดฯ เขตหลักสี่, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-09,07:07 น.,ใช้เวลา 1 วัน 21 ชม.,2,0
2024-APCGEU,2024-12-06,15:30 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตหลักสี่ แขวงทุ่งสองห้อง,โรงอาหารใช้จานชามที่ชำรุด เปลี่ยนสี ใส่อาหารขายชั้นใต้ดินศูนย์ราชการฯ,"เขตหลักสี่, ฝ่ายสิ่งแวดล้อมฯ เขตหลักสี่, กรุงเทพมหานคร",คุ้มครองผู้บริโภค,รอรับเรื่อง,2024-12-09,07:03 น.,ใช้เวลา 2 วัน 15 ชม.,3,0
2024-DREN4N,2024-12-06,11:44 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตหลักสี่ แขวงทุ่งสองห้อง,หมู่บ้านโกลเด้นทาว์ลวิภาวดีแจ้งวัฒนะมีกิ่งไม้ลุกล้ำเลยเข้ามาในบ้านสมาชิก330ซ.5/1ทำให้มีใบไม้ร่วงเข้ามาในบ้านเยอะเป็นจำนวน,"เขตหลักสี่, ฝ่ายรักษาความสะอาดฯ เขตหลักสี่, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-06,13:16 น.,ใช้เวลา 1 ชม. 33 นาที,3,3
2024-BQ9A6K,2024-12-04,14:55 น.,รอรับเรื่อง 4 วันที่แล้ว,,เนื่องด้วยวันนี้ทำความสะอาดข้างรั้วเขตหลักสี่มีเจ้าหน้าที่ของเขตทิ้งขยะและเศษอาหารลงไปในที่ส่วนบุคคลควรแจ้งเจ้าหน้าที่ด้วยเนื่องจากสกปรกมาก,"เขตหลักสี่, ฝ่ายรักษาความสะอาดฯ เขตหลักสี่, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,07:02 น.,ใช้เวลา 4 วัน 16 ชม.,5,0
2022-KBR2AB,2022-12-11,09:51 น.,รอรับเรื่อง 728 วันที่แล้ว,,งานดำเนินการสร้างรถไฟฟ้า ปิดถนนเกือบทั้งหมด บางจุดปิดไว้แต่ก้อยังไม่ได้ทำงานอะไร เมื่อคืนช่วง4ทุ่ม รตติดจากหน้าเมืองทองธานีมาถึงสะพานข้ามแยกหลักสี่เกือบ1ชั่วโมงครึ่ง ควรมีคนเข้าไปดูแลบ้าง ว่าจุดไหนจำเป็นต้องปิด ตรงไหนทำก้อปิดแค่นั้น นี่ปิดเกือบทั้งเส้น ไม่วางแผนการจราจรให้ประชาชน เดือดร้อนมากค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตหลักสี่, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2024-03-26,13:05 น.,ใช้เวลา 471 วัน 3 ชม.,729,258
2022-9UMYK2,2022-08-01,20:32 น.,รอรับเรื่อง 860 วันที่แล้ว,,สถานีหลักสี่รถไฟฟ้าสีชมพู ปิดกั้นทางเท้า ต้องออกไปเดินบนถนน ที่รถวิ่งมาจากด้านหลัง,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตหลักสี่, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2022-09-14,19:43 น.,ใช้เวลา 43 วัน 23 ชม.,861,817
2022-4MEMU3,2022-07-20,14:01 น.,รอรับเรื่อง 872 วันที่แล้ว,,แจ้งเรื่องหม้อแปลงหน้าตึกดำรงแมนชั่นมีควันขึ้นมาหลังจากที่ฝนตกคืนวันที่ 19/7/65 เวลา 20.38 น. กลิ่นคละคลุ้งไปทั่วบริเวณ คนในตึกเดินลงตึกมาดูหาสาเหตุกันไม่เจอแต่มีคนยุชั้น 5 เห็นควันขึ้นที่บริเวณหม้อแปลงใหญ่ รบกวนเจ้าหน้าที่ตรวจสอบด้วยนะคะ เพราะสายไฟส่ยเคเบิ้ลสายอะไรต่างๆ นาๆ เยอะมาและอยู่ใกล้ตึกค่ะ,"การไฟฟ้านครหลวง เขตนนทบุรี, เขตหลักสี่, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-08-23,09:52 น.,ใช้เวลา 33 วัน 19 ชม.,873,839
2022-PETNMZ,2022-06-21,07:15 น.,รอรับเรื่อง 902 วันที่แล้ว,,เขตหลักสี่,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตหลักสี่, การรถไฟแห่งประเทศไทย, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-26,09:03 น.,ใช้เวลา 66 วัน 1 ชม.,902,836
