ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-3NMNPG,2024-04-28,19:11 น.,รอรับเรื่อง 224 วันที่แล้ว,เขตบางนา,ไฟฟ้าดับไฟส่องสว่างดับ 3 ดวงครับทั้งหน้าและหลังซอย,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,2024-04-30,13:03 น.,ใช้เวลา 1 วัน 17 ชม.,225,223
2024-68MBPN,2024-04-27,19:32 น.,รอรับเรื่อง 225 วันที่แล้ว,เขตบางนา,ไฟส่องสว่างทางเดินรถไม่ติดเป็นระยะประมาณ 300 เมตรได้ถนนมีแต่รถใหญ่วิ่งส่วนมาก ไฟก็ไม่ส่องสว่ทงอีกอันตรายมาก,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,2024-04-30,13:04 น.,ใช้เวลา 2 วัน 17 ชม.,226,223
2024-KH6LYN,2024-03-09,13:46 น.,รอรับเรื่อง 274 วันที่แล้ว,เขตบางนา,รั้วกำแพงแผ่นเหล็กนี้ ยืน รุกล้ำมาในถนนสาธารณะ แล้วยังวางกระถางต้นไม้คอนกรีตถาวรเพิ่มมาอีก กีดขวางการจราจรขอให้สังเกตว่าแนวรั้วนี้ยื่นล้ำออกมาจากเพื่อนบ้าน ขอให้รื้อถอนออก,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-04,08:23 น.,ใช้เวลา 269 วัน 18 ชม.,275,5
2024-6W9HLA,2024-03-09,13:06 น.,รอรับเรื่อง 274 วันที่แล้ว,เขตบางนา,เสาต้นนี้ตั้งล้ำถนนสาธารณะ และฝั่งตรงข้ามของเสา เป็นร้านก๋วยเตี๋ยวที่วางของรุกล้ำถนนเช่นกันขอให้รื้อถอน ขนย้าย ออกไป,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,เปิดเรื่องใหม่,2024-12-04,08:24 น.,ใช้เวลา 269 วัน 19 ชม.,275,5
2024-AZWFWP,2024-03-09,13:02 น.,รอรับเรื่อง 274 วันที่แล้ว,เขตบางนา,ร้านขายอาหารนี้ต่อเติมรุกล้ำถนนสาธารณะ ตลอดแนวอาคาร ทั้งยังวางของและชุดโต๊ะเก้าอี้ม้าหิน ฝั่งตรงข้ามก็คือไว้ริมกำแพงของโรงแรมขอให้รื้อถอน และขนย้าย ออกไปให้หมด,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:26 น.,ใช้เวลา 269 วัน 19 ชม.,275,5
2024-Y7D72M,2024-03-09,12:54 น.,รอรับเรื่อง 274 วันที่แล้ว,เขตบางนา,เสาเหล็กสีขาวต้นนี้วางทับสายไฟอยู่บนพื้นที่ถนนต้องการให้รื้อถอนออกไปครับ,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:27 น.,ใช้เวลา 269 วัน 19 ชม.,275,5
BYW6UK,2024-02-20,09:29 น.,รอรับเรื่อง 292 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,ปัญหา: บริเวณถนนดังกล่าว ตั้งแต่แยกร่มเกล้าถึงลาดกระบัง ใกล้กับสถานีรถไฟฟ้าแอร์พอร์ต เรล ลิงก์ ลาดกระบัง พบเห็นมีการจราจรติดขัดหนาแน่น เนื่องจากถนนที่บริเวณดังกล่าวจะเชื่อมติดต่อกัน ผู้ร้องต้องการให้หาทางระบายรถออกจากมอเตอร์เวย์ที่จะมุ่งหน้าไปร่มเกล้า เพื่อแก้ไขปัญหาการจราจรติดขัดในช่วงเวลาเช้า-เย็นถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:44 น.,ใช้เวลา 79 วัน 22 ชม.,293,213
DWM7Z6,2024-02-08,14:38 น.,รอรับเรื่อง 304 วันที่แล้ว,เขตพระนคร แขวงบางขุนพรหม,ปัญหา: หน้าบ้านเลขที่ 42 พบท่อระบายน้ำอุดตัน ไม่สามารถระบายน้ำออกได้ เกรงว่าเวลาฝนตกอาจเกิดน้ำท่วมบ้านและภายในซอยบ้านเลขที่: 42ซอย: เทเวศร์ 1ถนน: กรุงเกษมจุดสังเกต: บริเวณต้นซอยดังกล่าว ซ้ายมือบ้านหลังแรกเขต: พระนคร#1555,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตพระนคร, เขตพระนคร, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2024-04-20,18:18 น.,ใช้เวลา 72 วัน 3 ชม.,305,233
WV4VW7,2024-02-07,22:38 น.,รอรับเรื่อง 305 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถสองแถวจอดคร่อมทางรถไฟขวางทางเข้าออกบริเวณหน้าสถานีถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:53 น.,ใช้เวลา 92 วัน 9 ชม.,306,213
BCJKWB,2024-02-07,22:35 น.,รอรับเรื่อง 305 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถแท็กซี่วนเข้าไปรับลูกค้าแล้วจอดคาบริเวณวงเวียนทำให้การจราจรติดขัด ถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:52 น.,ใช้เวลา 92 วัน 9 ชม.,306,213
2024-N7PQ4C,2024-02-07,14:43 น.,รอรับเรื่อง 305 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ทำงานล่าช้า วัสดุหล่นผิวทาง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-02-20,11:05 น.,ใช้เวลา 12 วัน 20 ชม.,306,293
2024-4L3HR9,2024-02-06,20:00 น.,รอรับเรื่อง 306 วันที่แล้ว,เขตบางนา,บ้านที่มีผนังสีฟ้าอมเขียวนี้ต่อเติมจนลุกล้ำถนนสาธารณะ ขอให้รื้อถอนออกไป,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:20 น.,ใช้เวลา 301 วัน 12 ชม.,307,5
2024-MVD7TQ,2024-02-05,15:46 น.,รอรับเรื่อง 307 วันที่แล้ว,เขตบางนา,"จากรูปแสดงเลข 1, 2, 3 แจ้งรายละเอียดตามนี้1. บ้านหลังนี้ต่อเติมหลังคาและวางเครื่องซักผ้าอยู่บนพื้นที่ถนนสาธารณะขอให้รื้อถอนออกไป 2. หลังรถสีเลือดหมูที่จอดประจำนี้ มีแท่นเครื่องมือค่อนข้างหนัก ที่ติดตั้งอย่างถาวร อยู่บนพื้นที่ถนนสาธารณะขอให้รื้อถอนออกไป 3. บ้านสามหลังถัดไปจากแท่นเครื่องมือนี้ต่อเติมรุกล้ำพื้นที่ถนนสาธารณะขอให้รื้อถอนออกไป","เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:20 น.,ใช้เวลา 302 วัน 16 ชม.,308,5
2024-38RA8G,2024-02-02,18:45 น.,รอรับเรื่อง 310 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ช่วยตีเส้นถนนกาญจนาภิเษก ตั้งแต่สะพาน แยกมาจากถนนกัลปพฤก ตรงศาลเจ้าพ่อเสือ มองไม่เห็นเลนแล้ว ขับมั่วเลนไปหมด อันตรายมาก ต่างคนต่างแทรก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,2024-02-07,12:09 น.,ใช้เวลา 4 วัน 17 ชม.,311,306
2024-FVRZ9P,2024-01-31,18:21 น.,รอรับเรื่อง 312 วันที่แล้ว,เขตบางแค แขวงหลักสอง,อยากให้ช่วยตีเส้นถนนใหม่หน่อยค่ะ ตั้งแต่ลงสะพานมาจากกัลปพฤกษ์ จนถึงสุดเส้นกาญจนาภิเษกก่อนเลี้ยวซ้ายไปเพชรเกษมตรงเดอะมอลล์ บางแค เส้นถนนเลือนลางมาก รถชนบ่อยเพราะแย่งเลนกันค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-02-07,12:10 น.,ใช้เวลา 6 วัน 17 ชม.,313,306
2024-F8Q29A,2024-01-30,07:15 น.,รอรับเรื่อง 314 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ราวสะพานชำรุด เสี่ยงตกลงทางกลับรถด้านล่าง,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,รอรับเรื่อง,2024-02-07,12:12 น.,ใช้เวลา 8 วัน 4 ชม.,314,306
2024-G27D8U,2024-01-29,21:42 น.,รอรับเรื่อง 314 วันที่แล้ว,เขตพระโขนง แขวงบางจาก,เพื่อนบ้านชอบจุดไฟเผาอะไรซักอย่างตอนกลางคืนหรือทำอาหารก็ไม่ทราบ กลิ่นควันรบกวนการนอนมาก ไม่มีความเกรงใจคนอื่นเลย เคยแจ้งผ่านทราฟฟี่ฟองดูไปแล้วก็ไม่ได้รับการแก้ไข,"เขตพระโขนง, ฝ่ายเทศกิจ เขตพระโขนง, เพื่อนชัชชาติ, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,กำลังดำเนินการ,2024-12-09,08:41 น.,ใช้เวลา 314 วัน 11 ชม.,315,0
2024-63R2Q2,2024-01-28,20:46 น.,รอรับเรื่อง 315 วันที่แล้ว,เขตบางแค,ซ่อมฟุตบาท,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-01-30,11:42 น.,ใช้เวลา 1 วัน 14 ชม.,316,314
CJVJ4T,2024-01-26,17:30 น.,รอรับเรื่อง 317 วันที่แล้ว,เขตตลิ่งชัน แขวงบางระมาด,ปัญหา: พบผู้ค้ารถเข็นขายของบริเวณบาทวิถีและผิวจราจรบริเวณทางเข้าหน้าปั๊มน้ำมันดังกล่าวช่วงเวลาประมาณ 05.00-12.00 น.กีดขวางรถที่จะเลี้ยวเข้ามาใช้บริการในปั้มน้ำมันแล้วเกรงว่าจะเกิดอุบัติเหตุด้วย และยังมีการทำให้บริเวณหน้าปั้มน้ำมันสกปรกโดยทิ้งเศษอาหารลงในท่อระบายน้ำทำให้ท่อตันจนเพื่อนบ้านร้องเรียนเขตมาที่ปั้มน้ำมันดังกล่าวซึ่งทางเขตก็เร่งให้จัดการแก้ไขจึงมาร้องเรียนที่นี่ ถนน: กาญจนาภิเษก จุดสังเกต: ปั้มน้ำมันเชลล์ตรงข้ามPaseoเขต: ตลิ่งชัน#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรมทางหลวงชนบท กระทรวงคมนาคม, ฝ่ายเทศกิจ เขตตลิ่งชัน, เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,2024-08-22,10:36 น.,ใช้เวลา 208 วัน 17 ชม.,318,109
2024-MTQWMV,2024-01-24,22:49 น.,รอรับเรื่อง 319 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ทางเลี้ยวออกมาจากถนนทวีวัฒนา-กาญจนาภิเษก ก่อนถึงหน้าธนาคารไทยพาณิชย์ เลนซ้ายสุด ถนนเป็นหลุมใหญ่ รถมอเตอร์ไซค์อาจเกิดอุบัติเหตุได้ ไม่แน่ใจว่าเป็นความรับผิดชอบของกรมทางหลวงฯหรือไม่ ฝากทางเขตฯ ประสานงานทีนะครับ ขอบคุณครับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-02-07,12:18 น.,ใช้เวลา 13 วัน 13 ชม.,320,306
2024-698NQ3,2024-01-22,16:41 น.,รอรับเรื่อง 321 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,สีที่สะพานเลอะเกิดคราบดำตระไคร้ขค้นไม่มีการทาสีปรับปรุง,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,รอรับเรื่อง,2024-02-07,12:20 น.,ใช้เวลา 15 วัน 19 ชม.,322,306
2024-C7WQLC,2024-01-22,16:35 น.,รอรับเรื่อง 321 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ขยะใต้สะพานเยอะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-03-13,18:16 น.,ใช้เวลา 51 วัน 1 ชม.,322,271
2024-L9ZX8G,2024-01-22,05:40 น.,รอรับเรื่อง 322 วันที่แล้ว,เขตดุสิต แขวงสี่แยกมหานาค,จริงๆอยากแจ้ง ขสมก. Gps รถเมล์ล่ม หรือเพี้ยน ตั้งแต่ ต้น มค.จนวันนี้ ดู application via bus ไม่ได้เลยค่ะ,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตดุสิต, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-02-19,11:09 น.,ใช้เวลา 28 วัน 5 ชม.,322,294
2024-GX6QDR,2024-01-21,14:16 น.,รอรับเรื่อง 322 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,กำแพงสะพานขึ้นคราบดำสกปรกอยากให้มีการทาสีปรับปรุงให้ดีเรียบร้อยตามผอ ผู้ว่าชีชชาติ,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-02-07,13:23 น.,ใช้เวลา 16 วัน 23 ชม.,323,306
AH4JBZ,2024-01-19,08:36 น.,รอรับเรื่อง 324 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ปัญหา: เนื่องจาก ปัญหายังไม่ได้รับการแก้ไข เรื่อง ได้รับความลำบากมาก จากการจราจรที่ติดขัดมากเนื่องจาก การก่อสร้างถนน และทำไม่ต่อเนื่อง เลขที่อ้างอิง 82GNL9 สถานะกำลังดำเนินการ ผู้ร้องแจ้งข้อมูลเพิ่มเติมว่า เนื่องจากในตอนนี้มีรถติดเป็นจำนวนมาก จึงอยากให้เร่งดำเนินการแก้ไขปัญหาถนน: กาญจนาภิเษกจุดสังเกต: บริเวณถนนกาญจนาภิเษก วงแหวนรอบนอก จากเดอะมอลล์บางแคไปถนนพระราม 2เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ถนน,รอรับเรื่อง,2024-08-22,10:42 น.,ใช้เวลา 216 วัน 2 ชม.,325,109
2024-C4RP2U,2024-01-19,08:28 น.,รอรับเรื่อง 325 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,คูน้ำบริเวณริมถนนกาญจนาภิเษกมีลักษณะ เน่าเสีย ส่งกลิ่นเหม็น สังเกตเห็นคราบไขมันลอยตัวอยู่ที่ผิวน้ำเป็นจำนวนมาก เคยพบเห็นว่ามีการลอกท่อ 1 ครั้ง แต่หลังจากนั้นกลับส่งกลิ่นเหม็นยิ่งกว่าเดิม รบกวนหน่อยงานที่เกี่ยวข้องช่วยมาจัดการด้วยนะคะ ขอบคุณค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรมควบคุมมลพิษ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ขยะ,รอรับเรื่อง,2024-02-09,12:11 น.,ใช้เวลา 21 วัน 3 ชม.,325,304
