ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-ANZ6XH,2024-11-25,08:20 น.,รอรับเรื่อง 14 วันที่แล้ว,เขตบางบอน แขวงบางบอนใต้,ถนนแถวบางแคไปกาญจนา นนทบุรีรถติดมากๆๆ มีซ่อมถนนช้ามาก รบกวนเร่งแก้ไข +รถบรรทุกวิ่งขวาทำให้รถติดมากขึ้นไปอีก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เขตบางบอน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-11-27,09:51 น.,ใช้เวลา 2 วัน 1 ชม.,14,12
2024-NFXPC8,2024-10-12,11:51 น.,รอรับเรื่อง 57 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,1.ร้านอาหาร 2.ร้านต้นไม้ เปิดบนทางเท้า 3.รถจอดบนถนนขวางถนน ทำให้รถติดมาก เหมือนสร้างถนนให้รถมาจอด เดือนร้อนมากๆ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-10-15,11:04 น.,ใช้เวลา 2 วัน 23 ชม.,58,55
2024-BEDULL,2024-10-03,16:12 น.,รอรับเรื่อง 66 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ร้านค้าถนนกาญจนาภิเษกวางของรุกล้ำทางเท้ามากๆ แทบไม่มีทางเดิน เกิดอุบัติเหตุบ่อยครั้งเมื่อประชาชนผู้ใ้ทางเท้าต้องเดินบนถนน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-10-07,14:09 น.,ใช้เวลา 3 วัน 21 ชม.,67,63
2024-9BUTAZ,2024-09-21,19:02 น.,รอรับเรื่อง 78 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ต้นไม้ยาวสูงหนาบดบังวิสัยทัศน์ในการขับรถบริเวณเกาะกลางถนนกาญนาวงแหวนใกล้กับเดอะมอลบางแค แนบรูป 19.00 21/9/67,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-09-22,09:44 น.,ใช้เวลา 14 ชม. 42 นาที,79,78
2024-GWHDRT,2024-09-20,13:50 น.,รอรับเรื่อง 79 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ฟุตบาทแตกหัก เสี่ยงต่อการเกิดอุบัติเหตุทางเดินเท้า,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-10-08,10:45 น.,ใช้เวลา 17 วัน 20 ชม.,80,62
2024-KLMF2G,2024-09-20,13:48 น.,รอรับเรื่อง 79 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ทางฟุตบาท แตกหัก บิ่น เสี่ยงต่อการเดินสะดุด หกล้ม,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-09-22,09:45 น.,ใช้เวลา 1 วัน 19 ชม.,80,78
2024-HLZAR4,2024-09-07,06:44 น.,รอรับเรื่อง 93 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-09-09,14:51 น.,ใช้เวลา 2 วัน 8 ชม.,93,91
2024-BFZEWW,2024-09-07,06:42 น.,รอรับเรื่อง 93 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-09-09,14:51 น.,ใช้เวลา 2 วัน 8 ชม.,93,91
7LHKPD,2024-08-22,18:16 น.,รอรับเรื่อง 108 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: เรื่องเดิม บนสะพานลอยหน้าสถานีบริการน้ำมันคาลเท็กซ์ ถนนกาญจาภิเษก เลี้ยวจากเดอะมอลล์บางแค มุ่งหน้าไปถนนพระรามที่ 2 (เป็นสะพานลอยที่ยาวมาก) บริเวณนี้ค่อนข้างเปลี่ยว ไม่มีกล้องวงจรปิด CCTV เกรงว่าประชาชนสัญจรไปมาในเวลากลางคืนจะได้รับอันตราย อ้างอิงเลขที่รับแจ้ง MUVHXL เมื่อวันที่ 3 เม.ย. 67 เจ้าหน้าที่ตอบกลับมาว่า เขตบางแค ส่งต่อไปยัง แขวงทางหลวงธนบุรี กรมทางหลวงปัจจุบันผู้ร้องแจ้งว่า อยากให้ทาง กทม.เร่งดำเนินการติดกล้อง CCTV บริเวณดังกล่าวเพื่อสร้างความอุ่นใจให้กับประชาชนถนน: กาญจนาภิเษกจุดสังเกต: สะพานลอยดังกล่าวจะอยู่เยื้องกับหมู่บ้านสุขสันต์ 6เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,รอรับเรื่อง,2024-08-23,11:41 น.,ใช้เวลา 17 ชม. 26 นาที,109,108
2024-LK4RB8,2024-08-20,20:02 น.,รอรับเรื่อง 110 วันที่แล้ว,เขตบางแค แขวงหลักสอง,มีการเลาะหน้าถนนตั้งแต่วันเสาร์ 17/8/2567 จนถึงวันนี้ วันที่ 20/8/2567 แล้วยังไม่มีการดำเนินการติดไฟสัญญานเตือนหรือป้ายเตือนอันตราย ทำให้รถที่ลงคอสะพานมาด้วยความเร็วไม่ทันระวังเกิดอุบัติเหตุไปแล้วหลายคัน ก็ยังไม่มีการดำเนินการอะไรคืบหน้าเลย รบกวนแจ้งฝ่ายที่เกี่ยวข้องเร่งตรวจสอบให้หน่อยนะคะ อันตรายมากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-08-21,08:59 น.,ใช้เวลา 12 ชม. 57 นาที,111,110
