ticket_id,date,time,status,address,description,agency,category,ForwardedStatus,ForwardedDate,ForwardedTime,TakeTime
2024-83HN9G,3-ธ.ค.-67,09:00 น.,รอรับเรื่อง 2 นาทีที่แล้ว,เขตบางรัก แขวงสีลม,มีผู้ป่วยไข้เลือดออกที่บ้านค่ะ ตอนนี้รักษาตังที่รพ.มาตั้งแต่วันพุธที่ 27 ตคค่ะ,"เขตบางรัก, กรุงเทพมหานคร",ขอความช่วยเหลือ,รอรับเรื่อง,3-ธ.ค.-67,09:00 น.,รอรับเรื่อง
2024-8ETE6M,3-ธ.ค.-67,08:59 น.,รอรับเรื่อง 3 นาทีที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,บริเวณหน้าเอื้ออาทรบางขุนเทียน2เห็นมีเพิงทำเป็นร้านค้าถาวรได้ยินว่าจ่ายให้กับเขตทุกเดือน และที่สำคัญคือตรงนั้นเป็นหัวแดงที่จ่ายน้ำดับเพลิงเวลาเกิดเหตุเพลิงไหม้จะทำยังไงค่ะและทำให้ดูไม่สะอาดตาไม่สะบายใจเพราะได้ยินทะเลาะกันบ่อยมั่วสุมทุกวันอยากให้ถอดถอนออกจะดีมากเลยค่ะช่วยมาดูบ้างก็นะค่ะอีกอย่างมีการขายหวยกล่องด้วยค่ะคือมองไปแล้วมันไม่ดีต่อชุมชนคนเอื้อค่ะไหนจะมั่วสุมไหนจะหวยบ้างวันก็เถียงกันด่ากันทะเลาะกันอยากให้เอาออกไปเลยยิ่งดีค่ะ,"เขตบางขุนเทียน, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,3-ธ.ค.-67,08:59 น.,รอรับเรื่อง
2024-7QG4WT,3-ธ.ค.-67,08:57 น.,รอรับเรื่อง 5 นาทีที่แล้ว,เขตบึงกุ่ม แขวงคลองกุ่ม,จุดเดิมที่รองบประมาณในการแก้ปัญหาท่อระบายค่ะ รอบนี้รบกวนขอเจ้าหน้าที่ทำความสะอาดถนนค่ะ,"เขตบึงกุ่ม, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3-ธ.ค.-67,08:57 น.,รอรับเรื่อง
2024-FPX32G,3-ธ.ค.-67,08:56 น.,รอรับเรื่อง 5 นาทีที่แล้ว,เขตบางซื่อ,ทางม้าลายไม่หยุดให้คนข้ามถนน,"เขตบางซื่อ, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3-ธ.ค.-67,08:56 น.,รอรับเรื่อง
2024-HURQVA,3-ธ.ค.-67,08:56 น.,รอรับเรื่อง 6 นาทีที่แล้ว,เขตบึงกุ่ม แขวงนวลจันทร์,ที่ดินรกร้างหลังบ้าน มีต้นไม้ขึ้นลามมาถึงบ้าน ทำความสะอาดไปสักพัก ก็ขึ้นมาใหม่เร็วมาก มีงูเข้าบ้าน หลายรอบแล้ว ล่าสุดเกิดเหตอีกครั้ง วันที่ 3 ธ.ค. 67 เวลา 0730 น. มีงูเยาวประมาณ 1 เมตร ข้ามาถึงในครัว ที่บ้านมีเด็ก รบกวนประสานงาน และ ขอให้ทางเจ้าของที่ดินแก้ปัญหาอย่างยั่งยืน ด้วยครับ ขอบคุณครับ,"เขตบึงกุ่ม, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,3-ธ.ค.-67,08:56 น.,รอรับเรื่อง
2024-9LH7AX,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง 6 นาทีที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,จอก,"เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง
2024-KMR9GD,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง 7 นาทีที่แล้ว,เขตปทุมวัน,ร้านยา เอาท่อน้ำแอร์ปล่อยลงทางเท้า เปียกตลอดวัน ฝากดูเเลด้วยได้ไหมค่ะ,"เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง
2024-L7NMKX,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง 7 นาทีที่แล้ว,เขตบางเขน,ไฟสัญญาณจราจรไม่ติด,"เขตบางเขน, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง
2024-FNN2ZN,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง 7 นาทีที่แล้ว,เขตปทุมวัน,ขาย,"เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3-ธ.ค.-67,08:55 น.,รอรับเรื่อง
2024-LK2NZP,3-ธ.ค.-67,08:54 น.,รอรับเรื่อง 7 นาทีที่แล้ว,เขตบางแค แขวงบางไผ่,กราบเรียน สำนักการโยธา ช่วยพิจารณา ติดตั้งกระจกนิรภัย ตรง3แยกนครลุง ซึ่งมีลักษณะเป็นตัววาย.มีรถสัญจรไปมาค่อนข้างเยอะทั้งเช้าและเย็นมีจุดอับหลายจุด..พื้นที่ เขต บางแค,"เขตบางแค, กรุงเทพมหานคร",อุบัติเหตุ,รอรับเรื่อง,3-ธ.ค.-67,08:54 น.,รอรับเรื่อง
