ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-N7PQ4C,7/2/2024,14:43 น.,300,รอรับเรื่อง 299 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ทำงานล่าช้า วัสดุหล่นผิวทาง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,20/2/2024,11:05 น.,287,ใช้เวลา 12 วัน 20 ชม.
CJVJ4T,26/1/2024,17:30 น.,312,รอรับเรื่อง 311 วันที่แล้ว,เขตตลิ่งชัน แขวงบางระมาด,ปัญหา: พบผู้ค้ารถเข็นขายของบริเวณบาทวิถีและผิวจราจรบริเวณทางเข้าหน้าปั๊มน้ำมันดังกล่าวช่วงเวลาประมาณ 05.00-12.00 น.กีดขวางรถที่จะเลี้ยวเข้ามาใช้บริการในปั้มน้ำมันแล้วเกรงว่าจะเกิดอุบัติเหตุด้วย และยังมีการทำให้บริเวณหน้าปั้มน้ำมันสกปรกโดยทิ้งเศษอาหารลงในท่อระบายน้ำทำให้ท่อตันจนเพื่อนบ้านร้องเรียนเขตมาที่ปั้มน้ำมันดังกล่าวซึ่งทางเขตก็เร่งให้จัดการแก้ไขจึงมาร้องเรียนที่นี่ ถนน: กาญจนาภิเษก จุดสังเกต: ปั้มน้ำมันเชลล์ตรงข้ามPaseoเขต: ตลิ่งชัน#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรมทางหลวงชนบท กระทรวงคมนาคม, ฝ่ายเทศกิจ เขตตลิ่งชัน, เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,22/8/2024,10:36 น.,103,ใช้เวลา 208 วัน 17 ชม.
2024-GX6QDR,21/1/2024,14:16 น.,317,รอรับเรื่อง 316 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,กำแพงสะพานขึ้นคราบดำสกปรกอยากให้มีการทาสีปรับปรุงให้ดีเรียบร้อยตามผอ ผู้ว่าชีชชาติ,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,7/2/2024,13:23 น.,300,ใช้เวลา 16 วัน 23 ชม.
2023-GZNLVC,2/12/2023,10:05 น.,367,รอรับเรื่อง 366 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพโปร่งใส, กรุงเทพมหานคร",ทุจริต,รอรับเรื่อง,19/12/2023,14:47 น.,350,ใช้เวลา 17 วัน 4 ชม.
2023-9BBWAR,17/8/2023,15:45 น.,474,รอรับเรื่อง 473 วันที่แล้ว,เขตบางแค แขวงบางไผ่,เต้นท์รถมือสอง ใช้ฟุตบาทมาจอดรถขายรถของตัวเอง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,21/8/2023,16:44 น.,470,ใช้เวลา 4 วัน 1 ชม.
2023-CM3844,5/8/2023,13:31 น.,486,รอรับเรื่อง 485 วันที่แล้ว,เขตสะพานสูง แขวงราษฎร์พัฒนา,ปัญ หา ถนนพัง ตรง จุดตัด มอเตอร์เวย์ กับถนนสุขาภิบาล 3 เป็นปัญหา มาเนิ่นนาน ไม่ต่างจากปัญหาจีนสีเทาหรือนายทุนผูกขาด เหมือนตบหน้าตำรวจกล่าวคือแม้ว่าจะมีป้ายห้ามรถ มากกว่า 6 ล้อยูเทิร์น แต่ จะเห็นได้ว่ารถ 18-24 ล้อยูเทิร์นทั้งวัน ขนาดมีป้อมตำรวจอยู่ ตรงนั้นแท้ๆ ไม่เคยเห็นตำรวจ ออกจากป้อมมาจับเลย ทำให้ถนนตรงจุดกลับรถดังกล่าว เป็นหลุมเป็นบ่อเยอะมากๆ ทั้งปี ครบปีก็มี มาปะผุใหม่ ทีนึง เห็นแบบนี้มาเป็น10 ปีไม่เคยมีใครแก้ไขได้ทั้งที่แก้ไขง่ายนิดเดียว แค่ให้ตำรวจกวดขันอย่างเข้มงวดหรือตั้งกล้อง แค่นั้นเอง.,"กรมทางหลวง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ถนน,เปิดเรื่องใหม่,7/8/2023,16:03 น.,484,ใช้เวลา 2 วัน 2 ชม.
2023-88QBAR,1/8/2023,19:39 น.,490,รอรับเรื่อง 489 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ทางเดิน ฟุตบาท เททรายขอบทางไว้ นานมากๆแล้วยังไม่เสร็จ ทางเดินมีขยะ เศษหิน แก้วแตก วัชพืชขึ้นริมทาง ขยะในคลองระบายน้ำ เยอะมาก ส่งกลิ่นเหม็น,"กรมทางหลวง, เขตพญาไท, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,5/8/2023,14:33 น.,486,ใช้เวลา 3 วัน 18 ชม.
2023-BWBZ6Q,29/7/2023,18:30 น.,493,รอรับเรื่อง 492 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ตรงสะพานข้ามแยกบางแค เส้นแบ่งเลนไม่มีเลยครับ มีแต่จางมากเลย อันตรายมากครับ เพราะแต่ละคันขับมั่วกันไปหมดเลย,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,1/8/2023,16:18 น.,490,ใช้เวลา 2 วัน 21 ชม.
2023-89BKEE,20/7/2023,12:01 น.,502,รอรับเรื่อง 501 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรุงเทพโปร่งใส",อื่นๆ,รอรับเรื่อง,28/7/2023,21:44 น.,494,ใช้เวลา 8 วัน 9 ชม.
2023-D83NGF,25/6/2023,19:46 น.,527,รอรับเรื่อง 526 วันที่แล้ว,แขวงประเวศ,คอสะพานทางลงทรุดหนักจนเริ่มแตกหักและพังทำให้รถยนต์ได้รับความเสียหาย,"กรมทางหลวง, เขตประเวศ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,26/6/2023,14:28 น.,526,ใช้เวลา 18 ชม. 42 นาที
2023-NKYNW9,9/6/2023,16:47 น.,543,รอรับเรื่อง 542 วันที่แล้ว,เขตดอนเมือง แขวงสนามบิน,พื้นทางเดินชำรุดครับ,"กรมทางหลวง, เขตสายไหม, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,12/6/2023,16:06 น.,540,ใช้เวลา 2 วัน 23 ชม.
2023-BWL6LT,4/6/2023,23:00 น.,548,รอรับเรื่อง 547 วันที่แล้ว,,พื้นถนนต่างระดับ และชำรุด สร้างความอันตรายให้กับรถยนต์และจักรยานยนต์ที่ผ่านไปมา โดยเฉพาะช่วงฝนตกจะมีน้ำท่วมขังและไม่เห็นว่าถนนต่างระดับ,"กรมทางหลวง, เขตประเวศ, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,7/6/2023,09:51 น.,545,ใช้เวลา 2 วัน 10 ชม.
2023-FH8MKL,6/5/2023,12:49 น.,577,รอรับเรื่อง 576 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ทางฟุตบาทเสียหายไม่สามารถเดินได้,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,22/7/2023,13:18 น.,500,ใช้เวลา 77 วัน
2023-L82XC6,5/5/2023,16:37 น.,578,รอรับเรื่อง 577 วันที่แล้ว,เขตบางขุนเทียน,แจ้งร้องเรียนพนักงานกรมทางหลวงคุณปาริฉัตรไม่ตอบกลับผลการเำเนินการตามที่ได้แจ้งค่ะ ขอร้องเรียนการปฎิบัติหน้าที่เรื่องคุณวาณิช ละเลยการปฎิบัติหน้าที่ค่ะ,"กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,3/7/2023,18:19 น.,519,ใช้เวลา 59 วัน 1 ชม.
JAE937,4/5/2023,13:22 น.,579,รอรับเรื่อง 578 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ปัญหา : สะพาน เนื่องจาก สะพานข้ามคลองส่งน้ำ สร้างไม่เสร็จสักที เกือบปีแล้ว ทำให้เหลือช่องทางเข้าซอยแค่ 1 เลน เหล็กที่ปูพื้นถนนไว้ ตรงหัวมุมมันเปิดขึ้น ถ้ายางรถไปกระแทก อาจจะทำให้ยางแตกได้ ทำให้ต้องเบี่ยงหลบเข้าเลนขวา แต่รถที่จะออกจากซอยก็ออกไม่ได้เหมือนกัน พยายามติดต่อกับฝ่ายโยธา แต่ไม่มีคนรับสายเลย ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหานี้ด้วยจุดเกิดเหตุ : (สถานที่สำคัญ / จุดสังเกต) บริเวณซอยวิภาวดีรังสิต 16ถนน : วิภาวดีรังสิตแขวง : จอมพล เขต : จตุจักร#1555,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,14/9/2023,20:43 น.,446,ใช้เวลา 133 วัน 7 ชม.
2023-9CMW4H,26/3/2023,21:16 น.,618,รอรับเรื่อง 617 วันที่แล้ว,เขตจตุจักร,หน้ากรมยุทธโยธาเเยกเกษตร 1ไฟถนนดับ3-4ดวง มาเป็นชาติเเล้วเเจ้งไป 3-4 รอบ ไม่มีการตอบกลับ 2.ฝาท่อเหล็ก กลางถนน ตรงเเยกเกษตร เป็นหลุมลงไปจะทะลุเเล้ว มอไซตกทีมีจุก อยุ่เเถวๆป้อมตำรวจจราจรเลย,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,1/4/2023,05:22 น.,612,ใช้เวลา 5 วัน 8 ชม.
2023-H674FM,9/3/2023,18:20 น.,635,รอรับเรื่อง 634 วันที่แล้ว,เขตบางแค แขวงบางไผ่,พื้นทางเดินริมถนนกาญจนาภิเษกยุบ,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,22/2/2024,14:30 น.,285,ใช้เวลา 349 วัน 20 ชม.
2023-6R4GFT,2/3/2023,05:20 น.,642,รอรับเรื่อง 642 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ,ไฟบนสะพานลอยหน้าบริษัททรูถนนสุขสวัสดิ์เสียเกือบหมด ติดแค่ดวงเดียว,"กรมทางหลวง, เขตราษฎร์บูรณะ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,17/5/2023,07:01 น.,566,ใช้เวลา 76 วัน 1 ชม.
LXPHAX,28/2/2023,20:12 น.,644,รอรับเรื่อง 643 วันที่แล้ว,เขตบึงกุ่ม แขวงคลองกุ่ม,‘กรุณาอ่านข้อมูลบรรยายประกอบการปักหมุด’* ปัญหา : ไฟฟ้าส่องสว่างสาธารณะดับ บริเวณหน้าบ้านเลขที่3/1 เลขที่เสา R9-33//สามารถโทรติดต่อผู้แจ้งได้//* จุดเกิดเหตุ : หน้าบ้านเลขที่3/1 ติดกับถนนประเสริฐมนูกิจ* บ้านเลขที่ : 3/1* ซอย : -* ถนน : ประเสริฐมนูกิจ* เขต : บึงกุ่ม* แขวง : คลองกุ่ม#1555,"กรมทางหลวง, เขตบึงกุ่ม, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,6/8/2023,18:27 น.,485,ใช้เวลา 158 วัน 22 ชม.
2023-C7Y2M3,24/2/2023,12:01 น.,648,รอรับเรื่อง 647 วันที่แล้ว,เขตบางเขน แขวงอนุสาวรีย์,มีการนำแผ่นเหล็กมากั้นกีดขวางทางเท้าบริเวณหน้าเซ็นทรัลรามอินทรา,"กรมทางหลวง, เขตบางเขน, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,22/3/2023,19:22 น.,622,ใช้เวลา 26 วัน 7 ชม.
2023-BCMR2K,4/2/2023,19:32 น.,668,รอรับเรื่อง 667 วันที่แล้ว,เขตบางนา แขวงบางนา,ท่อของห้างขวางคนเดินเท้า,"เขตบางนา, กรมทางหลวง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,25/3/2023,10:40 น.,619,ใช้เวลา 48 วัน 15 ชม.
M9P83W,26/1/2023,12:25 น.,677,รอรับเรื่อง 676 วันที่แล้ว,แขวงลำผักชี,ปัญหา: 1. ไฟในศาลารอรถ เปิดไม่ติด จุดเกิดเหตุ: ฝั่งขาออก บ้านเลขที่:- ซอย:สุวินทวงศ์45 ถนน:- เขต:-#1555,"กรมทางหลวง, เขตหนองจอก, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,6/1/2024,09:34 น.,332,ใช้เวลา 344 วัน 21 ชม.
