ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-NA3LTR,5/9/2024,08:41 น.,89,รอรับเรื่อง 89 วันที่แล้ว,เขตภาษีเจริญ แขวงปากคลองภาษีเจริญ,ทางเท้าไม่เรียบยุบเป็นหลุม แจ้งแก้ไขแล้วยังเหมือนเดิม,"กรมทางหลวงชนบท กระทรวงคมนาคม, เขตภาษีเจริญ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,13/9/2024,15:00 น.,81,ใช้เวลา 8 วัน 6 ชม.
CJVJ4T,26/1/2024,17:30 น.,312,รอรับเรื่อง 311 วันที่แล้ว,เขตตลิ่งชัน แขวงบางระมาด,ปัญหา: พบผู้ค้ารถเข็นขายของบริเวณบาทวิถีและผิวจราจรบริเวณทางเข้าหน้าปั๊มน้ำมันดังกล่าวช่วงเวลาประมาณ 05.00-12.00 น.กีดขวางรถที่จะเลี้ยวเข้ามาใช้บริการในปั้มน้ำมันแล้วเกรงว่าจะเกิดอุบัติเหตุด้วย และยังมีการทำให้บริเวณหน้าปั้มน้ำมันสกปรกโดยทิ้งเศษอาหารลงในท่อระบายน้ำทำให้ท่อตันจนเพื่อนบ้านร้องเรียนเขตมาที่ปั้มน้ำมันดังกล่าวซึ่งทางเขตก็เร่งให้จัดการแก้ไขจึงมาร้องเรียนที่นี่ ถนน: กาญจนาภิเษก จุดสังเกต: ปั้มน้ำมันเชลล์ตรงข้ามPaseoเขต: ตลิ่งชัน#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรมทางหลวงชนบท กระทรวงคมนาคม, ฝ่ายเทศกิจ เขตตลิ่งชัน, เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,22/8/2024,10:36 น.,103,ใช้เวลา 208 วัน 17 ชม.
TERVH2,13/7/2023,13:20 น.,509,รอรับเรื่อง 508 วันที่แล้ว,เขตธนบุรี แขวงตลาดพลู,ปัญหา: มีวัชพืชขึ้นในคลองบริเวณหน้าบ้านเป็นจำนวนมาก ทำให้มีสัตว์เลื้อยคลาน สัตว์มีพิษเข้าบ้านประชาชน อยากให้เจ้าหน้าที่มาตัดวัชพืชในคลองออกบ้านเลขที่: 40/3ถนน: ราชพฤกษ์จุดสังเกต: เลยสถานีรถไฟฟ้าวุฒากาศฝั่งราชพฤกษ์ มาประมาณ 50 เมตร อยู่ซ้ายมือริมถนน บริเวณเสารถไฟฟ้าต้นที่ 352เขต: จอมทอง#1555,"เขตจอมทอง, กรมทางหลวงชนบท กระทรวงคมนาคม, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",น้ำท่วม,เปิดเรื่องใหม่,27/7/2023,11:02 น.,495,ใช้เวลา 13 วัน 21 ชม.
2023-BHARRX,21/6/2023,08:21 น.,531,รอรับเรื่อง 531 วันที่แล้ว,เขตธนบุรี,ไฟริมทางเดินหน้าโรงเรียนมณีวิทยาดับอีกแล้วครับ ก่อนหน้านี้เคยมาแก้ไขแล้ว 1 ครั้ง,"เขตธนบุรี, กรมทางหลวงชนบท กระทรวงคมนาคม, การไฟฟ้านครหลวง เขตยานนาวา, Bangkok Smart Lighting (สำนักการโยธา กทม.), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,ส่งต่อ,16/10/2024,10:52 น.,48,ใช้เวลา 483 วัน 2 ชม.
2023-CAKRCC,22/5/2023,06:26 น.,561,รอรับเรื่อง 561 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ตัวหนังสือที่ป้ายบอกทางเลือนจนอ่านไม่ได้ รบกวนแก้ไข,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,27/7/2023,22:07 น.,495,ใช้เวลา 66 วัน 15 ชม.
2023-HFTU3F,18/5/2023,19:22 น.,565,รอรับเรื่อง 564 วันที่แล้ว,เขตภาษีเจริญ แขวงปากคลองภาษีเจริญ,ต้องการเพิ่มไฟส่องสว่างและกล้องวงจรปิด,"กรมทางหลวงชนบท กระทรวงคมนาคม, เขตภาษีเจริญ, เพื่อนชัชชาติ, กรุงเทพมหานคร",จุดเสี่ยง,เปิดเรื่องใหม่,15/6/2023,22:05 น.,537,ใช้เวลา 28 วัน 2 ชม.
2023-GTDM26,15/5/2023,19:31 น.,568,รอรับเรื่อง 567 วันที่แล้ว,เขตบางแค แขวงบางแค,ไหล่ทางมีฝุ่นแดงฟุ้งกระจาย,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักสิ่งแวดล้อม กทม., เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,29/6/2023,19:15 น.,523,ใช้เวลา 44 วัน 23 ชม.
RLEJ4C,22/4/2023,15:50 น.,591,รอรับเรื่อง 590 วันที่แล้ว,เขตบางกอกน้อย แขวงอรุณอมรินทร์,หัวข้อที่ 4 //ติดตามเรื่องร้องทุกข์ เลขที่รับแจ้งอ้างอิง JNZKND* * ปัญหา: แจ้งเรื่องร้องเรียนพบเห็นรอบต่อของสะพานไม่เรียบทำให้เวลาขับขี่รถผ่านรถเด้ง รอยต่อสูงกว่าผิวถนน กลัวจะได้รับอันตราย ขอให้เจ้าหน้าที่เข้าตรวจสอบและแก้ไข* * จุดเกิดเหตุ: สะพานสมเด็จพระปิ่นเกล้า* * ถนน: สะพานสมเด็จพระปิ่นเกล้า* * เขต:บางกอกน้อย* * แขวง:อรุณอมรินทร์#1555,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตบางกอกน้อย, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,15/6/2023,16:38 น.,537,ใช้เวลา 54 วัน
JNZKND,18/3/2023,22:01 น.,626,รอรับเรื่อง 625 วันที่แล้ว,เขตบางพลัด แขวงบางยี่ขัน,* กรุณาอ่านข้อมูลบรรยายประกอบการปักหมุด’ * * ปัญหา: แจ้งเรื่องร้องเรียนพบเห็นรอบต่อของสะพานไม่เรียบทำให้เวลาขับขี่รถผ่านรถเด้ง รอยต่อสูงกว่าผิวถนน กลัวจะได้รับอันตราย ขอให้เจ้าหน้าที่เข้าตรวจสอบและแก้ไข* * จุดเกิดเหตุ:  สะพานสมเด็จพระปิ่นเกล้า* * บ้านเลขที่: -* * ซอย: -* * ถนน: -* * เขต:บางกอกน้อย* * แขวง:อรุณอมรินทร์#1555,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตบางกอกน้อย, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,15/6/2023,16:27 น.,537,ใช้เวลา 88 วัน 18 ชม.
2023-82XZXQ,15/3/2023,09:09 น.,629,รอรับเรื่อง 628 วันที่แล้ว,เขตตลิ่งชัน,ทางเท้าเเละขอบทางเท้าเเตก,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,18/4/2023,10:12 น.,595,ใช้เวลา 34 วัน 1 ชม.
