ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-EGRBMA,3/12/2024,07:38 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงขุมทอง,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,3/12/2024,07:38 น.,0,รอรับเรื่อง
2024-67VE2N,3/12/2024,03:53 น.,0,รอรับเรื่อง 5 ชั่วโมงที่แล้ว,เขตคลองสาน แขวงคลองสาน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,3/12/2024,03:53 น.,0,รอรับเรื่อง
2024-7E94HR,2/12/2024,19:21 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตมีนบุรี แขวงมีนบุรี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2/12/2024,19:21 น.,1,รอรับเรื่อง
2024-L4TQM9,2/12/2024,18:34 น.,1,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงวังใหม่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2/12/2024,18:34 น.,1,รอรับเรื่อง
2024-8Y9MP6,2/12/2024,18:03 น.,1,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตธนบุรี แขวงวัดกัลยา,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2/12/2024,18:03 น.,1,รอรับเรื่อง
2024-AFPAMR,2/12/2024,12:24 น.,1,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2/12/2024,12:24 น.,1,รอรับเรื่อง
2024-A9WZAQ,2/12/2024,04:09 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,2/12/2024,04:09 น.,1,รอรับเรื่อง
2024-HUXGWM,1/12/2024,22:18 น.,2,รอรับเรื่อง 1 วันที่แล้ว,,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,2/12/2024,12:19 น.,1,ใช้เวลา 14 ชม. 1 นาที
2024-8Y9ZPP,1/12/2024,13:51 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตธนบุรี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,1/12/2024,13:52 น.,2,รอรับเรื่อง
2024-7FBNFN,30/11/2024,10:39 น.,3,รอรับเรื่อง 2 วันที่แล้ว,เขตสัมพันธวงศ์,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,30/11/2024,10:39 น.,3,รอรับเรื่อง
2024-66WY37,30/11/2024,07:54 น.,3,รอรับเรื่อง 3 วันที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,30/11/2024,07:54 น.,3,รอรับเรื่อง
2024-ABMCUW,30/11/2024,07:02 น.,3,รอรับเรื่อง 3 วันที่แล้ว,เขตบางกะปิ แขวงคลองจั่น,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,30/11/2024,07:02 น.,3,รอรับเรื่อง
2024-7XL33Q,30/11/2024,04:31 น.,3,รอรับเรื่อง 3 วันที่แล้ว,เขตบางคอแหลม แขวงบางโคล่,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,30/11/2024,04:31 น.,3,รอรับเรื่อง
2024-36BLK9,29/11/2024,15:23 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,29/11/2024,15:23 น.,4,รอรับเรื่อง
2024-FB42LR,22/11/2024,16:03 น.,11,รอรับเรื่อง 10 วันที่แล้ว,เขตภาษีเจริญ แขวงคูหาสวรรค์,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,22/11/2024,16:03 น.,11,รอรับเรื่อง
2024-KZ37QL,17/10/2024,09:27 น.,47,รอรับเรื่อง 46 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,1/12/2024,11:16 น.,2,ใช้เวลา 45 วัน 1 ชม.
2024-B97KB8,17/10/2024,09:16 น.,47,รอรับเรื่อง 46 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,1/12/2024,11:17 น.,2,ใช้เวลา 45 วัน 2 ชม.
2024-NX3A6R,7/9/2024,23:39 น.,87,รอรับเรื่อง 86 วันที่แล้ว,แขวงดินแดง,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, กองการกีฬา สำนักวัฒนธรรม กีฬา และการท่องเที่ยว",ทุจริต,เปิดเรื่องใหม่,19/11/2024,11:21 น.,14,ใช้เวลา 72 วัน 11 ชม.
2024-GHMXTZ,26/7/2024,14:36 น.,130,รอรับเรื่อง 129 วันที่แล้ว,เขตพระนคร,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,26/7/2024,14:36 น.,130,รอรับเรื่อง
2024-93ETBD,25/7/2024,13:24 น.,131,รอรับเรื่อง 130 วันที่แล้ว,เขตพระนคร,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,รอรับเรื่อง,25/7/2024,13:24 น.,131,รอรับเรื่อง
2024-NZKKQQ,24/7/2024,12:40 น.,132,รอรับเรื่อง 131 วันที่แล้ว,เขตจตุจักร,ไม่แสดงรายละเอียด,"สน.พหลโยธิน, กรุงเทพโปร่งใส, กองบังคับการตำรวจนครบาล 2 (บก.น.2), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,12/11/2024,11:10 น.,21,ใช้เวลา 110 วัน 22 ชม.
2023-GZNLVC,2/12/2023,10:05 น.,367,รอรับเรื่อง 366 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพโปร่งใส, กรุงเทพมหานคร",ทุจริต,รอรับเรื่อง,19/12/2023,14:47 น.,350,ใช้เวลา 17 วัน 4 ชม.
2023-6TCEBC,25/10/2023,11:11 น.,405,รอรับเรื่อง 404 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ไม่แสดงรายละเอียด,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,เปิดเรื่องใหม่,22/10/2024,07:06 น.,42,ใช้เวลา 362 วัน 19 ชม.
2023-89BKEE,20/7/2023,12:01 น.,502,รอรับเรื่อง 501 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรุงเทพโปร่งใส",อื่นๆ,รอรับเรื่อง,28/7/2023,21:44 น.,494,ใช้เวลา 8 วัน 9 ชม.
2023-AME778,7/6/2023,13:37 น.,545,รอรับเรื่อง 544 วันที่แล้ว,เขตปทุมวัน แขวงรองเมือง,ไม่แสดงรายละเอียด,"ฝ่ายเทศกิจ เขตปทุมวัน, กรุงเทพโปร่งใส, เขตปทุมวัน, กรุงเทพมหานคร, สำนักโยธา",อื่นๆ,เปิดเรื่องใหม่,2/12/2024,19:16 น.,1,ใช้เวลา 544 วัน 5 ชม.
2023-MYX3EQ,3/5/2023,09:54 น.,580,รอรับเรื่อง 579 วันที่แล้ว,เขตปทุมวัน แขวงรองเมือง,ไม่แสดงรายละเอียด,"ฝ่ายเทศกิจ เขตปทุมวัน, กรุงเทพโปร่งใส, เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2/12/2024,19:16 น.,1,ใช้เวลา 579 วัน 9 ชม.
