ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-KZ37QL,17/10/2024,09:27 น.,47,รอรับเรื่อง 46 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,1/12/2024,11:16 น.,2,ใช้เวลา 45 วัน 1 ชม.
2024-B97KB8,17/10/2024,09:16 น.,47,รอรับเรื่อง 46 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,1/12/2024,11:17 น.,2,ใช้เวลา 45 วัน 2 ชม.
2024-K3BBZV,16/6/2024,09:19 น.,170,รอรับเรื่อง 169 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,วันทึ่ 16 มิถุนายน 2567 เวลา 9:18 น. รถสองแถว รถแท๊กซี่จอดขวางแช่ 1 เลนทำให้รถติด รบกวนเจ้าหน้าที่ตำรวจมากวดขันให้หนักกว่านี้,"สน.ท่าข้าม, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,17/6/2024,17:08 น.,169,ใช้เวลา 1 วัน 7 ชม.
2024-EFL6HU,11/6/2024,07:36 น.,175,รอรับเรื่อง 175 วันที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,แยกอนามัยงามเจริญ รถติดมากทั้งๆ ที่ไม่มีไฟจราจรหรืออุบัติเหตุ ไม่เคยเห็นตำรวจจราจรมาจัดการจราจรสักครั้ง,"สน.ท่าข้าม, เขตบางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,25/6/2024,12:16 น.,161,ใช้เวลา 14 วัน 4 ชม.
2024-MEPYYG,31/5/2024,07:34 น.,186,รอรับเรื่อง 186 วันที่แล้ว,เขตภาษีเจริญ แขวงบางด้วน,มีรถจอดกีดขวางทาง ทำให้รถขยะไม่สามารถผ่านเข้ามาเก็บขยะภายในซอยด้านในได้ครับ,"สน.ภาษีเจริญ, เขตภาษีเจริญ, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,รอรับเรื่อง,1/6/2024,09:34 น.,185,ใช้เวลา 1 วัน 2 ชม.
Z9JWF7,3/4/2024,13:25 น.,244,รอรับเรื่อง 243 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,10/4/2024,16:44 น.,237,ใช้เวลา 7 วัน 3 ชม.
3DK2WM,12/8/2023,19:13 น.,479,รอรับเรื่อง 478 วันที่แล้ว,เขตบางบอน,ปัญหา: ประชาชนแจ้งว่าเปิดเพลงเสียงดังเปิดเป็นช่วงๆไม่สามารถระบุเวลาชัดเจนได้แต่เปิดเกือบจะทุกวัน ขอให้เจ้าหน้าที่ดำเนินการแก้ไขปัญหาดังกล่าวให้กับประชาชนด้วย บ้านเลขที่: 1524ซอย: เอกชัย109 ซอย21ถนน: เอกชัยบางบอนจุดสังเกต: บริเวณซอย 29 ซอยย่อยที่ 21 มีตลาดนัดและเซเว่น เข้ามาในซอยสุดซอยอยู่ทางขวามือ หมู่บ้านพระปิ่น5 บ้านหลังที่5 จะอยู่ขวามือ รั้วบ้านเป็นสีเทาเขต: บางบอน#1555,"สน.แสมดำ, เขตบางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",เสียง,รอรับเรื่อง,19/2/2024,15:16 น.,288,ใช้เวลา 190 วัน 20 ชม.
2023-NTK8VE,24/5/2023,07:56 น.,559,รอรับเรื่อง 559 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,จุดกลับรถบริเวณซอย เพชรเกษม65/1 ในช่วงเวลาเช้าของทุกวันใช้เวลาในการกลับรถนานกว่า20นาที ซึ่งไม่เคยได้รับการแก้ไข้ อยากให้เข้ามาตรวจสอบ เพราะว่าระยะทางสั้นมาก แต่ใช้เวลานานมาก เป็นแบบนี้ทุกวัน,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,30/7/2023,16:10 น.,492,ใช้เวลา 67 วัน 8 ชม.
2023-F87L3D,2/5/2023,07:02 น.,581,รอรับเรื่อง 581 วันที่แล้ว,เขตบางแค แขวงหลักสอง,จราจรตื่นหรือยัง รถติดแต่จราจรหาย,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,3/5/2023,09:27 น.,580,ใช้เวลา 1 วัน 2 ชม.
2023-EP6EV7,21/2/2023,07:32 น.,651,รอรับเรื่อง 651 วันที่แล้ว,เขตบางแค,รถจอดกีดขวางส่งผู้โดยสาร จราจรหายหัว,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,21/2/2023,18:01 น.,651,ใช้เวลา 10 ชม. 30 นาที
2023-C4CP3H,24/1/2023,17:59 น.,679,รอรับเรื่อง 678 วันที่แล้ว,เขตบางแค,รถติดยาว ถนนกาญจนาภิเษก ออกเพชรเกษม จราจรไปไหน รู้ไหมว่ารถติด,"สน.หลักสอง, เขตบางแค, ปัญหาที่ต้องแก้เชิงนโยบาย, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",เสนอแนะ,เปิดเรื่องใหม่,25/1/2023,15:56 น.,678,ใช้เวลา 21 ชม. 57 นาที
2022-GCG6TX,7/10/2022,10:18 น.,788,รอรับเรื่อง 787 วันที่แล้ว,เขตบางแค,แจ้งเรื่องไป3ครั้งแล้ว ไม่มีหต่วยงานใดมาจัดการ จอดรถเรียงกันบนถนนสาธารณะ ขวางทางรถที่สัญจรไปมา จอดทั้งวันทั้งคืนทุกวันเลยคะ ทำให้มีปัญหารถติดในซอย เพราะพ่อแม่ไปส่งลูกที่โรงเรียนอัสสัมชัญธนบุรี(แจ้งเรื่องไปแล้ว ยังไม่มีหน่วยงานใดมาจัดการเลย,"สน.หลักสอง, เขตบางแค, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,12/10/2022,08:43 น.,783,ใช้เวลา 4 วัน 22 ชม.
2022-3F9KBL,19/9/2022,06:40 น.,806,รอรับเรื่อง 806 วันที่แล้ว,เขตหนองแขม,ไม่แสดงรายละเอียด,"เขตหนองแขม, สน.หนองค้างพลู, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), ปัญหาที่ต้องแก้เชิงนโยบาย, กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,ส่งต่อ,25/1/2024,15:31 น.,313,ใช้เวลา 493 วัน 8 ชม.
2022-E2AUKB,28/6/2022,08:33 น.,889,รอรับเรื่อง 889 วันที่แล้ว,เขตบางบอน,แถวบ้านมีคนดมกาวค่ะ และมีโรงเรียนประถมสังกัดกรุงเทพฯ อยู่ด้วย เกรงว่าจะเป็นอันตรายต่อเด็ก ตำรวจมาจับไปแต่ไม่กี่วันก็ปล่อยออกมา พิกัด ถนนเอกชัย 131 โรงเรียนสถานีพรมแดน เขตบางบอนค่ะ,"สน.แสมดำ, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กองบัญชาการตำรวจนครบาล (บช.น.), เขตบางบอน, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,26/7/2022,11:46 น.,861,ใช้เวลา 28 วัน 3 ชม.
