ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
PWYUGT,26/12/2023,12:54 น.,343,รอรับเรื่อง 342 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ปัญหา: พบถนนขรุขระไม่เสมอกัน เกิดจากการก่อสร้างสถานีรถไฟฟ้าถนน: สมเด็จพระเจ้าตากสินจุดสังเกต: ตั้งแต่ถนนหน้าโรงพยาบาลพระปิ่นเกล้า งบริเวณซอยสมเด็จพระเจ้าตากสิน 20 ไปจนถึง ซอยสมเด็จพระเจ้าตากสิน 22เขต: ธนบุรี#1555,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ถนน,เปิดเรื่องใหม่,5/1/2024,10:14 น.,333,ใช้เวลา 9 วัน 21 ชม.
2023-7FWHZY,17/11/2023,10:00 น.,382,รอรับเรื่อง 381 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,รถโดยสารเส้นเอกมัย มีน้อยมาก รอ20-30 นาทีคนก็อัดแน่น,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตวัฒนา, การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,24/11/2023,15:22 น.,375,ใช้เวลา 7 วัน 5 ชม.
2023-MXUCFN,14/7/2023,11:09 น.,508,รอรับเรื่อง 507 วันที่แล้ว,เขตธนบุรี,ช่วยลงดู การก่อสร้างทางรถไฟ สายสีม่วง ตรงถนนตากสินด้วยค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,18/7/2023,14:08 น.,504,ใช้เวลา 4 วัน 2 ชม.
2023-DFKNN4,6/7/2023,16:24 น.,516,รอรับเรื่อง 515 วันที่แล้ว,เขตธนบุรี แขวงสำเหร่,จักรยานเข็นบนฟุตบาทเกือบจะไม่ได้ และไม่มีทางเลี่ยงเส้นทางอื่นได้เลย ขอความช่วยเหลือจากหน่วยงานที่เกี่ยวข้องค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,7/7/2023,10:37 น.,515,ใช้เวลา 18 ชม. 14 นาที
2023-AHCBQH,27/6/2023,06:51 น.,525,รอรับเรื่อง 525 วันที่แล้ว,เขตห้วยขวาง แขวงห้วยขวาง,อยากให้ตีเส้นถนนที่ถนนเทียมร่วมมิตร,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตห้วยขวาง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,26/7/2023,12:18 น.,496,ใช้เวลา 29 วัน 5 ชม.
2023-ENNTXN,18/6/2023,18:41 น.,534,รอรับเรื่อง 533 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงบางปะกอก,อยากให้คุณชัชชาติหรือทีมงานลงมาดูการก่อสร้างรถไฟฟ้าสายสีม่วงบริเวณแยกบางปะแก้ว ช่วงเข้าๆรถติดหนักมากบางวันยังไม่7โมงดีท้ายแถวยาวถึงเซ็นทรัลพระราม 2 แจ้งปัญไปกี่รอบแล้ว ทาง รหม.กับตำรวจจราจรไม่สามารถแก้ไขอะไรได้เลย,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจอมทอง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,19/6/2023,19:47 น.,533,ใช้เวลา 1 วัน 1 ชม.
2023-B2EBD3,11/5/2023,19:17 น.,572,รอรับเรื่อง 571 วันที่แล้ว,เขตคลองสาน แขวงสมเด็จเจ้าพระยา,ช่องทางจราจรบริเวณถนนประชาธิปกตัดกับถนนอิสรภาพ ซึ่งกำลังทำรถไฟฟ้าอยู่ ช่องทางจราจรเลนขวาสุดมีขนาดเล็กมาก,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,12/5/2023,16:03 น.,571,ใช้เวลา 20 ชม. 47 นาที
2023-4QHZY7,25/4/2023,23:16 น.,588,รอรับเรื่อง 587 วันที่แล้ว,เขตสายไหม แขวงสายไหม,เพ้นติ้งแผ่นกั้นเสียงข้างถนนเกือบทุกแผ่นแล้วครับรบกวนลบทำความสะอาดให้หน่อยครับ ไม่ทราบน้ำมันสนใช้ได้มั้ยครับ,"เขตสายไหม, การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,27/4/2023,12:36 น.,586,ใช้เวลา 1 วัน 13 ชม.
2023-4KFHDR,9/3/2023,13:27 น.,635,รอรับเรื่อง 634 วันที่แล้ว,เขตจตุจักร แขวงจันทรเกษม,ปิดถนนทำรถไฟฟ้าหรือเพื่อหล่อปูน 1 เดือนยังไม่ทำไร แต่ทำรถติดทุกวัน,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,21/5/2023,08:16 น.,562,ใช้เวลา 72 วัน 18 ชม.
2023-9WZ3QN,28/2/2023,15:14 น.,644,รอรับเรื่อง 643 วันที่แล้ว,เขตบางกะปิ แขวงหัวหมาก,ปัญหาทางเท้า แคบป้าย ซอย ไม่ชัดเจนมีหลุม มี บ่อครับ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,8/3/2023,20:48 น.,636,ใช้เวลา 8 วัน 5 ชม.
