ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2XV9WJ,27/12/2023,17:13 น.,342,รอรับเรื่อง 341 วันที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,ปัญหา: พบดวงไฟฟ้าส่องสว่างทางดับชำรุด จำนวน 1 ดวง ทำให้บริเวณดังกล่าวมืดมากบ้านเลขที่: 1007/1ซอย: อิสรภาพ 33 ซอย 8ถนน: อิสรภาพ จุดสังเกต: ไฟส่องสว่างทางหน้าบ้านเลขที่ตามที่ระบุ ภายในซอยแยกดังกล่าวเขต: บางกอกใหญ่#1555,"การไฟฟ้านครหลวง เขตธนบุรี, เขตบางกอกใหญ่, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,15/1/2024,20:05 น.,323,ใช้เวลา 19 วัน 2 ชม.
2023-LW6BUR,22/7/2023,22:11 น.,500,รอรับเรื่อง 499 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ไฟส่องตามทางตามคลองด้านหลังพุทธบูชา คลองลัดขี้เหล็กคลองบางมดอยากให้มีไฟส่องตามคลอง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตจอมทอง, เขตจอมทอง, การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,27/7/2023,23:47 น.,495,ใช้เวลา 5 วัน 1 ชม.
2023-BHARRX,21/6/2023,08:21 น.,531,รอรับเรื่อง 531 วันที่แล้ว,เขตธนบุรี,ไฟริมทางเดินหน้าโรงเรียนมณีวิทยาดับอีกแล้วครับ ก่อนหน้านี้เคยมาแก้ไขแล้ว 1 ครั้ง,"เขตธนบุรี, กรมทางหลวงชนบท กระทรวงคมนาคม, การไฟฟ้านครหลวง เขตยานนาวา, Bangkok Smart Lighting (สำนักการโยธา กทม.), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,ส่งต่อ,16/10/2024,10:52 น.,48,ใช้เวลา 483 วัน 2 ชม.
2023-KGW2NY,30/3/2023,15:11 น.,614,รอรับเรื่อง 613 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟส่องทางในซอย ดับเกือบทุกต้น,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,24/7/2023,22:06 น.,498,ใช้เวลา 116 วัน 6 ชม.
7CY972,13/3/2023,12:35 น.,631,รอรับเรื่อง 630 วันที่แล้ว,เขตบางนา แขวงบางนา,ปัญหา: ไฟฟ้าดับตั้งแต่จุดเกิดเหตุ: เข้าไปในซอยอุดมสุข 24 ประมาณ 300 เมตร พอเจอสามแยกแล้วเลี้ยวขวา ประตูรั้วสีครีมบ้านเลขที่: 98ซอย: อุดมสุข 24ถนน: อุดมสุขเขต: บางนา#1555,"การไฟฟ้านครหลวง เขตบางนา, การไฟฟ้านครหลวง เขตบางใหญ่, ฝ่ายโยธา เขตบางนา, เขตบางนา, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,12/2/2024,19:05 น.,295,ใช้เวลา 336 วัน 6 ชม.
2023-NVUQL8,6/3/2023,19:15 น.,638,รอรับเรื่อง 637 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟถนนดับ1ดวง ต้นหมายเลข29 มีป้ายหาเสียงปิดทับอยู่,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,24/7/2023,22:28 น.,498,ใช้เวลา 140 วัน 3 ชม.
2023-6GY7BF,4/3/2023,09:57 น.,640,รอรับเรื่อง 639 วันที่แล้ว,เขตบางกอกน้อย,สายสัญญาณห้อยระโยงระยาง กีดขวางบริเวณทางเดินเท้า ใกล้กับโรงพยาบาลวิชัยเวช และซอยจรัญ 28/5 เกรงว่าจะเป็นอันตรายต่อคนเดินสัญจรไปมาครับ,"เขตบางกอกน้อย, การไฟฟ้านครหลวง เขตธนบุรี, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,20/3/2023,19:05 น.,624,ใช้เวลา 16 วัน 9 ชม.
2023-8XGEN3,21/2/2023,18:53 น.,651,รอรับเรื่อง 650 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟฟ้า ส่องสว่าง ใกล้ชุมชน,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,25/5/2023,21:57 น.,558,ใช้เวลา 93 วัน 3 ชม.
2023-BRWE74,9/2/2023,23:51 น.,663,รอรับเรื่อง 662 วันที่แล้ว,เขตลาดพร้าว แขวงลาดพร้าว,สายบนเสาไฟร่วงลงมา,"การไฟฟ้านครหลวง เขตนวลจันทร์, เขตลาดพร้าว, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,11/2/2023,13:27 น.,661,ใช้เวลา 1 วัน 13 ชม.
2022-78THWB,3/8/2022,11:59 น.,853,รอรับเรื่อง 852 วันที่แล้ว,เขตราษฎร์บูรณะ,เสาไฟฟ้า หน้าปากซอยสุขสวัสดิ์34 ชำรุดมานานมาก เนื่องจากรถบรรทุกชน,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, เขตราษฎร์บูรณะ, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,3/8/2022,14:23 น.,853,ใช้เวลา 2 ชม. 24 นาที
