ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-8Y6ZM4,2/12/2024,07:13 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,เรื่องการกองขยะและการจอดรถ โกดังเอาขยะมากองไว้หน้าโกดังสกปรกเลอะเทอะแล้วก็จอดรถกลางถนนขวางทางการเข้าออกของชาวบ้านแล้วก็ทำงานกันตั้งแต่ตี5ยกของขึ้นรถจนถึง7โมงกว่ามีทั้งเสียงพูดคุยและเสียงวางของซึ่งรบกวนการนอนทุกวันช่วยจัดการให้ด้วยนะคะ,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2/12/2024,11:53 น.,1,ใช้เวลา 4 ชม. 40 นาที
2024-HA6TPK,1/12/2024,17:38 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ทำไมถึงได้มีการให้จัดงานกันทุกปี ร้องเรียนตลอดทุกปี จัดงานแล้วก็เดือดร้อน ผู้ิอยู่อาศัย มีเครื่องเสียง มีดนตรี ตลอดมันไม่ควรให้มีการจัดงานแบบนี้นะ มันคือ แถบที่พักอาศัย แล้วจัด เป็น 10 วันมีดนตรีทุกวัน มันสมควรมั้ย มันต้องห้ามจัดแล้วไอ้ที่ตรงนี้ ดูแลประชาชนบ้าง,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,1/12/2024,22:01 น.,2,ใช้เวลา 4 ชม. 24 นาที
2024-93YV82,29/11/2024,21:26 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เนื่องจากมีสถานบันเทิงที่เป็น rooftop แบบ openair “เริงลลิล sky bar” เสียงดังรบกวนในยามวิกาล โดยเฉพาะศุกร์-เสาร์ ที่จะมีการเล่นดนตรีสด โดยที่รอบๆสถานบันเทิงนี้ในระยะต่ำกว่า 1 กม. เป็นวัดลานบุญ และคอนโดมิเนียมที่พักอาศัยหมู่ ทำให้ได้รับความเดือดร้อน ก่อนหน้าที่สถานบันเทิงนี้จะมาเปิดอยู่อย่างสงบมาตลอด,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,30/11/2024,07:22 น.,3,ใช้เวลา 9 ชม. 56 นาที
2024-4Q43GU,29/11/2024,10:54 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เสียงดัง รบกวนเวลานอนตั้งแต่ 22:00-02:00 รบกวนให้ทางร้านทำแนวกั้นเสียงเพื่อลดระดับของเสียงลง,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.จรเข้น้อย, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,30/11/2024,07:17 น.,3,ใช้เวลา 20 ชม. 23 นาที
2024-FR7AQE,4/9/2024,07:49 น.,90,รอรับเรื่อง 90 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,แจ้งซ้ำเรื่องเดิม,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,5/9/2024,14:55 น.,89,ใช้เวลา 1 วัน 7 ชม.
2023-FUEACT,7/1/2023,07:34 น.,696,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,รถขนขยะมาทิ้ง ส่งกลิ่นเหม็น ร่วงเกลื่อนถนน ไม่มีการจัดการที่ดีเลย,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:14 น.,696,ใช้เวลา 7 ชม. 40 นาที
2023-BQVMN2,6/1/2023,22:14 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องขยะกลิ่นเหม็นกับแมลงวันไม่ใช่เรื่องของตกหล่นบนถนนกับเรื่องฝุ่นละอองค่ะ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:15 น.,696,ใช้เวลา 17 ชม. 2 นาที
2023-NKTLBR,6/1/2023,22:04 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องกลิ่นขยะเหม็นและแมลงวันครับ ไม่ใช่เรื่องวัสดุตกหล่นบนถนนกับฝุ่นละออง,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:16 น.,696,ใช้เวลา 17 ชม. 12 นาที
2023-A3R7MN,6/1/2023,21:59 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องกลิ่นเหม็นและเป็นแหล่งที่อยู่อาศัยของสัตว์นำโรค ไม่ใช่เรื่องวัสดุตกหล่นบนถนนค่ะ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:18 น.,696,ใช้เวลา 17 ชม. 19 นาที
2023-HALML2,6/1/2023,21:35 น.,697,รอรับเรื่อง 696 วันที่แล้ว,เขตลาดกระบัง,แจ้งขยะส่งกลิ่นเหม็นและเป็นที่อยู่อาศัยของหนูและแมลงวันจำนวนมากครับ ก่อเกิดมลพิษบริเวณใกล้เคียงเป็นอันตรายกับเด็กเล็กครับ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,7/1/2023,15:19 น.,696,ใช้เวลา 17 ชม. 44 นาที
