ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-HFAP2N,2/12/2024,23:14 น.,1,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,กันรั้วออกมาเยอะมาก ออกมาจะกินครึ่งถนนแล้วทั้ง 2 ฝั่งบ้าน รบกวน จนท ให้ล่นไปนิดนึงคับ 🙏🏻,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:02 น.,0,ใช้เวลา 8 ชม. 48 นาที
2024-CKUTA9,2/12/2024,10:37 น.,1,รอรับเรื่อง 22 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,มีตายาย แก่คู่หนึ่ง อายุมากแล้ว ขับซาเล้ง ขนขยะ มานั่งทานอาหาร พร้อมดื่ม บนพื้นฟุตบาท ตามภาพ ทำเสียง สกปรก เลอะเทอะมาก เลยห้ามปราบ เพราะทิ้งขยะ สกปรก ตรงทางเท้า บ่อยครั้ง แต่ไม่เชื่อฟัง แถบพูดจาหยาบคาย ณ ซอยเชื่อมอินทามระ 51-49 ช่วงเวลา 5 โมงเย็นถึง 2 ทุ่ม บ่อยมากขอ 2 หน่วยงาน เทศกิจเขตดินแดงและตำรวจ สน สุทธิสาร ตรวจสอบดูแลด้วยครับ เพื่อความสะอาดและความสงบของผู้สัญจรในบริเวณดังกล่าว ขอบคุณมากครับ,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2/12/2024,13:29 น.,1,ใช้เวลา 2 ชม. 53 นาที
2024-NCV44M,2/12/2024,07:29 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ทำผิดซ้ำซาก ร้องเรียนทุกเดือนไม่แก้ไข จอดขวางทางโค้ง ถนนแคบเสี่ยงอันตราย สน.ที่รับผิดชอบแย่มาก,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,08:49 น.,1,ใช้เวลา 1 ชม. 20 นาที
2024-GBZP2Z,2/12/2024,03:01 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,วางสิ่งของกีดขวางบนถนนเพื่อกันที่จอดรถ,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,08:50 น.,1,ใช้เวลา 5 ชม. 49 นาที
2024-AZT68D,1/12/2024,11:38 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,มีรถ volvo จอดทิ้งไว้หลายวัน ปกติซอยนี้ห้ามจอดตลอดแนว,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,08:59 น.,1,ใช้เวลา 21 ชม. 21 นาที
2024-A3LQ96,29/11/2024,21:39 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตดินแดง แขวงดินแดง,มีการจอดรถมอเตอร์ไซค์กินพื้นที่ออกมาบริเวณด้านหน้าร้าน KFC ตรงถนนในซอยรัชดาภิเษก 3,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,30/11/2024,09:58 น.,3,ใช้เวลา 12 ชม. 19 นาที
2024-AMQCEZ,29/11/2024,08:53 น.,4,รอรับเรื่อง 4 วันที่แล้ว,เขตดินแดง,ร้านซ้อมมอไซค์ ปากซอย อินทามระ 20เนื่องจากมีการกระทำความผิดเกี่ยวกับจอกรถบนทางเท้าหลายครั้ง เจ้าหน้ามีการติดป้ายไว้กับรั่ว แต่ไม่เกิน 1 วัน ร้านซ่อมมอไซค์ก็พับรั่วเก็บตามภาพ,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,29/11/2024,09:07 น.,4,ใช้เวลา 14 นาที
2024-NMLUNK,29/11/2024,08:12 น.,4,รอรับเรื่อง 4 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,ตั้งร้านขายของรุกล้ำทางเดินริมถนน,"เขตดินแดง, ฝ่ายโยธา เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,29/11/2024,08:19 น.,4,ใช้เวลา 8 นาที
2024-4XEU4P,29/11/2024,08:10 น.,4,รอรับเรื่อง 4 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,ตั้งร้านขายของรุกล้ำทางเดินริมถนน,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,29/11/2024,08:20 น.,4,ใช้เวลา 11 นาที
2024-H38AUB,28/11/2024,18:55 น.,5,รอรับเรื่อง 4 วันที่แล้ว,เขตดินแดง แขวงดินแดง,วินมอเตอร์ไซต์โก่งราคา ไม่คิดราคาตามป้ายบอก,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",คุ้มครองผู้บริโภค,รอรับเรื่อง,29/11/2024,08:23 น.,4,ใช้เวลา 13 ชม. 28 นาที
