ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-MVDMF7,2/12/2024,21:05 น.,1,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ไฟถนนดับทั้งซอย,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,3/12/2024,08:53 น.,0,ใช้เวลา 11 ชม. 48 นาที
2024-HLDKB8,2/12/2024,18:01 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ฝาท่อชำรุด,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2/12/2024,19:44 น.,1,ใช้เวลา 1 ชม. 44 นาที
2024-3KHQGE,2/12/2024,17:17 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงพระโขนงเหนือ,เรื่องสร้างอาคารผิดแบบ ยังไม่ได้รับการแก้ไข และยังมีการซ่อมแซม ต่อเติม เพิ่มมาเป็นระยะ นับตั้งแต่แจ้งเรื่องครั้งแรก,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2/12/2024,19:43 น.,1,ใช้เวลา 2 ชม. 27 นาที
2024-MZHUTG,2/12/2024,17:10 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงพระโขนงเหนือ,เรื่องสร้างอาคารผิดแบบ ยังไม่ได้รับการแก้ไข และยังมีการซ่อมแซม ต่อเติม เพิ่มมาเป็นระยะ นับตั้งแต่แจ้งเรื่องครั้งแรก,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2/12/2024,19:43 น.,1,ใช้เวลา 2 ชม. 33 นาที
2024-F8QY2F,2/12/2024,17:03 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงพระโขนงเหนือ,เรื่องสร้างอาคารผิดแบบ ยังไม่ได้รับการแก้ไข และยังมีการซ่อมแซม ต่อเติม เพิ่มมาเป็นระยะ นับตั้งแต่แจ้งเรื่องครั้งแรก,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2/12/2024,19:43 น.,1,ใช้เวลา 2 ชม. 40 นาที
2024-88P8TT,2/12/2024,13:38 น.,1,รอรับเรื่อง 19 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ทางเท้าอันตราย เหล็กทิ่มออกมา,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2/12/2024,19:34 น.,1,ใช้เวลา 5 ชม. 56 นาที
2024-78FEVG,2/12/2024,00:34 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,มีคนปลูกเพิงบนลำรางสาธารณะที่ใช้ระบายน้ำ เป็นแผ่นดินสาธารณะ สำหรับส่วนรวม แจ้งเจ้าหน้าที่เขตแล้ว แต่เพิกเฉย,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2/12/2024,13:46 น.,1,ใช้เวลา 13 ชม. 13 นาที
2024-8FCHW9,1/12/2024,20:53 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตวัฒนา,ไฟส่องทางไฟกระพริบตลอด,"เขตวัฒนา, Bangkok Smart Lighting (สำนักการโยธา กทม.), ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2/12/2024,10:36 น.,1,ใช้เวลา 13 ชม. 44 นาที
2024-BK6MZH,1/12/2024,14:46 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ฝาท่อมีปัญหา มีแผ่นเหล็กมาปิดนานแล้ว ไม่ซ่อมซักที,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,1/12/2024,17:38 น.,2,ใช้เวลา 2 ชม. 52 นาที
2024-F2Z6TL,1/12/2024,13:11 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ถนนเป็นหลุมลึก มีน้ำขัง อันตรายต่อรถยนต์ คนแถวนั้นเอากรวยมาตั้งไว้ แต่ทำให้การจราไม่สะดวก รถติดมากตอนเช้า ถนน 2 เลนเหลือ เลนเดียว,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,1/12/2024,17:38 น.,2,ใช้เวลา 4 ชม. 27 นาที
