ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-MYFYP9,2/12/2024,07:05 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตปทุมวัน แขวงวังใหม่,สามล้อจอดขวางช่องทางเดินรถ,"สน.ปทุมวัน, เขตปทุมวัน, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ผิดกฎจราจร,เปิดเรื่องใหม่,2/12/2024,14:28 น.,1,ใช้เวลา 7 ชม. 24 นาที
2024-4Q43GU,29/11/2024,10:54 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เสียงดัง รบกวนเวลานอนตั้งแต่ 22:00-02:00 รบกวนให้ทางร้านทำแนวกั้นเสียงเพื่อลดระดับของเสียงลง,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.จรเข้น้อย, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,30/11/2024,07:17 น.,3,ใช้เวลา 20 ชม. 23 นาที
2024-6V3GQL,25/11/2024,15:34 น.,8,รอรับเรื่อง 7 วันที่แล้ว,เขตราชเทวี แขวงถนนพญาไท,พบเจอต่างดาวกระทำผิดฎกหมาย,"สน.พญาไท, เขตราชเทวี, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 1 (บก.น.1), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,3/12/2024,09:00 น.,0,ใช้เวลา 7 วัน 17 ชม.
2024-NBDLT9,31/10/2024,19:21 น.,33,รอรับเรื่อง 32 วันที่แล้ว,เขตบางกอกใหญ่,มีรถจอดบนถนนจรัญสนิทวงศ์ หน้าปากซอย 7/1 ร้านส้มตำผู้ชายขายหอย กรีดขว้างทางจราจร ตั้งแต่เวลา18.00 ทำให้รถติด กรีดขวางเลนซ้ายวิ่งไม่ได้,"สน.บางกอกใหญ่, เขตบางกอกใหญ่, สน.ท่าพระ, กองบังคับการตำรวจนครบาล 7 (บก.น.7), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2/12/2024,18:50 น.,1,ใช้เวลา 31 วัน 23 ชม.
2024-KZ37QL,17/10/2024,09:27 น.,47,รอรับเรื่อง 46 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,1/12/2024,11:16 น.,2,ใช้เวลา 45 วัน 1 ชม.
2024-B97KB8,17/10/2024,09:16 น.,47,รอรับเรื่อง 46 วันที่แล้ว,เขตบางบอน แขวงบางบอนเหนือ,ไม่แสดงรายละเอียด,"กรุงเทพโปร่งใส, สน.บางบอน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,1/12/2024,11:17 น.,2,ใช้เวลา 45 วัน 2 ชม.
2024-NZKKQQ,24/7/2024,12:40 น.,132,รอรับเรื่อง 131 วันที่แล้ว,เขตจตุจักร,ไม่แสดงรายละเอียด,"สน.พหลโยธิน, กรุงเทพโปร่งใส, กองบังคับการตำรวจนครบาล 2 (บก.น.2), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.)",ทุจริต,เปิดเรื่องใหม่,12/11/2024,11:10 น.,21,ใช้เวลา 110 วัน 22 ชม.
2024-K3BBZV,16/6/2024,09:19 น.,170,รอรับเรื่อง 169 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,วันทึ่ 16 มิถุนายน 2567 เวลา 9:18 น. รถสองแถว รถแท๊กซี่จอดขวางแช่ 1 เลนทำให้รถติด รบกวนเจ้าหน้าที่ตำรวจมากวดขันให้หนักกว่านี้,"สน.ท่าข้าม, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,17/6/2024,17:08 น.,169,ใช้เวลา 1 วัน 7 ชม.
2024-EFL6HU,11/6/2024,07:36 น.,175,รอรับเรื่อง 175 วันที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,แยกอนามัยงามเจริญ รถติดมากทั้งๆ ที่ไม่มีไฟจราจรหรืออุบัติเหตุ ไม่เคยเห็นตำรวจจราจรมาจัดการจราจรสักครั้ง,"สน.ท่าข้าม, เขตบางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,25/6/2024,12:16 น.,161,ใช้เวลา 14 วัน 4 ชม.
2024-MEPYYG,31/5/2024,07:34 น.,186,รอรับเรื่อง 186 วันที่แล้ว,เขตภาษีเจริญ แขวงบางด้วน,มีรถจอดกีดขวางทาง ทำให้รถขยะไม่สามารถผ่านเข้ามาเก็บขยะภายในซอยด้านในได้ครับ,"สน.ภาษีเจริญ, เขตภาษีเจริญ, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,รอรับเรื่อง,1/6/2024,09:34 น.,185,ใช้เวลา 1 วัน 2 ชม.
Z9JWF7,3/4/2024,13:25 น.,244,รอรับเรื่อง 243 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,10/4/2024,16:44 น.,237,ใช้เวลา 7 วัน 3 ชม.
BYW6UK,20/2/2024,09:29 น.,287,รอรับเรื่อง 286 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,ปัญหา: บริเวณถนนดังกล่าว ตั้งแต่แยกร่มเกล้าถึงลาดกระบัง ใกล้กับสถานีรถไฟฟ้าแอร์พอร์ต เรล ลิงก์ ลาดกระบัง พบเห็นมีการจราจรติดขัดหนาแน่น เนื่องจากถนนที่บริเวณดังกล่าวจะเชื่อมติดต่อกัน ผู้ร้องต้องการให้หาทางระบายรถออกจากมอเตอร์เวย์ที่จะมุ่งหน้าไปร่มเกล้า เพื่อแก้ไขปัญหาการจราจรติดขัดในช่วงเวลาเช้า-เย็นถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,10/5/2024,07:44 น.,207,ใช้เวลา 79 วัน 22 ชม.
