ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-42CR2B,3/12/2024,08:32 น.,0,รอรับเรื่อง 29 นาทีที่แล้ว,เขตคลองเตย,ฝุ่นPMหนามาก แจ้งแบบนี้ทุกปี ไหนการแก้ปัญหาระยะยาว,"สส.ผึ้ง พนิดา สมุทรปราการ เขต1, 1111 ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล, กรุงเทพมหานคร, เขตคลองเตย, สำนักสิ่งแวดล้อม กทม., เพื่อนชัชชาติ",ควันไฟ - ฝุ่นละออง,รอรับเรื่อง,3/12/2024,08:35 น.,0,ใช้เวลา 3 นาที
2024-N7H9U4,3/12/2024,08:30 น.,0,รอรับเรื่อง 32 นาทีที่แล้ว,เขตจตุจักร,การก่อสร้างในซอยคอนโด ไม่อำนวยความสะดวกให้คนที่อาศัยอยู่ในซอย พื้นถนนมีฝุ่น รวมถึงเศษเหล็กเกินออกมา ไม่ปิดกั้นรั้วในการก่อสร้าง เวลาผ่านไปค่อนข้างอันตราย บางครั้งมีสะเก็ดไฟจากการทำงานช่างก็ทำที่ข้างถนนเลย รวมถึงตอนนี้มีเศษฝุ่น ที่เกิดจากการก่อสร้างกระจายอยู่หน้าไซต์งาน ลอยเต็มเลย การก่อสร้างไม่ค่อยปลอดภ้ยต่อผู้ที่สัญจรค่ะ เป็นของสำนักงานดิจิตอล อยากให้ตรวจสอบหน่อยค่ะ,"เขตจตุจักร, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:30 น.,0,รอรับเรื่อง
2024-8DNPNN,3/12/2024,08:27 น.,0,รอรับเรื่อง 34 นาทีที่แล้ว,เขตราชเทวี แขวงมักกะสัน,ฝุ่น pm มาอีกแล้ว คุณภาพชีวิตดีๆอยุ่ที่ไหน,"เขตราชเทวี, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:27 น.,0,รอรับเรื่อง
2024-8N4CYR,3/12/2024,08:18 น.,0,รอรับเรื่อง 44 นาทีที่แล้ว,เขตบางบอน แขวงบางบอนใต้,มีการเผาในที่โล่งทำให้เกิดควันกระจายไปทั่ว,"เขตบางบอน, ฝ่ายเทศกิจ เขตบางบอน, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:23 น.,0,ใช้เวลา 6 นาที
2024-F74W4Z,3/12/2024,07:49 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ปัญหาจากกลิ่น ควันปิ้งย่าง,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,07:49 น.,0,รอรับเรื่อง
2024-KXMAND,3/12/2024,07:45 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ปัญหาจากกลิ่น ควันปิ้งย่าง,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,07:45 น.,0,รอรับเรื่อง
2024-ACULRP,2/12/2024,20:21 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,,เริ่มมีความเย็น ออกด้านหลังอาคาร เวลา 20.12 น.และมีกลิ่นสเปรย์กลบกลิ่นส้วม เวลา 19 น. และ 20.15 น.ต่างกรรม ต่างวาระจะแจ้งสายตรวจให้มาช่วยเก็บภาพ ขอจนท.ร้องทุกข์เพิ่มเติมของปี 2567 มีคนฝ่าฝืนในอาคาร มากกว่า 1 คน.,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 12 ชม. 9 นาที
2024-V7TPCY,2/12/2024,20:12 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,เผาใบไม้บ่อยมาก ได้รับผลกระทบทางอากาศ,"เขตคลองเตย, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2/12/2024,20:12 น.,1,รอรับเรื่อง
2024-98AXZL,2/12/2024,19:39 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ผู้รับเหมาที่ทำงานที่นี่ โดนร้องเรียนไปหลายรอบแล้วสามสี่วันนี้เริ่มทำงานกลางคืนอีก ของที่เอามาเท ฝังกลบ มีกลิ่นเห็น ช่วยมาดำเนินการด้วยเถอะครับ,"เขตลาดกระบัง, ฝ่ายโยธา เขตลาดกระบัง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2/12/2024,21:50 น.,1,ใช้เวลา 2 ชม. 11 นาที
2024-C7KYKV,2/12/2024,19:16 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,,ฝ่าฝืน ใช้ส่วนต่อเติม เปิดแอร์ ด้านหลัง ชั้นบนและชั้นล่าง.เวลา 17 น. มัความเย็นออกจากอาคาร. คาดว่า เปิดประตูในส่วนที่ต่อเติม และ ประตูหน้าชั้นล่าง.ระหว่างวันมีคนอยู่ในอาคาร เวลา 9 น.มีกลิ่นอาหาร เวลา 12 น.ใช้สเปรย์น้ำหอมกลบกลิ่น.ช่องเปิด และผ้าชำรุด ยังไม่แก้ไข,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 13 ชม. 13 นาที
