ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-L9ZX8G,22/1/2024,05:40 น.,316,รอรับเรื่อง 316 วันที่แล้ว,เขตดุสิต แขวงสี่แยกมหานาค,จริงๆอยากแจ้ง ขสมก. Gps รถเมล์ล่ม หรือเพี้ยน ตั้งแต่ ต้น มค.จนวันนี้ ดู application via bus ไม่ได้เลยค่ะ,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตดุสิต, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,19/2/2024,11:09 น.,288,ใช้เวลา 28 วัน 5 ชม.
2024-4ZRG8B,17/1/2024,13:29 น.,321,รอรับเรื่อง 320 วันที่แล้ว,เขตธนบุรี แขวงดาวคะนอง,รถเมล์ขับไม่เหมาะสมขับปาดแล้วพอบีบแตรเตือนมีการแสดงพฤติกรรมไม่เหมาะสมขับเอนไปมาทำเหมือนจะชน,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,18/1/2024,07:28 น.,320,ใช้เวลา 18 ชม.
2023-3TNHWX,17/12/2023,08:18 น.,352,รอรับเรื่อง 352 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2/2/2024,12:06 น.,305,ใช้เวลา 47 วัน 3 ชม.
2023-7FWHZY,17/11/2023,10:00 น.,382,รอรับเรื่อง 381 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,รถโดยสารเส้นเอกมัย มีน้อยมาก รอ20-30 นาทีคนก็อัดแน่น,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตวัฒนา, การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,24/11/2023,15:22 น.,375,ใช้เวลา 7 วัน 5 ชม.
AYBY4W,15/11/2023,11:47 น.,384,รอรับเรื่อง 383 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ปัญหา: อยากให้เพิ่มรถเมล์สาธารณะถนน: เลียบคลองทวีวัฒนาจุดสังเกต: วิ่งจาก ถนนเพชรเกษม ไป ถนนปิ่นเกล้านครชัยศรีเขต: ทวีวัฒนา#1555,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตทวีวัฒนา, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,24/11/2023,15:39 น.,375,ใช้เวลา 9 วัน 3 ชม.
2023-CV3B92,17/10/2023,15:23 น.,413,รอรับเรื่อง 412 วันที่แล้ว,เขตราชเทวี,ไม่วิ่งเลนซ้ายเพื่อรับผู้โดยสารเลย วิ่งเลน 4 แล้วจอดให้ผู้โดยสารไปขึ้นกลางถนน หากเกิดอุบัติเหตุ ใครรับผิดชอบ?,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,24/10/2023,13:03 น.,406,ใช้เวลา 6 วัน 21 ชม.
2023-KM3CUR,4/10/2023,20:06 น.,426,รอรับเรื่อง 425 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ,รถเมล์หลังคารั่วน้ำหยด หน้าต่างปิดไม่ได้ฝนสาด,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตราษฎร์บูรณะ, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,5/10/2023,11:05 น.,425,ใช้เวลา 14 ชม. 59 นาที
2023-72HTV4,18/9/2023,11:24 น.,442,รอรับเรื่อง 441 วันที่แล้ว,เขตพระนคร แขวงพระบรมมหาราชวัง,หนูทำของหายบนรถเมล์สาย3ค่ะ,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตพระนคร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ขยะ,รอรับเรื่อง,19/9/2023,10:34 น.,441,ใช้เวลา 23 ชม. 10 นาที
2022-AL6X3B,5/8/2022,17:27 น.,851,รอรับเรื่อง 850 วันที่แล้ว,เขตบางบอน,"1.รถเมล์สายเอกชัย 43,120 มาช้ามากเลยค่ะ มันวิ่งเป็นเวลา แต่นักเรียนก็อยากขึ้นรถเมล์ รอนานมากค่ะ รอมา1ชม.กว่าแล้วยังไม่มา ขากลับอ่ะค่ะ","สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), สำนักงานระบบขนส่ง สขส. สจส., เขตบางบอน, กรมการขนส่งทางบก, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,10/9/2022,13:24 น.,815,ใช้เวลา 35 วัน 19 ชม.
2022-KEXL3H,22/7/2022,13:54 น.,865,รอรับเรื่อง 864 วันที่แล้ว,เขตจตุจักร,รถขนส่งสาธารณะ,"เขตจตุจักร, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,23/7/2022,11:28 น.,864,ใช้เวลา 21 ชม. 34 นาที
2022-TNBP4Y,17/7/2022,07:30 น.,870,รอรับเรื่อง 870 วันที่แล้ว,เขตบางกะปิ,ร้องเรียนเรื่อง สายรถเมล์,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,26/7/2022,21:59 น.,861,ใช้เวลา 9 วัน 14 ชม.
