ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-42CR2B,3/12/2024,08:32 น.,0,รอรับเรื่อง 29 นาทีที่แล้ว,เขตคลองเตย,ฝุ่นPMหนามาก แจ้งแบบนี้ทุกปี ไหนการแก้ปัญหาระยะยาว,"สส.ผึ้ง พนิดา สมุทรปราการ เขต1, 1111 ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล, กรุงเทพมหานคร, เขตคลองเตย, สำนักสิ่งแวดล้อม กทม., เพื่อนชัชชาติ",ควันไฟ - ฝุ่นละออง,รอรับเรื่อง,3/12/2024,08:35 น.,0,ใช้เวลา 3 นาที
2024-N2Q6BL,3/12/2024,08:11 น.,0,รอรับเรื่อง 50 นาทีที่แล้ว,เขตคลองเตย,วันที่ 3/12/256707:50 น ถนนสุขุมวิทบริเวณตั้งแต่ซอย 3-ซอย 15 มีการจอดรถแท็กซี่ รถรับข้างส่วนบุคคลที่จับกลุ่มกัน กีดขวางการจราจรช่องซ้ายสุด ทุกวัน เป็นที่น่ารำคาญ,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:11 น.,0,รอรับเรื่อง
2024-BD3YD4,3/12/2024,07:40 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตคลองเตย,รถสามล้อจอดที่ห้ามจอดหน้าตลาดคลองเตยรถติดมาก ต้องจับปรับครับ,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,07:40 น.,0,รอรับเรื่อง
2024-6YECV4,3/12/2024,06:40 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงคลองเตย,ฟุตบาทพึ่งทำเสร็จใหม่ ก็มีบุคคลมักง่ายนำรถขึ้นมาจอดหลายวันแล้ว ไม่มีเจ้าหน้าที่มาดำเนินการ นานวันเจ้าจะมีมาจอดเพิ่มอีกนะครับ ท่านๆ กทม.,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,06:40 น.,0,รอรับเรื่อง
2024-GGKALE,3/12/2024,06:11 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตห้วยขวาง,ตรวจสอบไฟโคมเขียวบนทางเท้า ริมถนนสุขุมวิทด้วย ติดตั้งไม่ทันไร ไฟไม่ติดแล้ว ฝั่งห้างเทอมินอล21 (ทางออกMRTสุขุมวิท),"เขตคลองเตย, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,3/12/2024,06:11 น.,0,รอรับเรื่อง
2024-NRAMRT,2/12/2024,23:45 น.,1,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตคลองเตย,ป้ายจราจรและกล่องไฟถูกพ่นสีใช้การไม่ได้,"เขตคลองเตย, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2/12/2024,23:45 น.,1,รอรับเรื่อง
2024-N4R68W,2/12/2024,23:05 น.,1,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงคลองตัน,รถเข็นขายข้าวเหนียวมะม่วงขายบนทางเท้าหน้าโรงแรมมาริออท มาคีส์ กีดขวางคนเดินเท้าอย่างมาก ตั้งขายทุกวันๆจันทร์ก็ขายเทศกิจก็ไม่เคยมาดูไม่รู้มีอะไรปิดตาอยู่ถึงขายได้แจ้งถึง ผว.ชัชชาติช่วยสั่งการให้แก้ไขด้วย,"เขตคลองเตย, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2/12/2024,23:05 น.,1,รอรับเรื่อง
2024-KW7PQA,2/12/2024,21:18 น.,1,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงคลองเตย,จอดรถทางเท้า และ ในรถส่งกลิ่นเหม็นแรงมากเลยครับ จอดทั้งกลางวันและกลางคืน,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,21:18 น.,1,รอรับเรื่อง
2024-MY2KMR,2/12/2024,20:45 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,การขับขี่บนฟุตบาทของรถจักรยานยนต์ครับวันนี้ ผมเดินตั้งแต่แยกคลองเตย มาจนถึงจุดตัดสามแยกพระโขนง พบเจอรถจักรยานยนต์ขับขี่บนฟุตบาทที่เยอะๆ มี 3 ช่วงครับ1. ช่วงตรงข้าม รพ.เทพธาริน ไปจนถึงซอยที่เลี้ยวมาจากท้องฟ้าจำลอง2. ช่วงก่อนถึงเลี้ยวซ้ายเข้าซอยเพื่อไปออกที่เกทเวย์ เอกมัย3. เยอะที่สุด คือ ช่วงสุขุมวิท42 ไปจนถึงจุดตัดสามแยกพระโขนง ... ขี่กันประหนึ่งเป็นอีกเลนเลยครับอันนี้ คือ การขี่แบบปกติ ไม่รวมกรณีโชคไม่ดี มีการกระชากกระเป๋าบริเวณนี้ อยากให้ทางเจ้าหน้าที่ช่วยกันกวดขันมากกว่านี้ครับ เข้าใจนะครับ ว่า จราจรติดขัด แต่ผู้ใช้รถใช้ถนน ควรทำสิ่งที่ถูกต้องมากกว่าสิ่งที่ถูกใจครับ,"เขตคลองเตย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,20:45 น.,1,รอรับเรื่อง
2024-V7TPCY,2/12/2024,20:12 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,เผาใบไม้บ่อยมาก ได้รับผลกระทบทางอากาศ,"เขตคลองเตย, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2/12/2024,20:12 น.,1,รอรับเรื่อง
