ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-N7H9U4,3/12/2024,08:30 น.,0,รอรับเรื่อง 32 นาทีที่แล้ว,เขตจตุจักร,การก่อสร้างในซอยคอนโด ไม่อำนวยความสะดวกให้คนที่อาศัยอยู่ในซอย พื้นถนนมีฝุ่น รวมถึงเศษเหล็กเกินออกมา ไม่ปิดกั้นรั้วในการก่อสร้าง เวลาผ่านไปค่อนข้างอันตราย บางครั้งมีสะเก็ดไฟจากการทำงานช่างก็ทำที่ข้างถนนเลย รวมถึงตอนนี้มีเศษฝุ่น ที่เกิดจากการก่อสร้างกระจายอยู่หน้าไซต์งาน ลอยเต็มเลย การก่อสร้างไม่ค่อยปลอดภ้ยต่อผู้ที่สัญจรค่ะ เป็นของสำนักงานดิจิตอล อยากให้ตรวจสอบหน่อยค่ะ,"เขตจตุจักร, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:30 น.,0,รอรับเรื่อง
2024-GYM8GB,10/11/2024,18:28 น.,23,รอรับเรื่อง 22 วันที่แล้ว,เขตจตุจักร แขวงจตุจักร,สนามเด็กเล่น ในสวนรถไฟไม่มีไฟ,"กองการกีฬา สำนักวัฒนธรรม กีฬา และการท่องเที่ยว, สำนักสิ่งแวดล้อม กทม., ส่วนสวนสาธารณะ 1 สสณ. สสล., สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม, เขตจตุจักร, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,3/12/2024,07:50 น.,0,ใช้เวลา 22 วัน 13 ชม.
2023-3TNHWX,17/12/2023,08:18 น.,352,รอรับเรื่อง 352 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2/2/2024,12:06 น.,305,ใช้เวลา 47 วัน 3 ชม.
2023-FH8MKL,6/5/2023,12:49 น.,577,รอรับเรื่อง 576 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ทางฟุตบาทเสียหายไม่สามารถเดินได้,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,22/7/2023,13:18 น.,500,ใช้เวลา 77 วัน
JAE937,4/5/2023,13:22 น.,579,รอรับเรื่อง 578 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ปัญหา : สะพาน เนื่องจาก สะพานข้ามคลองส่งน้ำ สร้างไม่เสร็จสักที เกือบปีแล้ว ทำให้เหลือช่องทางเข้าซอยแค่ 1 เลน เหล็กที่ปูพื้นถนนไว้ ตรงหัวมุมมันเปิดขึ้น ถ้ายางรถไปกระแทก อาจจะทำให้ยางแตกได้ ทำให้ต้องเบี่ยงหลบเข้าเลนขวา แต่รถที่จะออกจากซอยก็ออกไม่ได้เหมือนกัน พยายามติดต่อกับฝ่ายโยธา แต่ไม่มีคนรับสายเลย ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหานี้ด้วยจุดเกิดเหตุ : (สถานที่สำคัญ / จุดสังเกต) บริเวณซอยวิภาวดีรังสิต 16ถนน : วิภาวดีรังสิตแขวง : จอมพล เขต : จตุจักร#1555,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,14/9/2023,20:43 น.,446,ใช้เวลา 133 วัน 7 ชม.
2023-9CMW4H,26/3/2023,21:16 น.,618,รอรับเรื่อง 617 วันที่แล้ว,เขตจตุจักร,หน้ากรมยุทธโยธาเเยกเกษตร 1ไฟถนนดับ3-4ดวง มาเป็นชาติเเล้วเเจ้งไป 3-4 รอบ ไม่มีการตอบกลับ 2.ฝาท่อเหล็ก กลางถนน ตรงเเยกเกษตร เป็นหลุมลงไปจะทะลุเเล้ว มอไซตกทีมีจุก อยุ่เเถวๆป้อมตำรวจจราจรเลย,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,1/4/2023,05:22 น.,612,ใช้เวลา 5 วัน 8 ชม.
2023-4KFHDR,9/3/2023,13:27 น.,635,รอรับเรื่อง 634 วันที่แล้ว,เขตจตุจักร แขวงจันทรเกษม,ปิดถนนทำรถไฟฟ้าหรือเพื่อหล่อปูน 1 เดือนยังไม่ทำไร แต่ทำรถติดทุกวัน,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,21/5/2023,08:16 น.,562,ใช้เวลา 72 วัน 18 ชม.
2022-KEXL3H,22/7/2022,13:54 น.,865,รอรับเรื่อง 864 วันที่แล้ว,เขตจตุจักร,รถขนส่งสาธารณะ,"เขตจตุจักร, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,23/7/2022,11:28 น.,864,ใช้เวลา 21 ชม. 34 นาที
2022-7R73FL,10/7/2022,12:30 น.,877,รอรับเรื่อง 876 วันที่แล้ว,เขตจตุจักร,1.สถานที่ตลาดนัดสวนจตุจักร รถจอดขวางหน้าร้านในวันอาทิตย์ไม่นำรถออกตามเวลาที่กำหนด ซึ่งเป็นวันให้รถจอดถึงเวลา 12.00น. ทำให้เป็นปัญหาและอุปสรรคต่อการทำมาค้าขายของแม่ค้า,"สำนักงานตลาดกรุงเทพมหานคร, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,28/8/2022,12:22 น.,828,ใช้เวลา 48 วัน 23 ชม.
2022-EDQ469,2/7/2022,10:43 น.,885,รอรับเรื่อง 884 วันที่แล้ว,เขตจตุจักร,บขส.999 หมอชิต รถไปตรังไม่แวะพัทลุงรอบ18.05,"บริษัท ขนส่ง จำกัด (บขส.), กรุงเทพมหานคร, เขตจตุจักร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,12/7/2022,07:05 น.,875,ใช้เวลา 9 วัน 20 ชม.
