ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-RC2VAL,3/12/2024,08:03 น.,0,รอรับเรื่อง 59 นาทีที่แล้ว,เขตจอมทอง แขวงบางค้อ,มาปิดถนนให้วุ่นวายทำไม รถติด*** ทำไมไม่จัดคนมาคอยดูคอบโบกรถ ไม่สนใจประชาชนเลยจริงๆ คุณชัชชาติไปไหน ไม่มาดูแลความเดือดร้อนของประชาชนบ้างอ่ะ เลือกเสร็จ ได้เสร็จก็หายเลยไหนบอกจะมาจัดการรถติดไง ไม่เคยจะทำได้ มีแต่สร้างปัญหาให้มันติดกว่าเกิม ****** สมัยหน้าอย่าได้หวังเลย ห่วยแบบนี้,"เขตจอมทอง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:03 น.,0,รอรับเรื่อง
2024-FNM7N7,3/12/2024,07:46 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตจอมทอง แขวงบางค้อ,รถยังคิดชะลอตัว เหลือ 2 เลน ช่วงเช้า ต้องขับเบี่ยงทางขวา หนี เสาจราจรล้มลุก เช่นทุกๆ วัน ครับ เสียพื้นผิวจราจร สำหรับระบายรถ ติดขัด ใน ชม เร่งด่วน ครับ,"เขตจอมทอง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,07:46 น.,0,รอรับเรื่อง
2024-8VV3DP,2/12/2024,20:25 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตจอมทอง แขวงบางมด,เสียงดังตลอดเวลา แม้ในเวลากลางคืน เหมือนเป็นโกดังใหม่มาเช่า ทำอะไรก็ไม่รู้ครับ,"เขตจอมทอง, ฝ่ายสิ่งแวดล้อมฯ เขตจอมทอง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,3/12/2024,06:35 น.,0,ใช้เวลา 10 ชม. 11 นาที
2023-LW6BUR,22/7/2023,22:11 น.,500,รอรับเรื่อง 499 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ไฟส่องตามทางตามคลองด้านหลังพุทธบูชา คลองลัดขี้เหล็กคลองบางมดอยากให้มีไฟส่องตามคลอง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตจอมทอง, เขตจอมทอง, การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,27/7/2023,23:47 น.,495,ใช้เวลา 5 วัน 1 ชม.
TERVH2,13/7/2023,13:20 น.,509,รอรับเรื่อง 508 วันที่แล้ว,เขตธนบุรี แขวงตลาดพลู,ปัญหา: มีวัชพืชขึ้นในคลองบริเวณหน้าบ้านเป็นจำนวนมาก ทำให้มีสัตว์เลื้อยคลาน สัตว์มีพิษเข้าบ้านประชาชน อยากให้เจ้าหน้าที่มาตัดวัชพืชในคลองออกบ้านเลขที่: 40/3ถนน: ราชพฤกษ์จุดสังเกต: เลยสถานีรถไฟฟ้าวุฒากาศฝั่งราชพฤกษ์ มาประมาณ 50 เมตร อยู่ซ้ายมือริมถนน บริเวณเสารถไฟฟ้าต้นที่ 352เขต: จอมทอง#1555,"เขตจอมทอง, กรมทางหลวงชนบท กระทรวงคมนาคม, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",น้ำท่วม,เปิดเรื่องใหม่,27/7/2023,11:02 น.,495,ใช้เวลา 13 วัน 21 ชม.
2023-MREP4G,26/6/2023,08:16 น.,526,รอรับเรื่อง 526 วันที่แล้ว,เขตจอมทอง แขวงจอมทอง,พิกัด ปลายทางถนนพระราม2 ตัดเข้าถนนสุขสวัสดิ์ ช่วงซอยสุขสวัสดิ์16 สังเกตุเวลาเดินทางตอนเช้า จะพบว่ารถเมล์ต้องเปลี่ยนเลนส์ 2-3 เลนส์ในรถยะเวลากระชั้นชิบ เพราะป้ายรถเมล์ รวมถึงรถโดยสารกระบะขนาดเล็กที่จอดรอรับลูกค้านานๆ ทำให้การจราจรติดขัดหากเลื่อนป้ายรถเมล์ออกไป จะช่วยเพิ่มระยะทางที่รถเมล์ต้องเปลี่ยนเลนส์ ลดการตัดแทรกของรถไปมาได้ไหมคะ,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตจอมทอง, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,20/7/2023,14:33 น.,502,ใช้เวลา 24 วัน 6 ชม.
2023-ENNTXN,18/6/2023,18:41 น.,534,รอรับเรื่อง 533 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงบางปะกอก,อยากให้คุณชัชชาติหรือทีมงานลงมาดูการก่อสร้างรถไฟฟ้าสายสีม่วงบริเวณแยกบางปะแก้ว ช่วงเข้าๆรถติดหนักมากบางวันยังไม่7โมงดีท้ายแถวยาวถึงเซ็นทรัลพระราม 2 แจ้งปัญไปกี่รอบแล้ว ทาง รหม.กับตำรวจจราจรไม่สามารถแก้ไขอะไรได้เลย,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจอมทอง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,19/6/2023,19:47 น.,533,ใช้เวลา 1 วัน 1 ชม.
2023-4QL8CN,18/1/2023,21:45 น.,685,รอรับเรื่อง 684 วันที่แล้ว,เขตจอมทอง,บริเวณดังกล่าวริมถนนเเละทางเท้ามีความสกปรกขยะเยอะไม่มีเจ้าหน้าที่กรสดขันความสะอาดเเละเจ้าหน้าที่รักษาความสะอาดมาทำประจำเนื่องจากพยเห็นขยะเยอะเกือบทุกวัน,"กรมทางหลวงชนบท กระทรวงคมนาคม, เขตจอมทอง, เพื่อนชัชชาติ, กรุงเทพมหานคร",น้ำท่วม,เปิดเรื่องใหม่,13/2/2023,10:33 น.,659,ใช้เวลา 25 วัน 12 ชม.
2022-NCPAYM,25/6/2022,21:52 น.,892,รอรับเรื่อง 891 วันที่แล้ว,เขตจอมทอง,"1. ปัญหาน้ำประปามีสีขุ่น กลิ่นเหม็น มีปัญหาท่อแตก ,การปิดน้ำบ่อยครั้ง ,น้ำไม่ไหล โดยไม่แจ้งให้ทราบล่วงหน้า และหลังจากน้ำกลับมาใ้ช้ได้ปกติ น้ำมีสีขุ่นเหลืองและน้ำตาล มีกลิ้นเหม็น คาดเดาไม่ได้ว่าจะเป็นในช่วงใดบ้าง **ปัญหานี้เกิดขึ้นบ่อยมาก มากกว่า1-2 ครั้งต่อหนึ่งสัปดาห์**รบกวนหน่วยงานที่เกี่ยวข้อง ช่วยแก้ปัญหาอย่างเร่งด่วนหน่อยค่ะ คนในซอยลำบากมากเลยค่ะ(ซอยพระรามที่ 2 38 หมู่บ้านวรกาลวิลเลจ)","สำนักการประปา, เพื่อนชัชชาติ, เขตจอมทอง, กรุงเทพมหานคร",ประปา,เปิดเรื่องใหม่,26/6/2022,08:27 น.,891,ใช้เวลา 10 ชม. 36 นาที
2022-779XNH,25/6/2022,18:42 น.,892,รอรับเรื่อง 891 วันที่แล้ว,เขตจอมทอง,ตั้งแต่มีช่างมาซ่อมท่อหน้าบ้านน้ำไหลช้ากว่าเดิมบางวันไม่ไหลเลย,"สำนักการประปา, เพื่อนชัชชาติ, เขตจอมทอง, กรุงเทพมหานคร",ประปา,เปิดเรื่องใหม่,26/6/2022,07:49 น.,891,ใช้เวลา 13 ชม. 7 นาที
