ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-HFAP2N,2/12/2024,23:14 น.,1,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,กันรั้วออกมาเยอะมาก ออกมาจะกินครึ่งถนนแล้วทั้ง 2 ฝั่งบ้าน รบกวน จนท ให้ล่นไปนิดนึงคับ 🙏🏻,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:02 น.,0,ใช้เวลา 8 ชม. 48 นาที
2024-39E2RB,2/12/2024,19:03 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตดินแดง,ไฟริมทางถนนเสีย,"เขตดินแดง, ฝ่ายโยธา เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,3/12/2024,08:02 น.,0,ใช้เวลา 12 ชม. 59 นาที
2024-CKUTA9,2/12/2024,10:37 น.,1,รอรับเรื่อง 22 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,มีตายาย แก่คู่หนึ่ง อายุมากแล้ว ขับซาเล้ง ขนขยะ มานั่งทานอาหาร พร้อมดื่ม บนพื้นฟุตบาท ตามภาพ ทำเสียง สกปรก เลอะเทอะมาก เลยห้ามปราบ เพราะทิ้งขยะ สกปรก ตรงทางเท้า บ่อยครั้ง แต่ไม่เชื่อฟัง แถบพูดจาหยาบคาย ณ ซอยเชื่อมอินทามระ 51-49 ช่วงเวลา 5 โมงเย็นถึง 2 ทุ่ม บ่อยมากขอ 2 หน่วยงาน เทศกิจเขตดินแดงและตำรวจ สน สุทธิสาร ตรวจสอบดูแลด้วยครับ เพื่อความสะอาดและความสงบของผู้สัญจรในบริเวณดังกล่าว ขอบคุณมากครับ,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2/12/2024,13:29 น.,1,ใช้เวลา 2 ชม. 53 นาที
2024-NCV44M,2/12/2024,07:29 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ทำผิดซ้ำซาก ร้องเรียนทุกเดือนไม่แก้ไข จอดขวางทางโค้ง ถนนแคบเสี่ยงอันตราย สน.ที่รับผิดชอบแย่มาก,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,08:49 น.,1,ใช้เวลา 1 ชม. 20 นาที
2024-GBZP2Z,2/12/2024,03:01 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,วางสิ่งของกีดขวางบนถนนเพื่อกันที่จอดรถ,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,08:50 น.,1,ใช้เวลา 5 ชม. 49 นาที
2024-AZT68D,1/12/2024,11:38 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,มีรถ volvo จอดทิ้งไว้หลายวัน ปกติซอยนี้ห้ามจอดตลอดแนว,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,08:59 น.,1,ใช้เวลา 21 ชม. 21 นาที
2024-A3LQ96,29/11/2024,21:39 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตดินแดง แขวงดินแดง,มีการจอดรถมอเตอร์ไซค์กินพื้นที่ออกมาบริเวณด้านหน้าร้าน KFC ตรงถนนในซอยรัชดาภิเษก 3,"เขตดินแดง, ฝ่ายเทศกิจ เขตดินแดง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,30/11/2024,09:58 น.,3,ใช้เวลา 12 ชม. 19 นาที
2024-84QNRP,29/11/2024,18:33 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ไฟส่องสว่างในซอยดับ,"เขตดินแดง, ฝ่ายโยธา เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,30/11/2024,10:49 น.,3,ใช้เวลา 16 ชม. 17 นาที
2024-D44FVM,29/11/2024,18:31 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ไฟส่องสว่างที่เสาไฟฟ้าดับ,"เขตดินแดง, ฝ่ายโยธา เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,30/11/2024,10:47 น.,3,ใช้เวลา 16 ชม. 17 นาที
2024-3LQ3E6,29/11/2024,13:46 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,ไฟดับครับ ดับตั้งแต่เข้ามาเปลี่ยนหลอดให้ใหม่ ตอนนี้ยังไม่ได้รับการแก้ไขเลยครับ,"เขตดินแดง, ฝ่ายโยธา เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,29/11/2024,14:19 น.,4,ใช้เวลา 33 นาที
