ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-AHFXVR,3/12/2024,06:50 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,ขอความอนุเคราะห์ซ่อมไฟส่องสว่าง บริเวณถนนฉิมพลี ข้างศูนย์ฮอนด้า จำนวน 4 ดวง ประกอบด้วย1. เสาเลขที่ ญ 2 เข้าจากถนนบรมฯประมาณ 20 เมตร 2. เสาไฟเลขที่ ญ 4/1 ถัดจากเลข ญ 2 มาประมาณ 100 เมตร ขวามือ หน้าบ้าน 2 saints 3. เสาไฟเลขที่ ญ 9 ใกล้สะพานข้ามคลองขุนจันทร์ ตรงข้ามสถานีสูบน้ำ4. เสาไฟเลขที่ ญ 13 เข้าจากถนนบรมฯ ก่อนออกถนนราขพฤกษ ประมาณ 20 เมตร หน้าอู่ซ่อมรถยนต์ ผู้แจ้ง โทร 0832628884,"เขตตลิ่งชัน, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,3/12/2024,06:50 น.,0,รอรับเรื่อง
CJVJ4T,26/1/2024,17:30 น.,312,รอรับเรื่อง 311 วันที่แล้ว,เขตตลิ่งชัน แขวงบางระมาด,ปัญหา: พบผู้ค้ารถเข็นขายของบริเวณบาทวิถีและผิวจราจรบริเวณทางเข้าหน้าปั๊มน้ำมันดังกล่าวช่วงเวลาประมาณ 05.00-12.00 น.กีดขวางรถที่จะเลี้ยวเข้ามาใช้บริการในปั้มน้ำมันแล้วเกรงว่าจะเกิดอุบัติเหตุด้วย และยังมีการทำให้บริเวณหน้าปั้มน้ำมันสกปรกโดยทิ้งเศษอาหารลงในท่อระบายน้ำทำให้ท่อตันจนเพื่อนบ้านร้องเรียนเขตมาที่ปั้มน้ำมันดังกล่าวซึ่งทางเขตก็เร่งให้จัดการแก้ไขจึงมาร้องเรียนที่นี่ ถนน: กาญจนาภิเษก จุดสังเกต: ปั้มน้ำมันเชลล์ตรงข้ามPaseoเขต: ตลิ่งชัน#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรมทางหลวงชนบท กระทรวงคมนาคม, ฝ่ายเทศกิจ เขตตลิ่งชัน, เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,22/8/2024,10:36 น.,103,ใช้เวลา 208 วัน 17 ชม.
2024-GX6QDR,21/1/2024,14:16 น.,317,รอรับเรื่อง 316 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,กำแพงสะพานขึ้นคราบดำสกปรกอยากให้มีการทาสีปรับปรุงให้ดีเรียบร้อยตามผอ ผู้ว่าชีชชาติ,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,7/2/2024,13:23 น.,300,ใช้เวลา 16 วัน 23 ชม.
2023-82XZXQ,15/3/2023,09:09 น.,629,รอรับเรื่อง 628 วันที่แล้ว,เขตตลิ่งชัน,ทางเท้าเเละขอบทางเท้าเเตก,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,18/4/2023,10:12 น.,595,ใช้เวลา 34 วัน 1 ชม.
2022-MYHYMD,13/6/2022,17:08 น.,904,รอรับเรื่อง 903 วันที่แล้ว,เขตตลิ่งชัน,มีน้ำล้นออกจากท่อระบาย ไปสู่ถนนเป็นเวลานานจนมีตะใคร้่ขึ้นทำให้ถนนลื่น,"ผอ.เขตตลิ่งชัน (นางชดาวรรณ), สำนักการระบายน้ำ กทม., ฝ่ายสิ่งแวดล้อมฯ เขตตลิ่งชัน, กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, เขตตลิ่งชัน, สำนักการโยธา กทม., พนักงานกวาด เขตตลิ่งชัน, กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต), ฝ่ายโยธา เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,4/10/2023,13:09 น.,426,ใช้เวลา 477 วัน 20 ชม.
2022-EEHHZT,11/6/2022,08:41 น.,906,รอรับเรื่อง 906 วันที่แล้ว,เขตตลิ่งชัน,มีแต่เสาไฟ ไม่มีไฟส่องสว่างบนสะพาน,"การทางพิเศษแห่งประเทศไทย, กรุงเทพมหานคร, เขตตลิ่งชัน, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,11/6/2022,08:41 น.,906,รอรับเรื่อง
2022-LTHTBH,11/6/2022,08:39 น.,906,รอรับเรื่อง 906 วันที่แล้ว,เขตตลิ่งชัน,ไฟถนนไม่มีมานานครับถนนเส้นเปลี่ยวมาก,"การทางพิเศษแห่งประเทศไทย, กรุงเทพมหานคร, เขตตลิ่งชัน, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,11/6/2022,08:39 น.,906,รอรับเรื่อง
2022-69BMZ2,9/6/2022,08:48 น.,908,รอรับเรื่อง 908 วันที่แล้ว,เขตตลิ่งชัน,รถเมล์สาย 511 ป้ายฟ้าวิ่งน้อยมากซึ่งเป็นสายสำคัญใช้ในการเดินทางเข้าใจกลางเมืองเพื่อไปทำงาน,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เขตตลิ่งชัน, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,9/6/2022,08:48 น.,908,รอรับเรื่อง
2022-CNUWNH,5/6/2022,21:06 น.,912,รอรับเรื่อง 911 วันที่แล้ว,เขตตลิ่งชัน,รถเมล์(เส้นเลือดฝอย) ไม่เพียงพอเป็นอย่างมาก ในพื้นที่สายใต้ใหม่ ตลิ่งชัน แทบไม่มีรถเมล์ ที่สามารถเชื่อมต่อไปยังเส้นทางรถไฟฟ้าใดๆได้เลย มีแต่ต้องนั่งรถเมล์2ต่อ หรือถ้าจะมีก็แต่สาย79 ซึ่งเชื่อมต่อรถไฟฟ้าMRT บริเวณสถานีบางขุนนนท์ แต่รถก็เหมือนจะมีน้อย นานๆที่จะเจอ ทั้งนี้ในอดีตเคยมีรถเมล์เชื่อมต่อระหว่างรถไฟฟ้า สถานีบางหว้า มายัง สายใต้ใหม่ ตลิ่งชัน แต่คนน่าจะน้อย ก็เลยโดนระงับไป ดังนั้นจึงอยากให้เพิ่มรอบรถเมล์ที่ต่อจากรถไฟฟ้ามายังสายใต้ใหม่ หรือเพิ่มรถเมล์เฉพาะที่เชื่อมเอาคนจากรถไฟฟ้ากลับสู่บ้านของพวกค้า,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เขตตลิ่งชัน, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,5/6/2022,21:06 น.,912,รอรับเรื่อง
2022-7WD9VF,1/6/2022,16:22 น.,916,รอรับเรื่อง 915 วันที่แล้ว,เขตตลิ่งชัน,บริเวณด่านเก็บค่าทางพิเศษตลิ่งชัน (ทางด่วนศรีรัช) มีกรวย barrier ตั้งมานานหลายปีแล้ว ไม่ได้รับการแก้ไขใด ๆ เกรงว่าจะเกิดอันตรายกับรถที่สิ่งทางนี้,"การทางพิเศษแห่งประเทศไทย, กรุงเทพมหานคร, เขตตลิ่งชัน, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,1/6/2022,16:22 น.,916,รอรับเรื่อง
