ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-8ETE6M,3/12/2024,08:59 น.,0,รอรับเรื่อง 3 นาทีที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,บริเวณหน้าเอื้ออาทรบางขุนเทียน2เห็นมีเพิงทำเป็นร้านค้าถาวรได้ยินว่าจ่ายให้กับเขตทุกเดือน และที่สำคัญคือตรงนั้นเป็นหัวแดงที่จ่ายน้ำดับเพลิงเวลาเกิดเหตุเพลิงไหม้จะทำยังไงค่ะและทำให้ดูไม่สะอาดตาไม่สะบายใจเพราะได้ยินทะเลาะกันบ่อยมั่วสุมทุกวันอยากให้ถอดถอนออกจะดีมากเลยค่ะช่วยมาดูบ้างก็นะค่ะอีกอย่างมีการขายหวยกล่องด้วยค่ะคือมองไปแล้วมันไม่ดีต่อชุมชนคนเอื้อค่ะไหนจะมั่วสุมไหนจะหวยบ้างวันก็เถียงกันด่ากันทะเลาะกันอยากให้เอาออกไปเลยยิ่งดีค่ะ,"เขตบางขุนเทียน, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,3/12/2024,08:59 น.,0,รอรับเรื่อง
2024-K3BBZV,16/6/2024,09:19 น.,170,รอรับเรื่อง 169 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,วันทึ่ 16 มิถุนายน 2567 เวลา 9:18 น. รถสองแถว รถแท๊กซี่จอดขวางแช่ 1 เลนทำให้รถติด รบกวนเจ้าหน้าที่ตำรวจมากวดขันให้หนักกว่านี้,"สน.ท่าข้าม, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,17/6/2024,17:08 น.,169,ใช้เวลา 1 วัน 7 ชม.
2024-EFL6HU,11/6/2024,07:36 น.,175,รอรับเรื่อง 175 วันที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,แยกอนามัยงามเจริญ รถติดมากทั้งๆ ที่ไม่มีไฟจราจรหรืออุบัติเหตุ ไม่เคยเห็นตำรวจจราจรมาจัดการจราจรสักครั้ง,"สน.ท่าข้าม, เขตบางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,25/6/2024,12:16 น.,161,ใช้เวลา 14 วัน 4 ชม.
Z9JWF7,3/4/2024,13:25 น.,244,รอรับเรื่อง 243 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,10/4/2024,16:44 น.,237,ใช้เวลา 7 วัน 3 ชม.
2023-MLCLV3,2/8/2023,10:52 น.,489,รอรับเรื่อง 488 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ฟุตบาททรุดตัว และเป็นบ่อยมากเป็นตรงนี้เสร็จก็ไปเป็นอีกที่,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,20/8/2023,21:22 น.,471,ใช้เวลา 18 วัน 10 ชม.
2023-L82XC6,5/5/2023,16:37 น.,578,รอรับเรื่อง 577 วันที่แล้ว,เขตบางขุนเทียน,แจ้งร้องเรียนพนักงานกรมทางหลวงคุณปาริฉัตรไม่ตอบกลับผลการเำเนินการตามที่ได้แจ้งค่ะ ขอร้องเรียนการปฎิบัติหน้าที่เรื่องคุณวาณิช ละเลยการปฎิบัติหน้าที่ค่ะ,"กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,3/7/2023,18:19 น.,519,ใช้เวลา 59 วัน 1 ชม.
2022-PC2AP8,18/10/2022,14:31 น.,777,รอรับเรื่อง 776 วันที่แล้ว,เขตบางขุนเทียน,"ขอร้องเรียน ที่ดินรกร้าง ""บริเวณติดหลัง ที่จอดรถเคอรรี่และโรงงานวีอาร์พลาสติก รวมถึงบ้านคน ในซอยบางกระดี่16"" โดยที่ดินรกร้างนี้ปล่อยปะละเลยที่ดิน เป็นเหตุให้เกิดไฟไหม้ในหลายครั้ง โดยมีการร้องเรียนเขตบางขุนเทียนไปหลายครั้งแล้วในหลายปีที่ผ่านมา จนปัจจุบันยังไม่มีอะไรเปลี่ยนแปลงใดๆ อยากให้เจ้าหน้าที่เขตบางขุนเทียน จัดการเรื่องนี้อย่างจริงจังค่ะ ต้องหารือกับเจ้าของที่ดินนี้โดยคำนึงถึงหน้าที่มากกว่าความเกรงใจได้แล้วค่ะ ว่าควรหาทางออกร่วมกันได้อย่างไร ที่ทำให้ผู้อื่นรอบบริเวณนี้ไม่เดือดร้อนแบบนี้ซ้ำแล้วซ้ำเล่า เพลิงไหม้ลักษณะนี้มีเกือบทุกปี บางปีหลายครั้ง เกือบทำให้ทรัพย์สินผู้อื่นเสียหายในแทบทุกครั้ง ทุกคนที่อยู่รอบที่ดินรกร้างนี้ต้องอยู่กับความหวาดระแวงลักษณะนี้มานานหลายปี ขอเจ้าหน้าที่เห็นใจและอย่าให้ต้องมีการบาดเจ็บ หรือถึงแก่ชีวิต หรือความสูญเสียใดๆ เพียงเพราะการละเลยในการดูแลที่ดินรกร้างของเจ้าของที่เลยค่ะ","สำนักป้องกันและบรรเทาสาธารณภัย กทม., เขตบางขุนเทียน, สำนักงานเขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,10/1/2023,09:39 น.,693,ใช้เวลา 81 วัน 21 ชม.
2022-DV733T,2/10/2022,18:16 น.,793,รอรับเรื่อง 792 วันที่แล้ว,เขตบางขุนเทียน,ถนนไม่มีเลนชัดเจน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต), ผอ.เขตบางขุนเทียน (นางภัสรา), การทางพิเศษแห่งประเทศไทย, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,22/11/2022,20:23 น.,742,ใช้เวลา 51 วัน 2 ชม.
2022-BPEWGU,15/7/2022,19:29 น.,872,รอรับเรื่อง 871 วันที่แล้ว,เขตบางขุนเทียน,ฟุตบาทหน้าเซ็นทรัลพระราม2 พื้นแย่มากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,15/8/2022,15:59 น.,841,ใช้เวลา 30 วัน 20 ชม.
2022-37BZR3,15/7/2022,18:18 น.,872,รอรับเรื่อง 871 วันที่แล้ว,เขตบางขุนเทียน,ต้นไม้และสายไฟพันกัน ตอนกลางคืนมืด,"เขตบางขุนเทียน, การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,ส่งต่อ,30/7/2024,15:51 น.,126,ใช้เวลา 745 วัน 21 ชม.
