ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-4QFZD8,3/12/2024,08:52 น.,0,รอรับเรื่อง 9 นาทีที่แล้ว,เขตบางนา แขวงบางนาใต้,ติดหนักมากเกินไปไม่มีตำรวจ สัญญาณจราจรเสีย,"เขตบางนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:52 น.,0,รอรับเรื่อง
2024-MXH8HV,3/12/2024,08:03 น.,0,รอรับเรื่อง 59 นาทีที่แล้ว,เขตบางนา,ช่วยมาจัดการการจราจรเส้นทางรถไฟสายปากน้ำเก่าด้วยครับเนื่องจากมีการก่อสร้างถนนไม่มีคนมาจัดการจราจรตั้งแต่แยกบางนาสรรพาวุธจนถึงคลองเตยครับ,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:03 น.,0,รอรับเรื่อง
2024-HMKUMU,3/12/2024,08:03 น.,0,รอรับเรื่อง 59 นาทีที่แล้ว,เขตบางนา แขวงบางนาใต้,ช่วยมาดูแยกสรรพาวุธ ตอนเข้าหน่อยค่าแจ้งไปหลายรอบหลายหน่วยงาน ไม่มีคนมาแก้ปัญหาเลย รถติดมากๆ วันละเป็นชั่วโมงอยู่ตรงแยกนี้ปกติรถใหญ่วิ่งตอนเข้าไม่ได้ พอทำทางแล้วไม่เห็นมีใครสนใจ วิ่งกันเยอะมาก แล้วพอไปไม่ได้ก็ขวางแยก รถทางอื่นก็ไปไท่ได้ ตร.มาเป็นวัน ๆ (เดือนละครั้ง) มาวันไหนรถก็ไม่ติดได้ 1 วัน ลองมาดูวันปกติได้ไหมคะไฟแดงมีบ้างไม่มีบ้าง ค่อนข้างสับสน,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:03 น.,0,รอรับเรื่อง
2024-KYD6LE,3/12/2024,06:52 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตบางนา แขวงบางนาเหนือ,ก่อสร้างอาคารผิดพระราชบัญญัติควบคุมอาคาร และก่อสร้างบนทางสาธารณะประโยชน์ เป็นการใช้ประโยชน์ส่วนบุคคลบนพื้นที่สาธารณะ,"เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,3/12/2024,06:52 น.,0,รอรับเรื่อง
2024-P6HT3F,2/12/2024,03:10 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา,แท่นปูนที่ไม่ได้ใช้แล้ว ขอให้รื้อถอนออก,"เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2/12/2024,03:10 น.,1,รอรับเรื่อง
2024-ELTEKC,2/12/2024,01:43 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา,ฝาท่อระบายน้ำชำรุด,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2/12/2024,06:32 น.,1,ใช้เวลา 4 ชม. 49 นาที
2024-BZUZBD,29/11/2024,22:50 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตพระโขนง,ฝาท่อชำรุดอันตราย,"เขตบางนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,29/11/2024,22:50 น.,4,รอรับเรื่อง
2024-BZVWNX,24/11/2024,08:34 น.,9,รอรับเรื่อง 9 วันที่แล้ว,เขตบางนา,ขายของริมถนน ปัญหาเกิดซ้ำๆ แม้จะมี จนท. เข้ามาชี้แจงกับพ่อค้าแล้ว โปรดมีมาตรการอื่นนอกจากการมาชี้แจง จะต้องเป็นภาระให้ประชาชนต้องแจ้งอีกกี่ครั้งกัน,"เขตบางนา, ฝ่ายเทศกิจ เขตบางนา, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,28/11/2024,06:36 น.,5,ใช้เวลา 3 วัน 22 ชม.
2024-73PR4F,21/11/2024,21:11 น.,12,รอรับเรื่อง 11 วันที่แล้ว,,น้ำท่วม ความสูงระดับหน้าแข้ง น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,"ฝ่ายโยธา เขตบางนา, เขตบางนา, ศูนย์ควบคุมระบบป้องกันน้ำท่วม กทม., พนักงานกวาด เขตบางนา, กรุงเทพมหานคร",น้ำท่วม,เปิดเรื่องใหม่,1/12/2024,23:37 น.,2,ใช้เวลา 10 วัน 2 ชม.
2024-FQG632,27/9/2024,19:44 น.,67,รอรับเรื่อง 66 วันที่แล้ว,เขตบางนา,ต้นไม้พื้นที่เอกชนย้อนขวางทางเดิน,"เขตบางนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,27/9/2024,19:44 น.,67,รอรับเรื่อง
2024-73UTY3,31/8/2024,20:35 น.,94,รอรับเรื่อง 93 วันที่แล้ว,เขตบางนา,ผมเคยแจ้งปัญหานี้ไปแล้วครั้งนึงว่ามีร้านอาหารบ้างร้านแอบมาตั้งโต๊ะให้ลูกค้านั่งตอนดึก ครั้งที่แล้วเหมือนจะกลัวเทศกิจลงเลยเลิกทำไปพักหนึ่งแต่ตอนนี้เลิกกลัวแล้ว (ไม่ใช่มีแค่ร้านก๋วยเตี๋ยวตรงปากซอยอุดมสุข 10 เท่านั้น แต่ร้านตรงปากซอยอุดมสุข 8 ก็ทำ),"เขตบางนา, ฝ่ายเทศกิจ เขตบางนา, กรุงเทพมหานคร",สถานบันเทิง,รอรับเรื่อง,3/11/2024,21:14 น.,30,ใช้เวลา 64 วัน
2024-3NMNPG,28/4/2024,19:11 น.,219,รอรับเรื่อง 218 วันที่แล้ว,เขตบางนา,ไฟฟ้าดับไฟส่องสว่างดับ 3 ดวงครับทั้งหน้าและหลังซอย,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,30/4/2024,13:03 น.,217,ใช้เวลา 1 วัน 17 ชม.
2024-68MBPN,27/4/2024,19:32 น.,220,รอรับเรื่อง 219 วันที่แล้ว,เขตบางนา,ไฟส่องสว่างทางเดินรถไม่ติดเป็นระยะประมาณ 300 เมตรได้ถนนมีแต่รถใหญ่วิ่งส่วนมาก ไฟก็ไม่ส่องสว่ทงอีกอันตรายมาก,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,30/4/2024,13:04 น.,217,ใช้เวลา 2 วัน 17 ชม.
7CY972,13/3/2023,12:35 น.,631,รอรับเรื่อง 630 วันที่แล้ว,เขตบางนา แขวงบางนา,ปัญหา: ไฟฟ้าดับตั้งแต่จุดเกิดเหตุ: เข้าไปในซอยอุดมสุข 24 ประมาณ 300 เมตร พอเจอสามแยกแล้วเลี้ยวขวา ประตูรั้วสีครีมบ้านเลขที่: 98ซอย: อุดมสุข 24ถนน: อุดมสุขเขต: บางนา#1555,"การไฟฟ้านครหลวง เขตบางนา, การไฟฟ้านครหลวง เขตบางใหญ่, ฝ่ายโยธา เขตบางนา, เขตบางนา, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,12/2/2024,19:05 น.,295,ใช้เวลา 336 วัน 6 ชม.
2023-BCMR2K,4/2/2023,19:32 น.,668,รอรับเรื่อง 667 วันที่แล้ว,เขตบางนา แขวงบางนา,ท่อของห้างขวางคนเดินเท้า,"เขตบางนา, กรมทางหลวง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,25/3/2023,10:40 น.,619,ใช้เวลา 48 วัน 15 ชม.
2022-6GFF4B,25/12/2022,15:42 น.,709,รอรับเรื่อง 708 วันที่แล้ว,เขตบางนา,หกล้มเป็นแผล ไม่ได้หาหมอ,"กรมทางหลวง, เขตบางนา, กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร), ผอ.เขตบางนา (นางประภัสสร), เพื่อนชัชชาติ, กรุงเทพมหานคร",ขอความช่วยเหลือ,เปิดเรื่องใหม่,27/1/2023,20:07 น.,676,ใช้เวลา 33 วัน 4 ชม.
2022-CAXBPE,21/11/2022,18:11 น.,743,รอรับเรื่อง 742 วันที่แล้ว,เขตบางนา,ฝาท่อระบายน้ำชำรุด,"เขตบางนา, กรมทางหลวง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,22/11/2022,10:19 น.,742,ใช้เวลา 16 ชม. 9 นาที
2022-CK2UPK,9/10/2022,10:53 น.,786,รอรับเรื่อง 785 วันที่แล้ว,เขตบางนา,ขอให้ติดกระจกสะท้อน เพราะเป็นทางโค้งมุมอับ คนเดินถนนมองไม่เห็นรถที่สวนเลนมา,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กระทรวงคมนาคม, การทางพิเศษแห่งประเทศไทย, เพื่อนชัชชาติ, กรุงเทพมหานคร",จุดเสี่ยง,เปิดเรื่องใหม่,18/10/2022,20:40 น.,777,ใช้เวลา 9 วัน 4 ชม.
