ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-83HN9G,3/12/2024,09:00 น.,0,รอรับเรื่อง 2 นาทีที่แล้ว,เขตบางรัก แขวงสีลม,มีผู้ป่วยไข้เลือดออกที่บ้านค่ะ ตอนนี้รักษาตังที่รพ.มาตั้งแต่วันพุธที่ 27 ตคค่ะ,"เขตบางรัก, กรุงเทพมหานคร",ขอความช่วยเหลือ,รอรับเรื่อง,3/12/2024,09:00 น.,0,รอรับเรื่อง
2024-4K84CD,3/12/2024,08:00 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,รถคนงาน รร ดุสิตธานี จอดที่ห้ามจอด ผิด กม ใกล้แยกสีลม รถติดมาก ตำรวจต้องจับ ได้แล้ว เดือดร้อน ปชช,"เขตบางรัก, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:00 น.,0,รอรับเรื่อง
2024-KPBX37,3/12/2024,07:54 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,การขายของบนทางเท้า,"เขตบางรัก, ฝ่ายเทศกิจ เขตบางรัก, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,3/12/2024,08:00 น.,0,ใช้เวลา 6 นาที
2024-3QMPWA,2/12/2024,21:14 น.,1,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตบางรัก แขวงสีลม,คนเร่ร่อนกลับมานอนที่เดิม วันที่ 2 ธันวาคม 67 เวลา 21.10 น,"เขตบางรัก, ฝ่ายพัฒนาชุมชนฯ เขตบางรัก, กรุงเทพมหานคร",คนเร่ร่อน,รอรับเรื่อง,2/12/2024,22:43 น.,1,ใช้เวลา 1 ชม. 29 นาที
2024-P4MAV6,2/12/2024,20:43 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตบางรัก แขวง​มหา​พฤ​ฒ​า​ราม,ทางเท้าใชัไม่ได้ คนต้องลงมาบนถนน เสี่ยงรถชน,"เขตบางรัก, ฝ่ายเทศกิจ เขตบางรัก, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2/12/2024,22:42 น.,1,ใช้เวลา 2 ชม.
2024-MFKUDL,29/11/2024,10:28 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตบางรัก แขวงสีลม,วันที่ 29 พย 67 เวลา 10.25 คนไร้บ้านกลับมานอนที่เดิม,"ฝ่ายพัฒนาชุมชนฯ เขตบางรัก, เขตบางรัก, กรุงเทพมหานคร",คนเร่ร่อน,เปิดเรื่องใหม่,2/12/2024,21:10 น.,1,ใช้เวลา 3 วัน 10 ชม.
2024-DKGVLU,23/11/2024,21:50 น.,10,รอรับเรื่อง 9 วันที่แล้ว,เขตบางรัก แขวงสีลม,มีคนไรบ้านมานอนใต้ทางด่วนทุกวันทั้งเช้า และ กลางคืน เดินไป มา,"ฝ่ายพัฒนาชุมชนฯ เขตบางรัก, เขตบางรัก, กรุงเทพมหานคร",คนเร่ร่อน,เปิดเรื่องใหม่,29/11/2024,10:26 น.,4,ใช้เวลา 5 วัน 12 ชม.
ELMYV7,29/4/2024,16:44 น.,218,รอรับเรื่อง 217 วันที่แล้ว,เขตบางรัก แขวงสีลม,ปัญหา: เดิมแจ้งเรื่อง ตลอดทั้งซอยดังกล่าว โดยเฉพาะหน้าร้าน Maison Dunand และหน้าร้าน Alpea พบสายสีดำ (ไม่ทราบประเภท) ห้อยพันกันไม่เป็นระเบียบ เป็นจำนวนมาก เกรงว่าอาจเกิดอันตรายได้อ้างอิงเลขที่รับแจ้ง DFVLTV ตรวจสอบจากระบบ ส่งต่อ เมื่อวันที่21 ม.ค. 67 เจ้าหน้าที่แจ้งว่า เขตบางรัก ส่งต่อไปยัง สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ (กสทช.)ปัจจุบันผู้ร้องแจ้งว่า ปัญหายังไม่ได้รับการแก้ไขแต่อย่างใด สายสื่อสารไม่เป็นระเบียบ ขอให้เร่งดำเนินการ เนื่องจากแจ้งเรื่องมานานแล้ว และบริเวณดังกล่าวมีนักท่องเที่ยวจำนวนมาก (ขอให้เจ้าหน้าที่ติดต่อกลับผู้ร้อง)ซอย: สาทร 10ถนน: สาทรเหนือเขต: บางรัก#1555,"เขตบางรัก, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,3/5/2024,18:28 น.,214,ใช้เวลา 4 วัน 1 ชม.
2024-7P4CYV,1/1/2024,11:01 น.,337,รอรับเรื่อง 336 วันที่แล้ว,เขตบางรัก,ขอเสนอให้ทำเหล็กเป็น ซีกๆ มาติดตั้งตรงเกาะข้ามถนนตรงสีลม ช่วงแถวสีลมซอย 4 ครับ.เนื่องจากตอนนี้กลายเป็นที่กลับรถของสามล้อ และมอเตอร์ไซด์ไปแล้วครับ,"กลุ่มงานวางแผนและออกแบบ 2, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตบางรัก, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2/12/2024,08:50 น.,1,ใช้เวลา 335 วัน 21 ชม.
2023-CTUL2F,31/7/2023,07:25 น.,491,รอรับเรื่อง 491 วันที่แล้ว,เขตบางรัก,รพ. เลิศสิน ยังไม่เปิดให้ลงทะเบียนเลย คนไข้รอเต็ม รพ. ตกลงว่า วันที่ 31 ก.ค รพ เปิดหรือไม่,"เขตบางรัก, สำนักการแพทย์ กทม., กระทรวงสาธารณสุข, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,10/8/2023,13:47 น.,481,ใช้เวลา 10 วัน 6 ชม.
