ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-LK2NZP,3/12/2024,08:54 น.,0,รอรับเรื่อง 7 นาทีที่แล้ว,เขตบางแค แขวงบางไผ่,กราบเรียน สำนักการโยธา ช่วยพิจารณา ติดตั้งกระจกนิรภัย ตรง3แยกนครลุง ซึ่งมีลักษณะเป็นตัววาย.มีรถสัญจรไปมาค่อนข้างเยอะทั้งเช้าและเย็นมีจุดอับหลายจุด..พื้นที่ เขต บางแค,"เขตบางแค, กรุงเทพมหานคร",อุบัติเหตุ,รอรับเรื่อง,3/12/2024,08:54 น.,0,รอรับเรื่อง
2024-BBKKKW,3/12/2024,08:40 น.,0,รอรับเรื่อง 21 นาทีที่แล้ว,เขตบางบอน,น้ำในคลองลำโครัท กลับมาเน่าเสีย ส่งกลิ่นเหม็นอีกแล้ว พร้อมทั้งมีคราบน้ำมันบนผิวน้ำลอยมาด้วยจ๊ะ และดำเหม็น,"เขตบางแค, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3/12/2024,08:40 น.,0,รอรับเรื่อง
2024-ANZ6XH,25/11/2024,08:20 น.,8,รอรับเรื่อง 8 วันที่แล้ว,เขตบางบอน แขวงบางบอนใต้,ถนนแถวบางแคไปกาญจนา นนทบุรีรถติดมากๆๆ มีซ่อมถนนช้ามาก รบกวนเร่งแก้ไข +รถบรรทุกวิ่งขวาทำให้รถติดมากขึ้นไปอีก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เขตบางบอน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,27/11/2024,09:51 น.,6,ใช้เวลา 2 วัน 1 ชม.
2024-9BUTAZ,21/9/2024,19:02 น.,73,รอรับเรื่อง 72 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ต้นไม้ยาวสูงหนาบดบังวิสัยทัศน์ในการขับรถบริเวณเกาะกลางถนนกาญนาวงแหวนใกล้กับเดอะมอลบางแค แนบรูป 19.00 21/9/67,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,22/9/2024,09:44 น.,72,ใช้เวลา 14 ชม. 42 นาที
2024-GWHDRT,20/9/2024,13:50 น.,74,รอรับเรื่อง 73 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ฟุตบาทแตกหัก เสี่ยงต่อการเกิดอุบัติเหตุทางเดินเท้า,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,8/10/2024,10:45 น.,56,ใช้เวลา 17 วัน 20 ชม.
2024-KLMF2G,20/9/2024,13:48 น.,74,รอรับเรื่อง 73 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ทางฟุตบาท แตกหัก บิ่น เสี่ยงต่อการเดินสะดุด หกล้ม,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,22/9/2024,09:45 น.,72,ใช้เวลา 1 วัน 19 ชม.
2024-HLZAR4,7/9/2024,06:44 น.,87,รอรับเรื่อง 87 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,9/9/2024,14:51 น.,85,ใช้เวลา 2 วัน 8 ชม.
2024-BFZEWW,7/9/2024,06:42 น.,87,รอรับเรื่อง 87 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,9/9/2024,14:51 น.,85,ใช้เวลา 2 วัน 8 ชม.
7LHKPD,22/8/2024,18:16 น.,103,รอรับเรื่อง 102 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: เรื่องเดิม บนสะพานลอยหน้าสถานีบริการน้ำมันคาลเท็กซ์ ถนนกาญจาภิเษก เลี้ยวจากเดอะมอลล์บางแค มุ่งหน้าไปถนนพระรามที่ 2 (เป็นสะพานลอยที่ยาวมาก) บริเวณนี้ค่อนข้างเปลี่ยว ไม่มีกล้องวงจรปิด CCTV เกรงว่าประชาชนสัญจรไปมาในเวลากลางคืนจะได้รับอันตราย อ้างอิงเลขที่รับแจ้ง MUVHXL เมื่อวันที่ 3 เม.ย. 67 เจ้าหน้าที่ตอบกลับมาว่า เขตบางแค ส่งต่อไปยัง แขวงทางหลวงธนบุรี กรมทางหลวงปัจจุบันผู้ร้องแจ้งว่า อยากให้ทาง กทม.เร่งดำเนินการติดกล้อง CCTV บริเวณดังกล่าวเพื่อสร้างความอุ่นใจให้กับประชาชนถนน: กาญจนาภิเษกจุดสังเกต: สะพานลอยดังกล่าวจะอยู่เยื้องกับหมู่บ้านสุขสันต์ 6เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,รอรับเรื่อง,23/8/2024,11:41 น.,102,ใช้เวลา 17 ชม. 26 นาที
2024-LK4RB8,20/8/2024,20:02 น.,105,รอรับเรื่อง 104 วันที่แล้ว,เขตบางแค แขวงหลักสอง,มีการเลาะหน้าถนนตั้งแต่วันเสาร์ 17/8/2567 จนถึงวันนี้ วันที่ 20/8/2567 แล้วยังไม่มีการดำเนินการติดไฟสัญญานเตือนหรือป้ายเตือนอันตราย ทำให้รถที่ลงคอสะพานมาด้วยความเร็วไม่ทันระวังเกิดอุบัติเหตุไปแล้วหลายคัน ก็ยังไม่มีการดำเนินการอะไรคืบหน้าเลย รบกวนแจ้งฝ่ายที่เกี่ยวข้องเร่งตรวจสอบให้หน่อยนะคะ อันตรายมากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,21/8/2024,08:59 น.,104,ใช้เวลา 12 ชม. 57 นาที
