ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-9LH7AX,3/12/2024,08:55 น.,0,รอรับเรื่อง 6 นาทีที่แล้ว,เขตปทุมวัน แขวงปทุมวัน,จอก,"เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3/12/2024,08:55 น.,0,รอรับเรื่อง
2024-KMR9GD,3/12/2024,08:55 น.,0,รอรับเรื่อง 7 นาทีที่แล้ว,เขตปทุมวัน,ร้านยา เอาท่อน้ำแอร์ปล่อยลงทางเท้า เปียกตลอดวัน ฝากดูเเลด้วยได้ไหมค่ะ,"เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,3/12/2024,08:55 น.,0,รอรับเรื่อง
2024-FNN2ZN,3/12/2024,08:55 น.,0,รอรับเรื่อง 7 นาทีที่แล้ว,เขตปทุมวัน,ขาย,"เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3/12/2024,08:55 น.,0,รอรับเรื่อง
2024-GT8HMD,3/12/2024,08:54 น.,0,รอรับเรื่อง 8 นาทีที่แล้ว,เขตปทุมวัน,ขาย,"เขตปทุมวัน, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3/12/2024,08:54 น.,0,รอรับเรื่อง
2024-9Q78TW,3/12/2024,08:53 น.,0,รอรับเรื่อง 8 นาทีที่แล้ว,เขตปทุมวัน แขวงลุมพินี,3/12/2567มีรถจอดกีดขวางการรับส่ง หน้าป้ายรถเมล์ เพนินซูล่า ถนนราชดำริ,"เขตปทุมวัน, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:53 น.,0,รอรับเรื่อง
2024-64AWQN,3/12/2024,08:24 น.,0,รอรับเรื่อง 38 นาทีที่แล้ว,เขตปทุมวัน แขวงลุมพินี,สะพานลอยมีคราบสกปรกและน้ำมันที่พื้นดำมาก ลิฟท์คนพิการขึ้นลงมีความสกปรกไม่สะอาด ตอนช่วงค่ำมีคนไร้บ้านอาศัยอยู่บนสะพานลอย รบกวนเขตปทุมวันดำเนินการ ฝ่ายเทศกิจตรวจสอบคนไร้บ้าน ฝ่ายรักษาความสะอาดตรวจสอบความสะอาดสะพานลอยขอบคุณ,"เขตปทุมวัน, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3/12/2024,08:24 น.,0,รอรับเรื่อง
2024-C3L8VX,2/12/2024,21:00 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตปทุมวัน,ไล่ป้าไปยัง สร้างมลพิษทางเสียง,"เขตปทุมวัน, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2/12/2024,21:00 น.,1,รอรับเรื่อง
2024-MYFYP9,2/12/2024,07:05 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตปทุมวัน แขวงวังใหม่,สามล้อจอดขวางช่องทางเดินรถ,"สน.ปทุมวัน, เขตปทุมวัน, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ผิดกฎจราจร,เปิดเรื่องใหม่,2/12/2024,14:28 น.,1,ใช้เวลา 7 ชม. 24 นาที
2024-9LL3FH,26/10/2024,10:56 น.,38,รอรับเรื่อง 37 วันที่แล้ว,เขตปทุมวัน แขวงวังใหม่,รถกะบะที่มีวงกลมแดงตรงประตู ขับรถจิดบนทางเท้าทุกเช้า 8:00-13:00 และทำฟุตบาทพัง คันนี้จ่ายส่วยให้เทศกิจเลยจอดได้,"ฝ่ายเทศกิจ เขตปทุมวัน, เขตปทุมวัน, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2/12/2024,18:29 น.,1,ใช้เวลา 37 วัน 7 ชม.
2024-DVA34Q,13/9/2024,07:49 น.,81,รอรับเรื่อง 81 วันที่แล้ว,เขตปทุมวัน,ขอให้ตรวจสอบ ขายดอกไม้ ล็อตเตอรี่,"ฝ่ายเทศกิจ เขตปทุมวัน, เขตปทุมวัน, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2/12/2024,20:37 น.,1,ใช้เวลา 80 วัน 12 ชม.
