ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
H7KEBF,24/10/2024,17:42 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,mu ทีมงานทดสอบแจ้ง#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,17:42 น.,40,รอรับเรื่อง
AW3W29,24/10/2024,17:38 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งไทย โดยทีงานฟ.#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,17:38 น.,40,รอรับเรื่อง
DUJ2AK,24/10/2024,17:35 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งภาษา Eng f.#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,17:35 น.,40,รอรับเรื่อง
6C4UX2,24/10/2024,17:25 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทีมงานขอทดสอบแจ้งภาษาไทย#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,17:25 น.,40,รอรับเรื่อง
3JC3PG,24/10/2024,17:16 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,Test report in english by f.#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,17:16 น.,40,รอรับเรื่อง
6J4CHP,24/10/2024,16:23 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งภาษาไทย โดยทีมงาน#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,16:23 น.,40,รอรับเรื่อง
4HKTYU,24/10/2024,15:12 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งโดยทีมงาน#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,15:12 น.,40,รอรับเรื่อง
YZXPEG,24/10/2024,14:53 น.,40,รอรับเรื่อง 39 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้ง#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,24/10/2024,14:53 น.,40,รอรับเรื่อง
PPC228,30/4/2023,13:44 น.,583,รอรับเรื่อง 582 วันที่แล้ว,เขตมีนบุรี,* ปัญหา: ประชาชนแจ้งว่ามีกลุ่มคนใช้พื้นที่ส่วนกลางระหว่างตึก A4และA5 ซุมที่ 1 ติดถนน รวมตัวดื่มสุรา ส่งเสียงดัง สร้างความเดือดร้อนแก้ผู้พักอาศัยบริเวณใกล้เคียง ทางนิติรับทราบแต่ไม่ดำเนินการใดๆอยากให้เจ้าหน้าที่เข้ามาตรวจสอบและแก้ไช* จุดเกิดเหตุ: ซื่อตรงคอนโด* ซอย: รามอินทรา 125 * เขต: มีนบุรี#1555,"สน.มีนบุรี, ร้องทุกข์ กทม. 1555, เขตมีนบุรี, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",เสียง,เปิดเรื่องใหม่,19/12/2023,14:15 น.,350,ใช้เวลา 233 วัน
2022-VHZLAW,18/10/2022,21:10 น.,777,รอรับเรื่อง 776 วันที่แล้ว,,ไฟส่องสว่างบนสะพานช้าม ยกสุวินทวงศ์ดับ,"เขตมีนบุรี, กรมทางหลวง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,20/10/2022,10:10 น.,775,ใช้เวลา 1 วัน 13 ชม.
