ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-8DNPNN,3/12/2024,08:27 น.,0,รอรับเรื่อง 34 นาทีที่แล้ว,เขตราชเทวี แขวงมักกะสัน,ฝุ่น pm มาอีกแล้ว คุณภาพชีวิตดีๆอยุ่ที่ไหน,"เขตราชเทวี, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:27 น.,0,รอรับเรื่อง
2024-6NB2Q6,3/12/2024,08:17 น.,0,รอรับเรื่อง 45 นาทีที่แล้ว,เขตห้วยขวาง แขวงมักกะสัน,มอเตอร์ไซค์ขับรถบนฟุตบาท,"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:17 น.,0,รอรับเรื่อง
2024-EMFXPD,3/12/2024,07:50 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงมักกะสัน,รถสาธารณะทำผิดกฎจราจร แทรกคอสะพาน,"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,07:50 น.,0,รอรับเรื่อง
2024-FKT9TC,3/12/2024,07:22 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตห้วยขวาง,ทำทางเท้าเลอะและรู้สึกไม่ปลอดภัย,"เขตราชเทวี, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3/12/2024,07:22 น.,0,รอรับเรื่อง
2024-938MG6,3/12/2024,07:21 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงมักกะสัน,นี่หรอคะสิ่งที่พวกคุณเรียกว่าสวยงามเอากระถางหินมาแขวนตามเส้นทาง ปูนแขวนปูนมันก็พังมันก็ทรุดสิคะทางเดินเอียงลงไปทุกวันทุกวันทำเสร็จแล้วก็ไม่ย้อนกลับมาดูบ้างค่ะ ว่ามันใช้ได้จริงไหมมันดีจริงไหมและไอ้ต้นไม้เนี่ยกระถางเนี่ยทำแล้วเคยกลับมาดูแลกันบ้างไหมคะเดินเรียบตามคลองแสนแสบไปเนี่ยรับได้เลยค่ะกระถางไหนที่ไม่มีขยะกระถางไหนที่ต้นไม้ไม่รุงรังไม่มีหรอกค่ะพิจารณาด้วยค่ะ เอางบประมาณส่วนนี้ทำไฟทำทางดีไหมคะ ชาวบ้านก็ได้ใช้ความปลอดภัยก็มากขึ้น กรุณา ใช้เงินภาษีของประชาชนอย่างคุ้มค่าด้วยค่ะ,"เขตราชเทวี, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,3/12/2024,07:21 น.,0,รอรับเรื่อง
2024-8ACQD9,3/12/2024,06:45 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,รถขนส่งสีขาวจิดกีดขวางจราจรเป็นเวลานาน ตั้งแต่เวลา 6.15-8.00 การให้รถชลอตัวเป็นอย่างมาก เส้นทางเหลือเลนเดียว,"เขตราชเทวี, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,06:45 น.,0,รอรับเรื่อง
2024-GDGG4H,3/12/2024,06:42 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงถนนเพชรบุรี,บริสพานหัวช้างต้นเสามีสีพ่นดูสกปรก,"เขตราชเทวี, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,3/12/2024,06:42 น.,0,รอรับเรื่อง
2024-DCHTLY,2/12/2024,23:06 น.,1,รอรับเรื่อง 9 ชั่วโมงที่แล้ว,เขตราชเทวี,แมวจรจัด,"เขตราชเทวี, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,2/12/2024,23:06 น.,1,รอรับเรื่อง
2024-9C7DX7,2/12/2024,22:22 น.,1,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงถนนพญาไท,เสียงดังจากการเจาะทำถนนยามวิกาล,"เขตราชเทวี, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2/12/2024,22:22 น.,1,รอรับเรื่อง
2024-6PGFP2,2/12/2024,22:08 น.,1,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ด้วยมีคนนำขยะจำนวนมากมาทิ้งบริเวณเกือบสุดซอยเพชรบุรั 5 ซี่งเป็นที่ดินของการรถไฟ ส่งกลิ่นเหม็น ได้แจ้ง 1555 กรุงเทพมหานคร(โดยสงวนสิทธิเผยแพร่ชื่อ)เพื่อประสานหน่วยงานที่เกี่ยวข้อง แก้ไขตามอำนาจหน้าที่ 1555 แจ้งว่า ดำเนินการแล้วแต่ดูแล้วไม่มีการเปลี่ยนแปลงอะไรทราบว่าแค่มีเจ้าหน้าที่ไม่ทราบหน่วยงานไหนมาดูและ1555 ยังแนะนำให้มาแจ้ง traffyfonduก็ไม่เข้าใจให้มาแจ้งอีกทำไม ทำไมไม่ประสานกันทั้งที่น่าจะเป็นหน่วยงานเดียวกันเรื่องง่ายทำไมทำให้ยาก สรุปหน่วยงานใดแก้ปัญหานี้ได้ก็โปรดดำเนินการก่อนที่ขยะจะมากไปกว่านี้ ทั้งนี้ขอสงวนสิทธิไม่เผยแพร่ชื่อหรือแสดงตัวในการแจ้งปัญหานี้ เพราะไม่ทราบผู้ใดนำขยะมาทิ้งเป็นผู้ใดอันอาจจะเป็นอันตรายได้เพราะขยะจำนวนที่นำมาทิ้งไม่น้อย,"เขตราชเทวี, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2/12/2024,22:08 น.,1,รอรับเรื่อง
