ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2023-KM3CUR,4/10/2023,20:06 น.,426,รอรับเรื่อง 425 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ,รถเมล์หลังคารั่วน้ำหยด หน้าต่างปิดไม่ได้ฝนสาด,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตราษฎร์บูรณะ, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,5/10/2023,11:05 น.,425,ใช้เวลา 14 ชม. 59 นาที
2023-6R4GFT,2/3/2023,05:20 น.,642,รอรับเรื่อง 642 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ,ไฟบนสะพานลอยหน้าบริษัททรูถนนสุขสวัสดิ์เสียเกือบหมด ติดแค่ดวงเดียว,"กรมทางหลวง, เขตราษฎร์บูรณะ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,17/5/2023,07:01 น.,566,ใช้เวลา 76 วัน 1 ชม.
2022-3H9B7K,10/11/2022,14:17 น.,754,รอรับเรื่อง 753 วันที่แล้ว,เขตราษฎร์บูรณะ,ฟุตบาทมันหยุบลงไป ทำให้คนเดินผ่านไปมาตกหลุม หัวกระแทกร้านชานม บางวันก็มีน้ำผุดขึ้นมาด้วย,"กรมทางหลวง, เขตราษฎร์บูรณะ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,23/11/2022,11:19 น.,741,ใช้เวลา 12 วัน 21 ชม.
2022-8KGCK9,15/8/2022,17:37 น.,841,รอรับเรื่อง 840 วันที่แล้ว,เขตราษฎร์บูรณะ,เอสดี เคหะภัณฑ์02 428 2313https://maps.app.goo.gl/38xhGH49ihVL1yGs8,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,15/8/2022,17:37 น.,841,รอรับเรื่อง
2022-ETW29T,14/8/2022,13:28 น.,842,รอรับเรื่อง 841 วันที่แล้ว,เขตราษฎร์บูรณะ,ทางม้าลายจางหายไป บริเวณถนนสุขสวัสดิ์ ทางเข้า-ออก สะพานภูมิพล,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,14/8/2022,13:28 น.,842,รอรับเรื่อง
2022-KDVRQQ,13/8/2022,06:03 น.,843,รอรับเรื่อง 843 วันที่แล้ว,เขตราษฎร์บูรณะ,รอบบริเวรฝาท่อชำรุด,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,13/8/2022,06:03 น.,843,รอรับเรื่อง
2022-74TT6K,13/8/2022,05:59 น.,843,รอรับเรื่อง 843 วันที่แล้ว,เขตราษฎร์บูรณะ,ถนนชำรุดหลายจุด,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,13/8/2022,05:59 น.,843,รอรับเรื่อง
2022-E6BQMR,11/8/2022,05:51 น.,845,รอรับเรื่อง 845 วันที่แล้ว,เขตราษฎร์บูรณะ,ถนนชำรุดหลายจุด,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,11/8/2022,05:51 น.,845,รอรับเรื่อง
2022-HDNYQM,8/8/2022,06:05 น.,848,รอรับเรื่อง 848 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอรายละเอียดที่ชัดเจนของเรื่องที่ต้องการแจ้ง 1 ข้อความ ด้วยครับ**งดเว้นการให้ข้อมูลส่วนตัว ทั้งผู้แจ้งและบุคคลที่สาม**,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,8/8/2022,06:05 น.,848,รอรับเรื่อง
2022-U3W8HA,4/8/2022,16:50 น.,852,รอรับเรื่อง 851 วันที่แล้ว,เขตราษฎร์บูรณะ,อยากให้กรุงเทพประสานงานกับกรมทางหลวง เพื่อติดตั้งสัญญาณไฟจราจรบริเวณจุดกลับรถบนถนนสุขสวัสดิ์(จุดกลับรถแรก) เนื่องจากที่ผู้คนใช้เป็นจำนวนมากและมีรถบรรทุกขนาดใหญ่เยอะ (เคยแจ้งกรุงเทพไปแล้วแต่เรื่องเงียบค่ะ),"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,4/8/2022,16:50 น.,852,รอรับเรื่อง
2022-DY3VXH,4/8/2022,11:10 น.,852,รอรับเรื่อง 851 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอรายละเอียดที่ชัดเจนของเรื่องที่ต้องการแจ้ง 1 ข้อความ ด้วยครับ**งดเว้นการให้ข้อมูลส่วนตัว ทั้งผู้แจ้งและบุคคลที่สาม**,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,4/8/2022,11:10 น.,852,รอรับเรื่อง
2022-6QEFZ3,4/8/2022,11:08 น.,852,รอรับเรื่อง 851 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอรายละเอียดที่ชัดเจนของเรื่องที่ต้องการแจ้ง 1 ข้อความ ด้วยครับ**งดเว้นการให้ข้อมูลส่วนตัว ทั้งผู้แจ้งและบุคคลที่สาม**,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,4/8/2022,11:08 น.,852,รอรับเรื่อง
2022-78THWB,3/8/2022,11:59 น.,853,รอรับเรื่อง 852 วันที่แล้ว,เขตราษฎร์บูรณะ,เสาไฟฟ้า หน้าปากซอยสุขสวัสดิ์34 ชำรุดมานานมาก เนื่องจากรถบรรทุกชน,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, เขตราษฎร์บูรณะ, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,3/8/2022,14:23 น.,853,ใช้เวลา 2 ชม. 24 นาที
2022-L7LM34,2/8/2022,20:22 น.,854,รอรับเรื่อง 853 วันที่แล้ว,เขตราษฎร์บูรณะ,ป้ายรถเมวัดสนไฟดับประมาณ 2 อาทิตย์ แล้วค่ะ วีคก่อนแจ้งแล้วก็เงียบ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2/8/2022,20:22 น.,854,รอรับเรื่อง
2022-44EA8Y,2/8/2022,19:56 น.,854,รอรับเรื่อง 853 วันที่แล้ว,เขตราษฎร์บูรณะ,ขอทางม้าลาย,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/8/2022,19:56 น.,854,รอรับเรื่อง
2022-FKXMEP,2/8/2022,15:17 น.,854,รอรับเรื่อง 853 วันที่แล้ว,เขตราษฎร์บูรณะ,ช่วยตรวจสอบให้หน่อย,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2/8/2022,15:17 น.,854,รอรับเรื่อง
