ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-LY3VZT,3/12/2024,08:10 น.,0,รอรับเรื่อง 51 นาทีที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,วันนี้ก็เหมือนเดิมทำงานตั้งแต่ตี5ขนของขึ้นรถเสียงดังไปบอกให้เบาหน่อยก็ยิ่งดังเหมือนแกล้งแถมเิารถจอดขวางถนนขึ้นของรถเข้าออกไม่ได้ขนาดมอเตอร์ไซด์ยังไปไม่ได้ไปบอกก็ว่ายังไม่เสร็จนี่มันถนนสาธารณะ นะ ไม่สนใจชักสีหน้าใส่จะต้องทนแบบนี้ตลอดไปหรอ,"เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,3/12/2024,08:10 น.,0,รอรับเรื่อง
2024-78MZC2,3/12/2024,07:55 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,รถ2แถวจอดแช่เลนเลี้ยวซ้ายเพื่อรอไปเขียวทางตรงเป็นประจำทำให้รถติดสะสมโดนไม่จำเป็น ทั้งที่ตร.จราจรก็อยู่ในป้อมแต่เพิกเชยไม่ตัดการกับปัญหา,"เขตลาดกระบัง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,07:55 น.,0,รอรับเรื่อง
2024-7THE4Q,2/12/2024,20:05 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,มีแผงลอยมาตั้งขายอาหาร และมีรถจอดซื้อช่วงเช้า ทำให้การจราจรติดขัด,"เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2/12/2024,21:47 น.,1,ใช้เวลา 1 ชม. 42 นาที
2024-98AXZL,2/12/2024,19:39 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ผู้รับเหมาที่ทำงานที่นี่ โดนร้องเรียนไปหลายรอบแล้วสามสี่วันนี้เริ่มทำงานกลางคืนอีก ของที่เอามาเท ฝังกลบ มีกลิ่นเห็น ช่วยมาดำเนินการด้วยเถอะครับ,"เขตลาดกระบัง, ฝ่ายโยธา เขตลาดกระบัง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2/12/2024,21:50 น.,1,ใช้เวลา 2 ชม. 11 นาที
2024-DGH4CM,2/12/2024,18:02 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงทับยาว,ฉันเห็นมีกิจการเปิดใหม่ ขึ้นป้ายเป็นตัวอักษรภาษาพม่าล้วน ไม่มีภาษาไทยเลย ใช้แอปแปลภาษาได้ประมานว่าปล่อยเงินกู้ให้กับชาวพม่า อยากให้หน่วยงานต่างๆ ที่เกี่ยวข้องเข้ามาตรวจสอบ สถานที่เป็นอาคารพาณิชย์ ก่อนถึงทางเข้า สถานีตำรวจจรเข้น้อย เขตลาดกระบัง อยู่คิดกับปั๊มน้ำมัน ปตท ถนนหลวงแพ่ง,"เขตลาดกระบัง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2/12/2024,18:02 น.,1,รอรับเรื่อง
2024-HB2CDZ,2/12/2024,15:39 น.,1,รอรับเรื่อง 17 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,มากันทางเท้าเหมือนเดิม,"เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2/12/2024,19:33 น.,1,ใช้เวลา 3 ชม. 54 นาที
2024-3ET9HY,2/12/2024,11:19 น.,1,รอรับเรื่อง 21 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงขุมทอง,ปลอกสายไฟชำรุด,"เขตลาดกระบัง, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2/12/2024,11:19 น.,1,รอรับเรื่อง
2024-8Y6ZM4,2/12/2024,07:13 น.,1,รอรับเรื่อง 1 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,เรื่องการกองขยะและการจอดรถ โกดังเอาขยะมากองไว้หน้าโกดังสกปรกเลอะเทอะแล้วก็จอดรถกลางถนนขวางทางการเข้าออกของชาวบ้านแล้วก็ทำงานกันตั้งแต่ตี5ยกของขึ้นรถจนถึง7โมงกว่ามีทั้งเสียงพูดคุยและเสียงวางของซึ่งรบกวนการนอนทุกวันช่วยจัดการให้ด้วยนะคะ,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2/12/2024,11:53 น.,1,ใช้เวลา 4 ชม. 40 นาที
2024-HA6TPK,1/12/2024,17:38 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ทำไมถึงได้มีการให้จัดงานกันทุกปี ร้องเรียนตลอดทุกปี จัดงานแล้วก็เดือดร้อน ผู้ิอยู่อาศัย มีเครื่องเสียง มีดนตรี ตลอดมันไม่ควรให้มีการจัดงานแบบนี้นะ มันคือ แถบที่พักอาศัย แล้วจัด เป็น 10 วันมีดนตรีทุกวัน มันสมควรมั้ย มันต้องห้ามจัดแล้วไอ้ที่ตรงนี้ ดูแลประชาชนบ้าง,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,1/12/2024,22:01 น.,2,ใช้เวลา 4 ชม. 24 นาที
2024-93YV82,29/11/2024,21:26 น.,4,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เนื่องจากมีสถานบันเทิงที่เป็น rooftop แบบ openair “เริงลลิล sky bar” เสียงดังรบกวนในยามวิกาล โดยเฉพาะศุกร์-เสาร์ ที่จะมีการเล่นดนตรีสด โดยที่รอบๆสถานบันเทิงนี้ในระยะต่ำกว่า 1 กม. เป็นวัดลานบุญ และคอนโดมิเนียมที่พักอาศัยหมู่ ทำให้ได้รับความเดือดร้อน ก่อนหน้าที่สถานบันเทิงนี้จะมาเปิดอยู่อย่างสงบมาตลอด,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,30/11/2024,07:22 น.,3,ใช้เวลา 9 ชม. 56 นาที
