ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-84VENV,3/12/2024,07:22 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงวังทองหลาง,สร้างทางขึ้นจอดรถลุกล้ำถนนในซอย กีดขวางเส้นทางระบายน้ำของท่อสาธารณะ,"เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,07:22 น.,0,รอรับเรื่อง
2024-6DCFBP,2/12/2024,22:58 น.,1,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,อยากให้ทางหน่วยงานที่เกี่ยวข้อง แก้ไข เทยางมะตอยทำตั้งแต่ปากซอย 87 แยก 2 จนถึงปากซอยทางเข้าซอยลาดพร้าว 87 ให้ถนนเรียบกว่านี้ บางจุดมีการปะ แต่ก็กลับมาขรุขระยิ่งกว่าเดิม ยิ่งหน้าโรงเรียนอนุบาล ปะแล้วปะอีกก็ขรุขระกว่าเดิม เวลาทำถนนเสร็จแล้ว ทางหน่วยงานที่เกี่ยวข้อง เคยมีกลับมาตรวจสอบดูอีกครั้งมั้ยคะว่าถนนเป็นอย่างไรบ้าง อยากให้ทำตั้งแต่ปากซอย 87 แยก 2 จนถึงปากซอยทางเข้าซอยลาดพร้าว 87 ถ้าไม่ทำถนนให้เรียบเท่ากันทั้งหมดก็ควรทำการแก้ไข ปรับปรุงให้ถนน ดีกว่าที่เป็นอยู่ค่ะ,"เขตวังทองหลาง, ฝ่ายโยธา เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:38 น.,0,ใช้เวลา 9 ชม. 40 นาที
2024-NUW6A7,2/12/2024,20:12 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,ร้านข้าวขาหมู ข้าวราดแกง ตรงข้ามสนง.เขตวังทองหลาง เจ้าของร้านเป็นต่างด้าวกัมพูชา ครับ,"เขตวังทองหลาง, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2/12/2024,20:12 น.,1,รอรับเรื่อง
2024-UHR4YT,2/12/2024,17:20 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,ขี่มอเตอร์ไซค์บนทางเท้าทะเบียน : ฬลธ 454 กรุงเทพมหานคร วันที่ : 29/11/67เวลา : 7.46 น.ที่ : ซ.ลาดพร้าว 102-110,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:39 น.,0,ใช้เวลา 15 ชม. 20 นาที
2024-FYHHUP,2/12/2024,17:18 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,ขี่มอเตอร์ไซค์บนทางเท้าทะเบียน : 9กธ 5104 กรุงเทพมหานคร วันที่ : 29/11/67เวลา : 7.42 น.ที่ : ซ.ลาดพร้าว 108-112,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:39 น.,0,ใช้เวลา 15 ชม. 22 นาที
2024-4ET6KG,2/12/2024,17:15 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,ขี่มอเตอร์ไซค์บนทางเท้าทะเบียน : 8ขธ 1637 กรุงเทพมหานคร วันที่ : 28/11/67เวลา : 20.27 น.ที่ : ซ.ลาดพร้าว 108-112,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:40 น.,0,ใช้เวลา 15 ชม. 26 นาที
2024-KZ3PWA,2/12/2024,16:41 น.,1,รอรับเรื่อง 16 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,บ้านเลขที่ 246 เปิดเพลงเสียงดังทุกวัน ช่วงเวลา 16.30-20.30 แจ้งเจ้าหน้าที่ไปหลายรอบแล้วแต่แก้ปัญหาไม่สำเร็จ,"เขตวังทองหลาง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2/12/2024,16:41 น.,1,รอรับเรื่อง
2024-8BZGCV,2/12/2024,15:50 น.,1,รอรับเรื่อง 17 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,ขี่รถบนทางเท้าซอยลาดพร้าว101 วันที่2/12/2567 เวลา 13.41น,"เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2/12/2024,15:50 น.,1,รอรับเรื่อง
2024-GBKGF2,2/12/2024,14:09 น.,1,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตวังทองหลาง,พื้นที่ 3 จุด มุม ของทางแยกตรงนี้น่าจะก่อกำแพงเกินจากแนวกำแพงเดิมยื่นออกมา ทำให้รถเลี้ยวสันจรยาก,"เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,14:09 น.,1,รอรับเรื่อง
2024-NPGXYF,2/12/2024,14:07 น.,1,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,พื้นที่ 3 จุด มุม ของทางแยกตรงนี้น่าจะก่อกำแพงเกินจากแนวกำแพงเดิมยื่นออกมา ทำให้รถเลี้ยวสันจรยาก,"เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,14:07 น.,1,รอรับเรื่อง
2024-9NLX8T,2/12/2024,14:04 น.,1,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,พื้นที่ 3 จุด มุม ของทางแยกตรงนี้น่าจะก่อกำแพงเกินจากแนวกำแพงเดิมยื่นออกมา ทำให้รถเลี้ยวสันจรยาก,"เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,14:04 น.,1,รอรับเรื่อง
2024-KZ9RZA,2/12/2024,14:02 น.,1,รอรับเรื่อง 19 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,พื้นที่ 3 จุด มุม ของทางแยกตรงนี้น่าจะก่อกำแพงเกินจากแนวกำแพงเดิมยื่นออกมา ทำให้รถเลี้ยวสันจรยาก,"เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,14:02 น.,1,รอรับเรื่อง
2024-DXL6HT,1/12/2024,18:30 น.,2,รอรับเรื่อง 1 วันที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,อาคารร้างเริ่มมีการพังเศษปูนร่วงลงมา อาจเป็นอันตรายกับคนที่สัญจรไปมานี่ไม่ใช่ครั้งแรกครับ ครั้งที่3 แล้ว,"เขตวังทองหลาง, ฝ่ายโยธา เขตวังทองหลาง, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,1/12/2024,20:59 น.,2,ใช้เวลา 2 ชม. 30 นาที
2024-NPMDEU,20/11/2024,10:05 น.,13,รอรับเรื่อง 12 วันที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,ปัญหารุกล้ำทางเท้า,"ฝ่ายเทศกิจ เขตวังทองหลาง, เขตวังทองหลาง, ฝ่ายโยธา เขตวังทองหลาง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,30/11/2024,15:13 น.,3,ใช้เวลา 10 วัน 5 ชม.
2022-CN7KNC,13/6/2022,16:12 น.,904,รอรับเรื่อง 903 วันที่แล้ว,เขตวังทองหลาง,สายไฟรุงรัง บริเวณริมถนนใหญ่ ติดสะพานลอย ซอยลาดพร้าว 87 ค่ะ,"CAT TELECOM (Official), เขตวังทองหลาง, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,13/6/2022,16:12 น.,904,รอรับเรื่อง
2022-GUL2ZH,12/6/2022,16:27 น.,905,รอรับเรื่อง 904 วันที่แล้ว,เขตวังทองหลาง,ฝาท่อ TOT ชำรุด,"เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตวังทองหลาง,",ทางเท้า,รอรับเรื่อง,12/6/2022,16:27 น.,905,รอรับเรื่อง
2022-PCVZD8,11/6/2022,17:50 น.,906,รอรับเรื่อง 905 วันที่แล้ว,เขตวังทองหลาง,สายไฟระโยงระยางเป็นอันตรายกับคนเดินผ่าน บริเวณปากซอยโชคชัย 4 ซอย 2,"CAT TELECOM (Official), เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตวังทองหลาง",อื่นๆ,รอรับเรื่อง,11/6/2022,17:50 น.,906,รอรับเรื่อง
2022-MX7LDL,10/6/2022,20:40 น.,907,รอรับเรื่อง 906 วันที่แล้ว,เขตวังทองหลาง,ขอแจ้งเรื่องปัญหาสายไฟฟ้าหรือสายโทรศัพท์ในหมู่บ้านค่ะเพราะว่ามันห้อยต่ำลงทุกปีทุกปีเคยแจ้งเขาไปไฟฟ้า ไฟฟ้าก็บอกเป็นของโทรศัพท์พอแจ้งทางโทรศัพท์ก็บอกของไฟฟ้าเลยไม่มีหน่วยงานอื่นใดเข้ามาดูทั้งสิ้น ผ่านไปหลายปีจนเรากลัวอันตรายว่ามันมาพันเกี่ยวกับต้นไม้ก็เลยอยากร้องเรียนให้ช่วยส่งเจ้าหน้าที่มาดูให้หน่อยค่ะ,"CAT TELECOM (Official), เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตวังทองหลาง",อื่นๆ,รอรับเรื่อง,10/6/2022,20:40 น.,907,รอรับเรื่อง
