ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-3Y9EAL,3/12/2024,08:51 น.,0,รอรับเรื่อง 10 นาทีที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,รถแท็กซี่สาธารณะจอดรถที่บริเวณป้ายรถเมล์ ข้าง ป้อม สน.ประเวศ ทุกวัน,"เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:51 น.,0,รอรับเรื่อง
2024-897BXQ,3/12/2024,08:20 น.,0,รอรับเรื่อง 41 นาทีที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,รถบรรทุกวิ่งฝ่าเวลา,"เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:20 น.,0,รอรับเรื่อง
2024-8ACGV4,3/12/2024,08:04 น.,0,รอรับเรื่อง 57 นาทีที่แล้ว,,รถจอดกีดขวางการจราจร,"เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,08:04 น.,0,รอรับเรื่อง
2024-F74W4Z,3/12/2024,07:49 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ปัญหาจากกลิ่น ควันปิ้งย่าง,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,07:49 น.,0,รอรับเรื่อง
2024-KXMAND,3/12/2024,07:45 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ปัญหาจากกลิ่น ควันปิ้งย่าง,"เขตสวนหลวง, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,07:45 น.,0,รอรับเรื่อง
2024-ELE9M4,3/12/2024,07:10 น.,0,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,"รถจักรยานยนต์ขี่สวนเลนบริเวณนี้เป็นเรื่องปกติ ตั้งแต่ตรงสามแยกที่ตัดไปหลังราม ย้อนไปฝั่งพัฒนาการ 26, 28, …ป้อมตำรวจจราจรตั้งอยู่ตรงสามแยกแต่ไม่เคยเห็นทำอะไรเลยอันตรายครับ","เขตสวนหลวง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,3/12/2024,07:10 น.,0,รอรับเรื่อง
2024-KCFUCG,2/12/2024,22:11 น.,1,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,,ผมแจ้งไปเนินนานแล้ว ทำไมยังไม่มีการแก้ไขไดๆเลยครับ อยากให้เร่งติดตั้งเสาล้มลุกและเลนบ๊อก จุดนี่ทำให้รถชลอตัวและรถติดยาวไปถึงแยกกรุงเทพกีฬา (ฝั่งมุ่งหน้าซีค้อน),"เขตสวนหลวง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,22:11 น.,1,รอรับเรื่อง
2024-EWNF9A,2/12/2024,18:27 น.,1,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,รถบรรทุกหินก่อสร้างตะแคงข้างมา 2 วันแล้วยังไมมาเก็บกู้เพราะมันกีดขวางการจราจร,"เขตสวนหลวง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2/12/2024,18:27 น.,1,รอรับเรื่อง
2024-4GB9NE,2/12/2024,17:46 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ผักตบชวาเต็มลำลางน้ำที่จะไหลลงคลอง ปกติจะมีเจ้าหน้าที่มาประจำ แต่ปีนี้ไม่มีเลยช่วยแจ้งหน่วยงานเข้ามาจัดกการทีค่ะ,"เขตสวนหลวง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2/12/2024,17:46 น.,1,รอรับเรื่อง
2024-3C4GKB,2/12/2024,16:19 น.,1,รอรับเรื่อง 16 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ฟุตบาทไม่เรียบร้อย,"เขตสวนหลวง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2/12/2024,16:19 น.,1,รอรับเรื่อง
2024-67EA8A,2/12/2024,16:16 น.,1,รอรับเรื่อง 16 ชั่วโมงที่แล้ว,เขตสวนหลวง แขวงสวนหลวง,ฟุตบาท หน้าโรงเรียน,"เขตสวนหลวง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2/12/2024,16:16 น.,1,รอรับเรื่อง
2022-DW8ZPM,23/9/2022,06:04 น.,802,รอรับเรื่อง 802 วันที่แล้ว,,ถนนศรีนครินทร์จากพัฒนาการ มุ่งหน้าซีคอน มีหลุมลึก ขนาดใหญ่ ริมขอบทางด้านขวา ซึ่งรถวิ่งเร็ว เกือบตกหลุมหลายครั้ง อันตรายมาก,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตสวนหลวง, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,29/10/2022,14:10 น.,766,ใช้เวลา 36 วัน 8 ชม.
