ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-L7XBCQ,3/12/2024,06:56 น.,0,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,แขวงทุ่งสองห้อง,บ้านหัวมุมติดคลองมีการปล่อยหมาออกมา 2-3 ตัวที่ดุมากออกมาช่วงเย็นถึงค่ำ ซึ่งเป็นช่วงที่คนไปเดินพักผ่อนริมคลองของ กทม ที่ทำไว้ เคยแจ้งเรื่องนี้ไปแล้วทางบ้านที่มีหมาก็หยุดปล่อยไปพักนึงตอนนี้กลับมาปล่อยอีกแล้วการจะเดินไปคลองต้องผ่านหมาพวกนั้อันตรายมากๆต่อผู้คนที่ไปพักผ่อนย่อนใจบริเวณคลอง เสี่ยงอันตรายต่อเด็กและคนชรา เจ้าของบ้านไร้ความรับผิดชอบมากๆปล่อยหมาที่ดุร้ายขนาดนี้ออกมาเสี่ยงต่อชาวบ้านในพื้นที่ ควรจัดการเด็ดขาดกว่านี้เพราะครั้งที่แล้วก็เคยแจ้งเรื่องไปแล้วแต่ก็ยังทำอีก,"เขตหลักสี่, ฝ่ายสิ่งแวดล้อมฯ เขตหลักสี่, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,3/12/2024,08:30 น.,0,ใช้เวลา 1 ชม. 34 นาที
2024-GDWCKE,2/12/2024,22:26 น.,1,รอรับเรื่อง 10 ชั่วโมงที่แล้ว,,ขอ จนท. ตรวจสอบ ส่วนต่อเติม เปิดแอร์ ตลอดทั้งชั้นบนขณะนี้ มีความเย็นออกจากอาคาร เวลา 20.40 น. และ 22.15 น.ยังไม่ได้ดำเนินคดี ปี 2567ต่างกรรม ต่างวาระมีมากกว่า 1 คนที่ฝ่าฝืนลอยนวล,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,3/12/2024,08:30 น.,0,ใช้เวลา 10 ชม. 5 นาที
2024-HYT7Q9,2/12/2024,21:05 น.,1,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,,วิภาวดี 60 แยก 14 ช่วงถนนทางเข้าหมู่บ้าน เดอะ แกรนด์ และหมู่บ้าน เศรณีปาร์ค ผิวจราจรถนน ชำรุด และ ไหล่ ทาง ทั้ง2 ข้างถนน ชำรุด มาก รวมทั้ง ริมไหล่ทางทั้ง2 ข้างถนนก็ชำรุดด้วย เวลารถวิ่งสวนกัน จะตกไหล่ทางอาจทำให้ยางรถเสียหาย จึงเรียนมาเพื่อกรุณาพิจารณา ปรับปรุง ผิวจราจร ถนน ทั้งเส้นทางผิวจราจรไหล่ทางและริมไหล่ทางทั้งสองข้างทั้งเส้นทางด้วยครับ,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:30 น.,0,ใช้เวลา 11 ชม. 26 นาที
2024-LWAFCP,2/12/2024,20:22 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,,เสร็จสิ้น ตรงไหน??,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,3/12/2024,08:30 น.,0,ใช้เวลา 12 ชม. 8 นาที
2024-ACULRP,2/12/2024,20:21 น.,1,รอรับเรื่อง 12 ชั่วโมงที่แล้ว,,เริ่มมีความเย็น ออกด้านหลังอาคาร เวลา 20.12 น.และมีกลิ่นสเปรย์กลบกลิ่นส้วม เวลา 19 น. และ 20.15 น.ต่างกรรม ต่างวาระจะแจ้งสายตรวจให้มาช่วยเก็บภาพ ขอจนท.ร้องทุกข์เพิ่มเติมของปี 2567 มีคนฝ่าฝืนในอาคาร มากกว่า 1 คน.,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 12 ชม. 9 นาที
2024-H8B9EP,2/12/2024,19:58 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,,ใข้ส่วนต่อเติม ที่มีคำสั่งของจพถ. และเปิดแอร์,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 12 ชม. 31 นาที
2024-C7KYKV,2/12/2024,19:16 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,,ฝ่าฝืน ใช้ส่วนต่อเติม เปิดแอร์ ด้านหลัง ชั้นบนและชั้นล่าง.เวลา 17 น. มัความเย็นออกจากอาคาร. คาดว่า เปิดประตูในส่วนที่ต่อเติม และ ประตูหน้าชั้นล่าง.ระหว่างวันมีคนอยู่ในอาคาร เวลา 9 น.มีกลิ่นอาหาร เวลา 12 น.ใช้สเปรย์น้ำหอมกลบกลิ่น.ช่องเปิด และผ้าชำรุด ยังไม่แก้ไข,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 13 ชม. 13 นาที
2024-FMN2NT,2/12/2024,19:15 น.,1,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตหลักสี่ แขวงตลาดบางเขน,ถนนทรุดเป็นโพรงขนาดใหญ่มีรถสัรจนรถมดเตอร์ไชตกหลุมเกิดอุบัตติเหตุ,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 13 ชม. 14 นาที
2024-3L8VMW,2/12/2024,17:59 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,,วิภาวดี 64 แยก 14 ช่วงถนนทางเข้าหมู่บ้าน เดอะ แกรนด์ และหมู่บ้าน เศรณีปาร์ค ผิวจราจรถนน ชำรุด และ ไหล่ ทาง ทั้ง2 ข้างถนน ชำรุด มาก รวมทั้ง ริมไหล่ทางทั้ง2 ข้างถนนก็ชำรุดด้วย เวลารถวิ่งสวนกัน จะตกไหล่ทางอาจทำให้ยางรถเสียหาย จึงเรียนมาเพื่อกรุณาพิจารณา ปรับปรุง ผิวจราจร ถนน ทั้งเส้นทางผิวจราจรไหล่ทางและริมไหล่ทางทั้งสองข้างทั้งเส้นทางด้วยครับ,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:29 น.,0,ใช้เวลา 14 ชม. 30 นาที
2024-P6D3X8,2/12/2024,17:55 น.,1,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,,ฝาท่อระบายน้ำกระทบกับขอบบ่อเวลารถยนต์วิ่งทับผ่านไปครับ เป็นปัญหาเดิมที่แก้มาสามรอบแล้วไม่หายขาดครับ เป็นทั้งซอยครับ,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,3/12/2024,08:28 น.,0,ใช้เวลา 14 ชม. 34 นาที
