ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-42CR2B,3/12/2024,08:32 น.,0,รอรับเรื่อง 29 นาทีที่แล้ว,เขตคลองเตย,ฝุ่นPMหนามาก แจ้งแบบนี้ทุกปี ไหนการแก้ปัญหาระยะยาว,"สส.ผึ้ง พนิดา สมุทรปราการ เขต1, 1111 ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล, กรุงเทพมหานคร, เขตคลองเตย, สำนักสิ่งแวดล้อม กทม., เพื่อนชัชชาติ",ควันไฟ - ฝุ่นละออง,รอรับเรื่อง,3/12/2024,08:35 น.,0,ใช้เวลา 3 นาที
2024-3NMNPG,28/4/2024,19:11 น.,219,รอรับเรื่อง 218 วันที่แล้ว,เขตบางนา,ไฟฟ้าดับไฟส่องสว่างดับ 3 ดวงครับทั้งหน้าและหลังซอย,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,30/4/2024,13:03 น.,217,ใช้เวลา 1 วัน 17 ชม.
2024-68MBPN,27/4/2024,19:32 น.,220,รอรับเรื่อง 219 วันที่แล้ว,เขตบางนา,ไฟส่องสว่างทางเดินรถไม่ติดเป็นระยะประมาณ 300 เมตรได้ถนนมีแต่รถใหญ่วิ่งส่วนมาก ไฟก็ไม่ส่องสว่ทงอีกอันตรายมาก,"เขตบางนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รับเรื่อง,30/4/2024,13:04 น.,217,ใช้เวลา 2 วัน 17 ชม.
BYW6UK,20/2/2024,09:29 น.,287,รอรับเรื่อง 286 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,ปัญหา: บริเวณถนนดังกล่าว ตั้งแต่แยกร่มเกล้าถึงลาดกระบัง ใกล้กับสถานีรถไฟฟ้าแอร์พอร์ต เรล ลิงก์ ลาดกระบัง พบเห็นมีการจราจรติดขัดหนาแน่น เนื่องจากถนนที่บริเวณดังกล่าวจะเชื่อมติดต่อกัน ผู้ร้องต้องการให้หาทางระบายรถออกจากมอเตอร์เวย์ที่จะมุ่งหน้าไปร่มเกล้า เพื่อแก้ไขปัญหาการจราจรติดขัดในช่วงเวลาเช้า-เย็นถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,10/5/2024,07:44 น.,207,ใช้เวลา 79 วัน 22 ชม.
DWM7Z6,8/2/2024,14:38 น.,299,รอรับเรื่อง 298 วันที่แล้ว,เขตพระนคร แขวงบางขุนพรหม,ปัญหา: หน้าบ้านเลขที่ 42 พบท่อระบายน้ำอุดตัน ไม่สามารถระบายน้ำออกได้ เกรงว่าเวลาฝนตกอาจเกิดน้ำท่วมบ้านและภายในซอยบ้านเลขที่: 42ซอย: เทเวศร์ 1ถนน: กรุงเกษมจุดสังเกต: บริเวณต้นซอยดังกล่าว ซ้ายมือบ้านหลังแรกเขต: พระนคร#1555,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตพระนคร, เขตพระนคร, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,20/4/2024,18:18 น.,227,ใช้เวลา 72 วัน 3 ชม.
WV4VW7,7/2/2024,22:38 น.,300,รอรับเรื่อง 299 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถสองแถวจอดคร่อมทางรถไฟขวางทางเข้าออกบริเวณหน้าสถานีถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,10/5/2024,07:53 น.,207,ใช้เวลา 92 วัน 9 ชม.
BCJKWB,7/2/2024,22:35 น.,300,รอรับเรื่อง 299 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถแท็กซี่วนเข้าไปรับลูกค้าแล้วจอดคาบริเวณวงเวียนทำให้การจราจรติดขัด ถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,10/5/2024,07:52 น.,207,ใช้เวลา 92 วัน 9 ชม.
2024-N7PQ4C,7/2/2024,14:43 น.,300,รอรับเรื่อง 299 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ทำงานล่าช้า วัสดุหล่นผิวทาง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,20/2/2024,11:05 น.,287,ใช้เวลา 12 วัน 20 ชม.
2024-38RA8G,2/2/2024,18:45 น.,305,รอรับเรื่อง 304 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ช่วยตีเส้นถนนกาญจนาภิเษก ตั้งแต่สะพาน แยกมาจากถนนกัลปพฤก ตรงศาลเจ้าพ่อเสือ มองไม่เห็นเลนแล้ว ขับมั่วเลนไปหมด อันตรายมาก ต่างคนต่างแทรก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,7/2/2024,12:09 น.,300,ใช้เวลา 4 วัน 17 ชม.
2024-FVRZ9P,31/1/2024,18:21 น.,307,รอรับเรื่อง 306 วันที่แล้ว,เขตบางแค แขวงหลักสอง,อยากให้ช่วยตีเส้นถนนใหม่หน่อยค่ะ ตั้งแต่ลงสะพานมาจากกัลปพฤกษ์ จนถึงสุดเส้นกาญจนาภิเษกก่อนเลี้ยวซ้ายไปเพชรเกษมตรงเดอะมอลล์ บางแค เส้นถนนเลือนลางมาก รถชนบ่อยเพราะแย่งเลนกันค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,7/2/2024,12:10 น.,300,ใช้เวลา 6 วัน 17 ชม.
