ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,จำนวนวัน(วันแจ้ง),สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,จำนวนวัน(สถานะล่าสุด),เวลาที่ใช้
2024-ANZ6XH,25/11/2024,08:20 น.,8,รอรับเรื่อง 8 วันที่แล้ว,เขตบางบอน แขวงบางบอนใต้,ถนนแถวบางแคไปกาญจนา นนทบุรีรถติดมากๆๆ มีซ่อมถนนช้ามาก รบกวนเร่งแก้ไข +รถบรรทุกวิ่งขวาทำให้รถติดมากขึ้นไปอีก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เขตบางบอน, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,27/11/2024,09:51 น.,6,ใช้เวลา 2 วัน 1 ชม.
2024-NFXPC8,12/10/2024,11:51 น.,52,รอรับเรื่อง 51 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,1.ร้านอาหาร 2.ร้านต้นไม้ เปิดบนทางเท้า 3.รถจอดบนถนนขวางถนน ทำให้รถติดมาก เหมือนสร้างถนนให้รถมาจอด เดือนร้อนมากๆ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,15/10/2024,11:04 น.,49,ใช้เวลา 2 วัน 23 ชม.
2024-BEDULL,3/10/2024,16:12 น.,61,รอรับเรื่อง 60 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ร้านค้าถนนกาญจนาภิเษกวางของรุกล้ำทางเท้ามากๆ แทบไม่มีทางเดิน เกิดอุบัติเหตุบ่อยครั้งเมื่อประชาชนผู้ใ้ทางเท้าต้องเดินบนถนน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,7/10/2024,14:09 น.,57,ใช้เวลา 3 วัน 21 ชม.
2024-9BUTAZ,21/9/2024,19:02 น.,73,รอรับเรื่อง 72 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ต้นไม้ยาวสูงหนาบดบังวิสัยทัศน์ในการขับรถบริเวณเกาะกลางถนนกาญนาวงแหวนใกล้กับเดอะมอลบางแค แนบรูป 19.00 21/9/67,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,22/9/2024,09:44 น.,72,ใช้เวลา 14 ชม. 42 นาที
2024-GWHDRT,20/9/2024,13:50 น.,74,รอรับเรื่อง 73 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ฟุตบาทแตกหัก เสี่ยงต่อการเกิดอุบัติเหตุทางเดินเท้า,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,8/10/2024,10:45 น.,56,ใช้เวลา 17 วัน 20 ชม.
2024-KLMF2G,20/9/2024,13:48 น.,74,รอรับเรื่อง 73 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ทางฟุตบาท แตกหัก บิ่น เสี่ยงต่อการเดินสะดุด หกล้ม,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,22/9/2024,09:45 น.,72,ใช้เวลา 1 วัน 19 ชม.
2024-HLZAR4,7/9/2024,06:44 น.,87,รอรับเรื่อง 87 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,9/9/2024,14:51 น.,85,ใช้เวลา 2 วัน 8 ชม.
2024-BFZEWW,7/9/2024,06:42 น.,87,รอรับเรื่อง 87 วันที่แล้ว,เขตบางแค,คู่ขนานขาออกถนนกาญจนา แถวร้านกก๋วยเตี๋ยวตั้งซุ่ยเฮงโภชนาตรงข้ามเดอะมอลล์ พื้นที่เกาะกลางถนนของหลวงมีการตั้งโต๊ะเก้าอี้ทับเกาะกลางถนนของหลวงมีรถแท็กซี่จอดรวมตัวจอดแช่ยึดพื้นที่เป็นวินแท๊กซี่เวลารถจะเลี้ยวออกจากซอยก็มองรถทางขวาลำบากอยากให้เทศกิจเขตบางแคเข้ามาจัดระบบติดป้ายห้ามแท็กซี่จอดและให้รื้อถอนเก้าอี้ออกไปด้วย เทศกิจทำงานให้จิงจังด้วยคับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, ฝ่ายเทศกิจ เขตบางแค, เขตบางแค, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,9/9/2024,14:51 น.,85,ใช้เวลา 2 วัน 8 ชม.
7LHKPD,22/8/2024,18:16 น.,103,รอรับเรื่อง 102 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: เรื่องเดิม บนสะพานลอยหน้าสถานีบริการน้ำมันคาลเท็กซ์ ถนนกาญจาภิเษก เลี้ยวจากเดอะมอลล์บางแค มุ่งหน้าไปถนนพระรามที่ 2 (เป็นสะพานลอยที่ยาวมาก) บริเวณนี้ค่อนข้างเปลี่ยว ไม่มีกล้องวงจรปิด CCTV เกรงว่าประชาชนสัญจรไปมาในเวลากลางคืนจะได้รับอันตราย อ้างอิงเลขที่รับแจ้ง MUVHXL เมื่อวันที่ 3 เม.ย. 67 เจ้าหน้าที่ตอบกลับมาว่า เขตบางแค ส่งต่อไปยัง แขวงทางหลวงธนบุรี กรมทางหลวงปัจจุบันผู้ร้องแจ้งว่า อยากให้ทาง กทม.เร่งดำเนินการติดกล้อง CCTV บริเวณดังกล่าวเพื่อสร้างความอุ่นใจให้กับประชาชนถนน: กาญจนาภิเษกจุดสังเกต: สะพานลอยดังกล่าวจะอยู่เยื้องกับหมู่บ้านสุขสันต์ 6เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,รอรับเรื่อง,23/8/2024,11:41 น.,102,ใช้เวลา 17 ชม. 26 นาที
2024-LK4RB8,20/8/2024,20:02 น.,105,รอรับเรื่อง 104 วันที่แล้ว,เขตบางแค แขวงหลักสอง,มีการเลาะหน้าถนนตั้งแต่วันเสาร์ 17/8/2567 จนถึงวันนี้ วันที่ 20/8/2567 แล้วยังไม่มีการดำเนินการติดไฟสัญญานเตือนหรือป้ายเตือนอันตราย ทำให้รถที่ลงคอสะพานมาด้วยความเร็วไม่ทันระวังเกิดอุบัติเหตุไปแล้วหลายคัน ก็ยังไม่มีการดำเนินการอะไรคืบหน้าเลย รบกวนแจ้งฝ่ายที่เกี่ยวข้องเร่งตรวจสอบให้หน่อยนะคะ อันตรายมากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,21/8/2024,08:59 น.,104,ใช้เวลา 12 ชม. 57 นาที
XXTXAW,19/8/2024,15:03 น.,106,รอรับเรื่อง 105 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: บนถนนดังกล่าว บริเวณหน้าห้างสรรพสินค้า ดิ เอ็กซ์เพลส มอลล์ พบยางมะตอยบนผิวการจราจรหลุดร่อนออกมา ทำให้เป็นหลุมเป็นบ่อ เป็นระยะทาง 3-4 เมตร ถนน: กาญจนาภิเษกจุดสังเกต: ถนนกาญจนาภิเษกฝั่งขาเข้า มุ่งหน้าไปพระราม 2เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",ถนน,รอรับเรื่อง,21/8/2024,09:00 น.,104,ใช้เวลา 1 วัน 17 ชม.
2024-7G9PUV,19/8/2024,08:14 น.,106,รอรับเรื่อง 106 วันที่แล้ว,เขตทวีวัฒนา,ถนนชำรุด,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,21/8/2024,09:01 น.,104,ใช้เวลา 2 วัน
2024-N7PQ4C,7/2/2024,14:43 น.,300,รอรับเรื่อง 299 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ทำงานล่าช้า วัสดุหล่นผิวทาง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,20/2/2024,11:05 น.,287,ใช้เวลา 12 วัน 20 ชม.
2024-38RA8G,2/2/2024,18:45 น.,305,รอรับเรื่อง 304 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ช่วยตีเส้นถนนกาญจนาภิเษก ตั้งแต่สะพาน แยกมาจากถนนกัลปพฤก ตรงศาลเจ้าพ่อเสือ มองไม่เห็นเลนแล้ว ขับมั่วเลนไปหมด อันตรายมาก ต่างคนต่างแทรก,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,7/2/2024,12:09 น.,300,ใช้เวลา 4 วัน 17 ชม.
2024-FVRZ9P,31/1/2024,18:21 น.,307,รอรับเรื่อง 306 วันที่แล้ว,เขตบางแค แขวงหลักสอง,อยากให้ช่วยตีเส้นถนนใหม่หน่อยค่ะ ตั้งแต่ลงสะพานมาจากกัลปพฤกษ์ จนถึงสุดเส้นกาญจนาภิเษกก่อนเลี้ยวซ้ายไปเพชรเกษมตรงเดอะมอลล์ บางแค เส้นถนนเลือนลางมาก รถชนบ่อยเพราะแย่งเลนกันค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,7/2/2024,12:10 น.,300,ใช้เวลา 6 วัน 17 ชม.
2024-F8Q29A,30/1/2024,07:15 น.,308,รอรับเรื่อง 308 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ราวสะพานชำรุด เสี่ยงตกลงทางกลับรถด้านล่าง,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,รอรับเรื่อง,7/2/2024,12:12 น.,300,ใช้เวลา 8 วัน 4 ชม.
2024-63R2Q2,28/1/2024,20:46 น.,310,รอรับเรื่อง 309 วันที่แล้ว,เขตบางแค,ซ่อมฟุตบาท,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,30/1/2024,11:42 น.,308,ใช้เวลา 1 วัน 14 ชม.
CJVJ4T,26/1/2024,17:30 น.,312,รอรับเรื่อง 311 วันที่แล้ว,เขตตลิ่งชัน แขวงบางระมาด,ปัญหา: พบผู้ค้ารถเข็นขายของบริเวณบาทวิถีและผิวจราจรบริเวณทางเข้าหน้าปั๊มน้ำมันดังกล่าวช่วงเวลาประมาณ 05.00-12.00 น.กีดขวางรถที่จะเลี้ยวเข้ามาใช้บริการในปั้มน้ำมันแล้วเกรงว่าจะเกิดอุบัติเหตุด้วย และยังมีการทำให้บริเวณหน้าปั้มน้ำมันสกปรกโดยทิ้งเศษอาหารลงในท่อระบายน้ำทำให้ท่อตันจนเพื่อนบ้านร้องเรียนเขตมาที่ปั้มน้ำมันดังกล่าวซึ่งทางเขตก็เร่งให้จัดการแก้ไขจึงมาร้องเรียนที่นี่ ถนน: กาญจนาภิเษก จุดสังเกต: ปั้มน้ำมันเชลล์ตรงข้ามPaseoเขต: ตลิ่งชัน#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรมทางหลวงชนบท กระทรวงคมนาคม, ฝ่ายเทศกิจ เขตตลิ่งชัน, เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,22/8/2024,10:36 น.,103,ใช้เวลา 208 วัน 17 ชม.
2024-MTQWMV,24/1/2024,22:49 น.,314,รอรับเรื่อง 313 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ทางเลี้ยวออกมาจากถนนทวีวัฒนา-กาญจนาภิเษก ก่อนถึงหน้าธนาคารไทยพาณิชย์ เลนซ้ายสุด ถนนเป็นหลุมใหญ่ รถมอเตอร์ไซค์อาจเกิดอุบัติเหตุได้ ไม่แน่ใจว่าเป็นความรับผิดชอบของกรมทางหลวงฯหรือไม่ ฝากทางเขตฯ ประสานงานทีนะครับ ขอบคุณครับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,7/2/2024,12:18 น.,300,ใช้เวลา 13 วัน 13 ชม.
2024-698NQ3,22/1/2024,16:41 น.,316,รอรับเรื่อง 315 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,สีที่สะพานเลอะเกิดคราบดำตระไคร้ขค้นไม่มีการทาสีปรับปรุง,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,รอรับเรื่อง,7/2/2024,12:20 น.,300,ใช้เวลา 15 วัน 19 ชม.
2024-C7WQLC,22/1/2024,16:35 น.,316,รอรับเรื่อง 315 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ขยะใต้สะพานเยอะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,13/3/2024,18:16 น.,265,ใช้เวลา 51 วัน 1 ชม.
2024-GX6QDR,21/1/2024,14:16 น.,317,รอรับเรื่อง 316 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,กำแพงสะพานขึ้นคราบดำสกปรกอยากให้มีการทาสีปรับปรุงให้ดีเรียบร้อยตามผอ ผู้ว่าชีชชาติ,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,7/2/2024,13:23 น.,300,ใช้เวลา 16 วัน 23 ชม.
AH4JBZ,19/1/2024,08:36 น.,319,รอรับเรื่อง 319 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ปัญหา: เนื่องจาก ปัญหายังไม่ได้รับการแก้ไข เรื่อง ได้รับความลำบากมาก จากการจราจรที่ติดขัดมากเนื่องจาก การก่อสร้างถนน และทำไม่ต่อเนื่อง เลขที่อ้างอิง 82GNL9 สถานะกำลังดำเนินการ ผู้ร้องแจ้งข้อมูลเพิ่มเติมว่า เนื่องจากในตอนนี้มีรถติดเป็นจำนวนมาก จึงอยากให้เร่งดำเนินการแก้ไขปัญหาถนน: กาญจนาภิเษกจุดสังเกต: บริเวณถนนกาญจนาภิเษก วงแหวนรอบนอก จากเดอะมอลล์บางแคไปถนนพระราม 2เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ถนน,รอรับเรื่อง,22/8/2024,10:42 น.,103,ใช้เวลา 216 วัน 2 ชม.
2024-C4RP2U,19/1/2024,08:28 น.,319,รอรับเรื่อง 319 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,คูน้ำบริเวณริมถนนกาญจนาภิเษกมีลักษณะ เน่าเสีย ส่งกลิ่นเหม็น สังเกตเห็นคราบไขมันลอยตัวอยู่ที่ผิวน้ำเป็นจำนวนมาก เคยพบเห็นว่ามีการลอกท่อ 1 ครั้ง แต่หลังจากนั้นกลับส่งกลิ่นเหม็นยิ่งกว่าเดิม รบกวนหน่อยงานที่เกี่ยวข้องช่วยมาจัดการด้วยนะคะ ขอบคุณค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรมควบคุมมลพิษ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ขยะ,รอรับเรื่อง,9/2/2024,12:11 น.,298,ใช้เวลา 21 วัน 3 ชม.
