ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-EUKRDC,2024-12-05,10:19 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา แขวงบางนาใต้,ขอให้ยุติการรื้อถอนสิ่งปลูกสร้าง,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,06:33 น.,ใช้เวลา 20 ชม. 14 นาที,1,0
2024-D2ND4N,2024-12-05,09:50 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา แขวงบางนาใต้,มีการรื้อถอนสิ่งปลูกสร้าง,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-06,06:35 น.,ใช้เวลา 20 ชม. 46 นาที,1,0
2024-KYD6LE,2024-12-03,06:52 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตบางนา แขวงบางนาเหนือ,ก่อสร้างอาคารผิดพระราชบัญญัติควบคุมอาคาร และก่อสร้างบนทางสาธารณะประโยชน์ เป็นการใช้ประโยชน์ส่วนบุคคลบนพื้นที่สาธารณะ,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-04,06:34 น.,ใช้เวลา 23 ชม. 42 นาที,3,2
2024-BZUZBD,2024-11-29,22:50 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตพระโขนง,ฝาท่อชำรุดอันตราย,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-05,09:52 น.,ใช้เวลา 5 วัน 11 ชม.,7,1
2024-EHVUBZ,2024-09-29,18:33 น.,รอรับเรื่อง 67 วันที่แล้ว,เขตบางนา แขวงบางนาเหนือ,ห้องแถวริมซอยที่ขายข้าวนึ่ง สร้างและต่อเติมรุกล้ำถนนสาธารณะและเกือบ”ห่อหุ้ม“เสาไฟฟ้าเอาไว้,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-06,06:44 น.,ใช้เวลา 67 วัน 12 ชม.,68,0
2024-A6P27B,2024-07-18,11:12 น.,รอรับเรื่อง 141 วันที่แล้ว,เขตพระโขนง แขวงบางจาก,ป้ายถูกกฏหมายหรือไม่,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เขตพระโขนง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-06,06:47 น.,ใช้เวลา 140 วัน 19 ชม.,141,0
2024-KH6LYN,2024-03-09,13:46 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,รั้วกำแพงแผ่นเหล็กนี้ ยืน รุกล้ำมาในถนนสาธารณะ แล้วยังวางกระถางต้นไม้คอนกรีตถาวรเพิ่มมาอีก กีดขวางการจราจรขอให้สังเกตว่าแนวรั้วนี้ยื่นล้ำออกมาจากเพื่อนบ้าน ขอให้รื้อถอนออก,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-04,08:23 น.,ใช้เวลา 269 วัน 18 ชม.,272,2
2024-6W9HLA,2024-03-09,13:06 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,เสาต้นนี้ตั้งล้ำถนนสาธารณะ และฝั่งตรงข้ามของเสา เป็นร้านก๋วยเตี๋ยวที่วางของรุกล้ำถนนเช่นกันขอให้รื้อถอน ขนย้าย ออกไป,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,เปิดเรื่องใหม่,2024-12-04,08:24 น.,ใช้เวลา 269 วัน 19 ชม.,272,2
2024-AZWFWP,2024-03-09,13:02 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,ร้านขายอาหารนี้ต่อเติมรุกล้ำถนนสาธารณะ ตลอดแนวอาคาร ทั้งยังวางของและชุดโต๊ะเก้าอี้ม้าหิน ฝั่งตรงข้ามก็คือไว้ริมกำแพงของโรงแรมขอให้รื้อถอน และขนย้าย ออกไปให้หมด,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:26 น.,ใช้เวลา 269 วัน 19 ชม.,272,2
2024-Y7D72M,2024-03-09,12:54 น.,รอรับเรื่อง 272 วันที่แล้ว,เขตบางนา,เสาเหล็กสีขาวต้นนี้วางทับสายไฟอยู่บนพื้นที่ถนนต้องการให้รื้อถอนออกไปครับ,"เขตบางนา, ฝ่ายโยธา เขตบางนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-04,08:27 น.,ใช้เวลา 269 วัน 19 ชม.,272,2
