ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-B2DR6B,2024-10-31,12:01 น.,รอรับเรื่อง 36 วันที่แล้ว,เขตบางรัก,ต้องการไปส่องสว่างทางม้าลายหน้าอาคารวอลสตรีททาวเวอร์,"เขตบางรัก, Bangkok Smart Lighting (สำนักการโยธา กทม.), สำนักการโยธา กทม., ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), กรุงเทพมหานคร",ไฟฟ้า,เปิดเรื่องใหม่,2024-12-06,10:09 น.,ใช้เวลา 35 วัน 22 ชม.,36,0
2024-F2FYYR,2024-09-26,16:52 น.,รอรับเรื่อง 70 วันที่แล้ว,เขตบางรัก แขวงสีลม,รร ดุสิตธานี สร้างอาคารสูงอาคารใหญ่พิเศษ สร้างพื้นที่ตึกเกิน กม กำหนด ที่ดินมรแค่ 15 ไร่ สร้างตึกพื้นที่เกินไปเยอะมาก แจ้งตรวจสอบจนจะสร้างเสร็จแล้ว,"เขตบางรัก, สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม., สำนักการโยธา กทม., กรุงเทพมหานคร",อาคารสถานที่ชำรุด,เปิดเรื่องใหม่,2024-12-06,13:06 น.,ใช้เวลา 70 วัน 20 ชม.,71,0
2024-HA3UPL,2024-06-13,22:50 น.,รอรับเรื่อง 175 วันที่แล้ว,เขตบางนา,ทางลาดถนนเเตกขรุขระ,"ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), สำนักการโยธา กทม., เขตบางนา, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-03,23:53 น.,ใช้เวลา 173 วัน 1 ชม.,176,3
2023-9DVKY4,2023-09-24,23:00 น.,รอรับเรื่อง 438 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ปูนทางขึ้นลงเเตกอยากให้เจ้าหน้าที่มาฉาบปูนให้เรียบเพราคนเดินสะดุดบ่อย ***ห้ามใช้ยางมะตอยนะครับยิ่งทำให้เป็นเนินไม่สวย!!!***,"ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), เขตวัฒนา, สำนักการโยธา กทม., เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-08-29,13:37 น.,ใช้เวลา 339 วัน 14 ชม.,439,99
2023-8MX86E,2023-07-26,18:06 น.,รอรับเรื่อง 498 วันที่แล้ว,เขตดินแดง,ฟุตบาทพังชิบหายมาหลายเดือนแล้ว เมื่อไหร่จะมาทำงานซะทีวะ รอบิดาพวกคุณตกหลุมกันก่อนหรอไง เฮงซวย,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., สำนักการโยธา กทม., เขตดินแดง, รองปลัดฯ นายณรงค์ เรืองศรี, สำนักงานระบบขนส่ง สขส. สจส., เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2023-08-19,13:54 น.,ใช้เวลา 23 วัน 19 ชม.,499,475
2023-8Y4HYZ,2023-07-25,11:12 น.,รอรับเรื่อง 500 วันที่แล้ว,เขตบางรัก,ทำลายพุตบาท ระบบป้องกันฝุ่นไม่ดี รถปูนวิ่งทั้งวัน ก่อสร้างผิด พรบ ควบคุมอาคาร ต้องตรวจสอบ,"ศูนย์ก่อสร้างและบูรณะถนน 2 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), สำนักการโยธา กทม., เขตบางรัก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2024-12-04,16:39 น.,ใช้เวลา 498 วัน 5 ชม.,500,2
RLEJ4C,2023-04-22,15:50 น.,รอรับเรื่อง 594 วันที่แล้ว,เขตบางกอกน้อย แขวงอรุณอมรินทร์,หัวข้อที่ 4 //ติดตามเรื่องร้องทุกข์ เลขที่รับแจ้งอ้างอิง JNZKND* * ปัญหา: แจ้งเรื่องร้องเรียนพบเห็นรอบต่อของสะพานไม่เรียบทำให้เวลาขับขี่รถผ่านรถเด้ง รอยต่อสูงกว่าผิวถนน กลัวจะได้รับอันตราย ขอให้เจ้าหน้าที่เข้าตรวจสอบและแก้ไข* * จุดเกิดเหตุ: สะพานสมเด็จพระปิ่นเกล้า* * ถนน: สะพานสมเด็จพระปิ่นเกล้า* * เขต:บางกอกน้อย* * แขวง:อรุณอมรินทร์#1555,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตบางกอกน้อย, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-06-15,16:38 น.,ใช้เวลา 54 วัน,594,540
JNZKND,2023-03-18,22:01 น.,รอรับเรื่อง 628 วันที่แล้ว,เขตบางพลัด แขวงบางยี่ขัน,* กรุณาอ่านข้อมูลบรรยายประกอบการปักหมุด’ * * ปัญหา: แจ้งเรื่องร้องเรียนพบเห็นรอบต่อของสะพานไม่เรียบทำให้เวลาขับขี่รถผ่านรถเด้ง รอยต่อสูงกว่าผิวถนน กลัวจะได้รับอันตราย ขอให้เจ้าหน้าที่เข้าตรวจสอบและแก้ไข* * จุดเกิดเหตุ:  สะพานสมเด็จพระปิ่นเกล้า* * บ้านเลขที่: -* * ซอย: -* * ถนน: -* * เขต:บางกอกน้อย* * แขวง:อรุณอมรินทร์#1555,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตบางกอกน้อย, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-06-15,16:27 น.,ใช้เวลา 88 วัน 18 ชม.,629,540
2023-82XZXQ,2023-03-15,09:09 น.,รอรับเรื่อง 632 วันที่แล้ว,เขตตลิ่งชัน,ทางเท้าเเละขอบทางเท้าเเตก,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2023-04-18,10:12 น.,ใช้เวลา 34 วัน 1 ชม.,632,598
2022-NLCXZE,2022-09-01,22:14 น.,รอรับเรื่อง 826 วันที่แล้ว,เขตบางกะปิ,พื้นฟุตบาตยุบเสียหาย อาจเป็นอันตรายกับคนเดินเท้าได้ (บริเวณปากซอยลาดพร้าว 101 ฝั่งตลาด),"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., ฝ่ายโยธา เขตบางกะปิ, สำนักการโยธา กทม., เขตบางกะปิ, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตบางกะปิ (นายไพรัตน์), กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-30,17:43 น.,ใช้เวลา 331 วัน 19 ชม.,827,495
