ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-NXBYBR,2024-11-28,16:45 น.,รอรับเรื่อง 7 วันที่แล้ว,เขตบางรัก แขวงสีลม,บริเวณนี้ข้างตึก parksilom ชอบมีคนมาสูบบุหรี่จำนวนมาก ส่งกลิ่นเหม็นรบกวน และยังมีเด็กนักเรียนเดินผ่านเป็นจำนวนมาก อยากให้มาตักเตือนหรือทำป้ายบอกด้วยครับ,"ฝ่ายสิ่งแวดล้อมฯ เขตบางรัก, สำนักสิ่งแวดล้อม กทม., เขตบางรัก, กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2024-12-06,15:25 น.,ใช้เวลา 7 วัน 22 ชม.,8,0
2023-3TNHWX,2023-12-17,08:18 น.,รอรับเรื่อง 355 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-02-02,12:06 น.,ใช้เวลา 47 วัน 3 ชม.,355,308
2023-GTDM26,2023-05-15,19:31 น.,รอรับเรื่อง 570 วันที่แล้ว,เขตบางแค แขวงบางแค,ไหล่ทางมีฝุ่นแดงฟุ้งกระจาย,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักสิ่งแวดล้อม กทม., เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2023-06-29,19:15 น.,ใช้เวลา 44 วัน 23 ชม.,571,526
2023-BUNVKN,2023-02-24,14:50 น.,รอรับเรื่อง 651 วันที่แล้ว,,อากาศเป็นมลพิษและปริมาณฝุ่นสูงมาก รบกวนตรวจสอบปรับปรุงแก้ไขให้ด้วยครับ ขอบคุณครับ,"สำนักสิ่งแวดล้อม กทม., กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, กรุงเทพมหานคร, เขตยานนาวา, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:50 น.,ใช้เวลา 1 นาที,651,651
2023-DVTX9G,2023-02-24,14:11 น.,รอรับเรื่อง 651 วันที่แล้ว,เขตธนบุรี,มลพิษ และฝุ่นP.M2.5สูงมากครับรบกวนตรวจสอบและดำเนินการแก้ไขให้ด้วยครับขอบคุณครับ,"สำนักสิ่งแวดล้อม กทม., เขตธนบุรี, กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, ฝ่ายสิ่งแวดล้อมฯ เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:12 น.,ใช้เวลา 1 นาที,651,651
2023-GML3YW,2023-02-24,13:01 น.,รอรับเรื่อง 651 วันที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ฝุ่น PM 2.5 เยอะมาก เมื่อไหร่ผู้ว่าชัชชาติกับสำนักสิ่งแวดล้อมจะจัดการ แจ้งเรื่องไปหลายรอบแล้วไม่แก้ปัญหาให้ได้ซักที,"สำนักสิ่งแวดล้อม กทม., กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:11 น.,ใช้เวลา 1 ชม. 10 นาที,651,651
2022-H4TB42,2022-07-31,12:19 น.,รอรับเรื่อง 859 วันที่แล้ว,เขตคลองสามวา,1.เจ้าหน้าที่รักษาความปลอดภัยในสวนสาธรณะบกพร่องต่อหน้าที่,"สำนักสิ่งแวดล้อม กทม., เขตคลองสามวา, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-13,20:01 น.,ใช้เวลา 13 วัน 7 ชม.,859,846
2022-KRWVR2,2022-07-18,21:02 น.,รอรับเรื่อง 871 วันที่แล้ว,เขตทุ่งครุ,ทางเดินข้างสวนธนบุรีรมย์มืดมาก และเปรี่ยวมากค่ะ น้องๆนักศึกษาเดินเยอะ ด้วย,"สำนักสิ่งแวดล้อม กทม., เขตทุ่งครุ, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-07-21,11:24 น.,ใช้เวลา 2 วัน 14 ชม.,872,869
2022-D986Q7,2022-07-14,17:49 น.,รอรับเรื่อง 875 วันที่แล้ว,เขตปทุมวัน,สวนลุม เครื่องออกกำลังกายพังหมดเลย และโดนรื้อถอนออก ไม่มีเครื่องใหม่มาแทน รบกวนช่วยหาเครื่องออกกำลังกายมาแทน และถ้าเป็นไปได้ช่วยเพิ่มเครื่องเล่นหน่อยครับมันน้อยไปหน่อย,"สำนักสิ่งแวดล้อม กทม., เขตปทุมวัน, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-30,18:29 น.,ใช้เวลา 16 วัน,876,860
2022-KA3V7L,2022-07-08,17:48 น.,รอรับเรื่อง 881 วันที่แล้ว,เขตปทุมวัน,แป้นบาสบริเวณสนามเด็กเล่นสวนลุมวภาพใกล้พังมากกลัวอันตราย ปกติประชาชนต้องเปลี่ยนกันเอง อยากให้สวนลุมพินีมาเปลี่ยนให้ด้วยทั้ง2ฝั่ง,"สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร, เขตปทุมวัน, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-07-28,12:53 น.,ใช้เวลา 19 วัน 19 ชม.,882,862
